Name,pvc4,pvc4,pvc4,pvc4,pvc4,pvc4,pvc4,pvc4:Marker1,pvc4:Marker1,pvc4:Marker1,pvc4:Marker2,pvc4:Marker2,pvc4:Marker2,pvc4:Marker3,pvc4:Marker3,pvc4:Marker3,pvc3,pvc3,pvc3,pvc3,pvc3,pvc3,pvc3,pvc3:Marker1,pvc3:Marker1,pvc3:Marker1,pvc3:Marker2,pvc3:Marker2,pvc3:Marker2,pvc3:Marker3,pvc3:Marker3,pvc3:Marker3,pvc2,pvc2,pvc2,pvc2,pvc2,pvc2,pvc2,pvc2:Marker1,pvc2:Marker1,pvc2:Marker1,pvc2:Marker2,pvc2:Marker2,pvc2:Marker2,pvc2:Marker3,pvc2:Marker3,pvc2:Marker3,pvc1,pvc1,pvc1,pvc1,pvc1,pvc1,pvc1,pvc1:Marker1,pvc1:Marker1,pvc1:Marker1,pvc1:Marker2,pvc1:Marker2,pvc1:Marker2,pvc1:Marker3,pvc1:Marker3,pvc1:Marker3,FrontMod,FrontMod,FrontMod,FrontMod,FrontMod,FrontMod,FrontMod,FrontMod:Marker1,FrontMod:Marker1,FrontMod:Marker1,FrontMod:Marker2,FrontMod:Marker2,FrontMod:Marker2,FrontMod:Marker3,FrontMod:Marker3,FrontMod:Marker3,BackMod2,BackMod2,BackMod2,BackMod2,BackMod2,BackMod2,BackMod2,BackMod2:Marker1,BackMod2:Marker1,BackMod2:Marker1,BackMod2:Marker2,BackMod2:Marker2,BackMod2:Marker2,BackMod2:Marker3,BackMod2:Marker3,BackMod2:Marker3,BackMod2:Marker1,BackMod2:Marker1,BackMod2:Marker1,BackMod2:Marker2,BackMod2:Marker2,BackMod2:Marker2,BackMod2:Marker3,BackMod2:Marker3,BackMod2:Marker3,FrontMod:Marker1,FrontMod:Marker1,FrontMod:Marker1,FrontMod:Marker2,FrontMod:Marker2,FrontMod:Marker2,FrontMod:Marker3,FrontMod:Marker3,FrontMod:Marker3,pvc2:Marker1,pvc2:Marker1,pvc2:Marker1,pvc2:Marker2,pvc2:Marker2,pvc2:Marker2,pvc2:Marker3,pvc2:Marker3,pvc2:Marker3,pvc3:Marker1,pvc3:Marker1,pvc3:Marker1,pvc3:Marker2,pvc3:Marker2,pvc3:Marker2,pvc3:Marker3,pvc3:Marker3,pvc3:Marker3
Component,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Axis,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X.1,Y.1,Z.1,X.1,Y.1,Z.1,X.1,Y.1,Z.1,X.1,Y.1,Z.1,X.1,Y.1,Z.1,X.1,Y.1,Z.1,X.1,Y.1,Z.1,X.1,Y.1,Z.1,X.1,Y.1,Z.1,X.1,Y.1,Z.1,X.1,Y.1,Z.1,X.1,Y.1,Z.1
Time (Seconds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.171767,0.006423,0.006098,-0.06763,-0.001854,-0.000604,-0.104137,-0.004568,-0.005495,-0.000399,0.034721,-0.000826,0.999397,-0.282468,0.048883,0.128353,-0.113569,0.053877,0.124914,-0.352444,0.04688,0.130395,-0.381391,0.045894,0.129751,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.168541,0.005454,0.010036,-0.069487,-0.001221,-0.002926,-0.099053,-0.004234,-0.00711,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.167436,0.006045,0.007046,-0.066105,-0.002618,-0.002745,-0.101331,-0.003426,-0.004301,-0.161348,0.399484,0.775748,-0.46108,-0.223714,0.088464,0.006623,-0.190061,0.06799,0.00188,-0.223762,0.127672,0.006149,-0.25732,0.069729,0.01184,0.025404,-0.017943,4.4e-05,0.999516,-0.226043,0.106528,0.20718,-0.213223,0.147565,0.177263,-0.252791,0.078693,0.221936,-0.212113,0.093325,0.222341,-0.213178,0.147344,0.177459,-0.252353,0.078777,0.222001,-0.21255,0.093517,0.222049,-0.190704,0.068329,0.001973,-0.22371,0.127535,0.006143,-0.256802,0.069783,0.011761,,,,,,,,,,-0.113059,0.05391,0.124892,-0.352505,0.046825,0.130418,-0.381508,0.045938,0.129736
0.008,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.171767,0.006423,0.006098,-0.06763,-0.001854,-0.000604,-0.104137,-0.004568,-0.005495,0.000415,0.03485,-0.000964,0.999392,-0.282396,0.048893,0.12836,-0.113496,0.053835,0.124884,-0.352372,0.04691,0.130416,-0.38132,0.045934,0.129778,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.168541,0.005454,0.010036,-0.069487,-0.001221,-0.002926,-0.099053,-0.004234,-0.00711,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.167436,0.006045,0.007046,-0.066105,-0.002618,-0.002745,-0.101331,-0.003426,-0.004301,-0.161868,0.399538,0.775933,-0.460539,-0.223734,0.088479,0.006602,-0.190088,0.067988,0.001885,-0.223757,0.127687,0.006156,-0.257357,0.069761,0.011764,0.025504,-0.017932,-8.5e-05,0.999514,-0.226054,0.10653,0.207192,-0.213225,0.14757,0.177283,-0.25281,0.078699,0.221943,-0.212128,0.093321,0.22235,-0.213181,0.14735,0.177478,-0.252383,0.07878,0.222007,-0.21255,0.093512,0.222063,-0.190699,0.068334,0.001971,-0.223706,0.127525,0.00615,-0.256771,0.069861,0.011677,,,,,,,,,,-0.113007,0.053862,0.124872,-0.352477,0.046845,0.13043,-0.381491,0.045983,0.129771
0.017,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.171767,0.006423,0.006098,-0.06763,-0.001854,-0.000604,-0.104137,-0.004568,-0.005495,0.001755,0.034776,-0.000857,0.999393,-0.282429,0.04888,0.128368,-0.113529,0.053852,0.124932,-0.352405,0.046883,0.13041,-0.381352,0.045905,0.129764,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.168541,0.005454,0.010036,-0.069487,-0.001221,-0.002926,-0.099053,-0.004234,-0.00711,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.167436,0.006045,0.007046,-0.066105,-0.002618,-0.002745,-0.101331,-0.003426,-0.004301,-0.161588,0.39944,0.775755,-0.461022,-0.223725,0.088471,0.006623,-0.190068,0.068003,0.001886,-0.223777,0.127679,0.006161,-0.257331,0.06973,0.011821,0.025592,-0.017861,-0.00017,0.999513,-0.226057,0.106513,0.207212,-0.213225,0.147556,0.177308,-0.252814,0.078684,0.221962,-0.21213,0.093299,0.222366,-0.213183,0.14734,0.1775,-0.25236,0.078777,0.222024,-0.212563,0.093476,0.222088,-0.190701,0.068361,0.001975,-0.22372,0.127531,0.006155,-0.256796,0.069792,0.011742,,,,,,,,,,-0.113036,0.053878,0.124919,-0.352514,0.046828,0.130428,-0.381521,0.045947,0.129752
0.025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.171767,0.006423,0.006098,-0.06763,-0.001854,-0.000604,-0.104137,-0.004568,-0.005495,0.003387,0.034891,-0.000765,0.999385,-0.282412,0.04891,0.128368,-0.113513,0.053905,0.124909,-0.352388,0.046901,0.130418,-0.381335,0.045923,0.129776,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.168541,0.005454,0.010036,-0.069487,-0.001221,-0.002926,-0.099053,-0.004234,-0.00711,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.167436,0.006045,0.007046,-0.066105,-0.002618,-0.002745,-0.101331,-0.003426,-0.004301,-0.161791,0.399373,0.77593,-0.460715,-0.223735,0.088477,0.006625,-0.190085,0.067996,0.001892,-0.223769,0.127686,0.006184,-0.257351,0.069749,0.011799,0.025376,-0.018105,0.000152,0.999514,-0.226051,0.106524,0.207204,-0.21323,0.147562,0.177288,-0.252799,0.078684,0.221953,-0.212125,0.093325,0.22237,-0.213182,0.147338,0.177488,-0.252372,0.078759,0.222022,-0.212558,0.093527,0.22207,-0.190704,0.068348,0.001979,-0.223715,0.12753,0.006178,-0.256796,0.06983,0.011716,,,,,,,,,,-0.113014,0.053928,0.124897,-0.352502,0.046854,0.13043,-0.381511,0.045956,0.129771
0.033,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.171767,0.006423,0.006098,-0.06763,-0.001854,-0.000604,-0.104137,-0.004568,-0.005495,0.005161,0.034947,-0.000956,0.999375,-0.282408,0.04889,0.128352,-0.113507,0.053812,0.124892,-0.352384,0.046909,0.130403,-0.381332,0.045948,0.12976,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.168541,0.005454,0.010036,-0.069487,-0.001221,-0.002926,-0.099053,-0.004234,-0.00711,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.167436,0.006045,0.007046,-0.066105,-0.002618,-0.002745,-0.101331,-0.003426,-0.004301,-0.161895,0.399153,0.775954,-0.460828,-0.223758,0.088482,0.006631,-0.190102,0.068014,0.001885,-0.223804,0.127691,0.006207,-0.257368,0.069742,0.011802,0.025247,-0.018429,0.000303,0.999511,-0.226068,0.106518,0.207173,-0.213239,0.147552,0.177255,-0.252818,0.078675,0.221911,-0.212148,0.093327,0.222352,-0.213197,0.147317,0.177462,-0.252387,0.078763,0.221972,-0.212558,0.093523,0.222064,-0.190694,0.068357,0.001969,-0.223753,0.127526,0.006201,-0.256797,0.069848,0.011716,,,,,,,,,,-0.113031,0.053832,0.12488,-0.352499,0.046872,0.13042,-0.381507,0.045973,0.129751
0.042,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.171767,0.006423,0.006098,-0.06763,-0.001854,-0.000604,-0.104137,-0.004568,-0.005495,0.007694,0.035008,-0.000967,0.999357,-0.282429,0.048852,0.128346,-0.113527,0.053759,0.124891,-0.352406,0.046875,0.130396,-0.381354,0.045923,0.129752,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.168541,0.005454,0.010036,-0.069487,-0.001221,-0.002926,-0.099053,-0.004234,-0.00711,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.167436,0.006045,0.007046,-0.066105,-0.002618,-0.002745,-0.101331,-0.003426,-0.004301,-0.16182,0.399336,0.775967,-0.460673,-0.223735,0.088461,0.006603,-0.190086,0.067979,0.001868,-0.223766,0.12767,0.006167,-0.257353,0.069735,0.011773,0.025418,-0.018252,0.000237,0.99951,-0.226061,0.106511,0.2072,-0.213238,0.147553,0.177292,-0.252809,0.078666,0.221939,-0.212137,0.093313,0.22237,-0.213189,0.147331,0.17749,-0.252391,0.078737,0.222009,-0.212563,0.093516,0.222072,-0.190701,0.068325,0.001955,-0.223715,0.12751,0.006161,-0.256768,0.069832,0.011686,,,,,,,,,,-0.112975,0.053802,0.124883,-0.352513,0.046773,0.130388,-0.381487,0.046007,0.129763
0.05,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.171767,0.006423,0.006098,-0.06763,-0.001854,-0.000604,-0.104137,-0.004568,-0.005495,0.010391,0.035056,-0.000642,0.999331,-0.28238,0.048906,0.12837,-0.113481,0.053909,0.124927,-0.352355,0.046885,0.130414,-0.381303,0.045924,0.129768,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.168541,0.005454,0.010036,-0.069487,-0.001221,-0.002926,-0.099053,-0.004234,-0.00711,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.167436,0.006045,0.007046,-0.066105,-0.002618,-0.002745,-0.101331,-0.003426,-0.004301,-0.161759,0.399514,0.775883,-0.460682,-0.223738,0.0885,0.006615,-0.190089,0.068015,0.001891,-0.223768,0.127708,0.006163,-0.257356,0.069776,0.011789,0.025556,-0.018305,0.000273,0.999506,-0.226051,0.106517,0.207194,-0.213228,0.147569,0.177298,-0.252799,0.078666,0.221922,-0.212128,0.093316,0.222361,-0.21318,0.147353,0.177491,-0.25237,0.078742,0.221991,-0.212567,0.093513,0.222064,-0.190705,0.068378,0.001978,-0.223715,0.127536,0.006157,-0.25677,0.069888,0.011702,,,,,,,,,,-0.112956,0.053935,0.124918,-0.352464,0.04683,0.130412,-0.381495,0.045964,0.129775
