Name,pvc4,pvc4,pvc4,pvc4,pvc4,pvc4,pvc4,pvc4:Marker1,pvc4:Marker1,pvc4:Marker1,pvc4:Marker2,pvc4:Marker2,pvc4:Marker2,pvc4:Marker3,pvc4:Marker3,pvc4:Marker3,pvc3,pvc3,pvc3,pvc3,pvc3,pvc3,pvc3,pvc3:Marker1,pvc3:Marker1,pvc3:Marker1,pvc3:Marker2,pvc3:Marker2,pvc3:Marker2,pvc3:Marker3,pvc3:Marker3,pvc3:Marker3,pvc2,pvc2,pvc2,pvc2,pvc2,pvc2,pvc2,pvc2:Marker1,pvc2:Marker1,pvc2:Marker1,pvc2:Marker2,pvc2:Marker2,pvc2:Marker2,pvc2:Marker3,pvc2:Marker3,pvc2:Marker3,pvc1,pvc1,pvc1,pvc1,pvc1,pvc1,pvc1,pvc1:Marker1,pvc1:Marker1,pvc1:Marker1,pvc1:Marker2,pvc1:Marker2,pvc1:Marker2,pvc1:Marker3,pvc1:Marker3,pvc1:Marker3,FrontMod,FrontMod,FrontMod,FrontMod,FrontMod,FrontMod,FrontMod,FrontMod:Marker1,FrontMod:Marker1,FrontMod:Marker1,FrontMod:Marker2,FrontMod:Marker2,FrontMod:Marker2,FrontMod:Marker3,FrontMod:Marker3,FrontMod:Marker3,BackMod2,BackMod2,BackMod2,BackMod2,BackMod2,BackMod2,BackMod2,BackMod2:Marker1,BackMod2:Marker1,BackMod2:Marker1,BackMod2:Marker2,BackMod2:Marker2,BackMod2:Marker2,BackMod2:Marker3,BackMod2:Marker3,BackMod2:Marker3,BackMod2:Marker1,BackMod2:Marker1,BackMod2:Marker1,BackMod2:Marker2,BackMod2:Marker2,BackMod2:Marker2,BackMod2:Marker3,BackMod2:Marker3,BackMod2:Marker3,FrontMod:Marker1,FrontMod:Marker1,FrontMod:Marker1,FrontMod:Marker2,FrontMod:Marker2,FrontMod:Marker2,FrontMod:Marker3,FrontMod:Marker3,FrontMod:Marker3,pvc2:Marker1,pvc2:Marker1,pvc2:Marker1,pvc2:Marker2,pvc2:Marker2,pvc2:Marker2,pvc2:Marker3,pvc2:Marker3,pvc2:Marker3,pvc3:Marker1,pvc3:Marker1,pvc3:Marker1,pvc3:Marker2,pvc3:Marker2,pvc3:Marker2,pvc3:Marker3,pvc3:Marker3,pvc3:Marker3,pvc4:Marker1,pvc4:Marker1,pvc4:Marker1,pvc4:Marker2,pvc4:Marker2,pvc4:Marker2,pvc4:Marker3,pvc4:Marker3,pvc4:Marker3
Component,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Axis,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X.1,Y.1,Z.1,X.1,Y.1,Z.1,X.1,Y.1,Z.1,X.1,Y.1,Z.1,X.1,Y.1,Z.1,X.1,Y.1,Z.1,X.1,Y.1,Z.1,X.1,Y.1,Z.1,X.1,Y.1,Z.1,X.1,Y.1,Z.1,X.1,Y.1,Z.1,X.1,Y.1,Z.1,X.1,Y.1,Z.1,X.1,Y.1,Z.1,X.1,Y.1,Z.1
Time (Seconds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.171767,0.006423,0.006098,-0.06763,-0.001854,-0.000604,-0.104137,-0.004568,-0.005495,-0.000156,0.03282,-8.8e-05,0.999461,-0.282553,0.048922,0.128864,-0.113649,0.054164,0.126069,-0.352533,0.046816,0.130639,-0.381476,0.045787,0.129883,0.003274,0.034092,-0.001049,0.999413,-0.284323,0.046842,0.07303,-0.115478,0.051914,0.071592,-0.353851,0.045771,0.074838,-0.38364,0.042841,0.07266,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.167436,0.006045,0.007046,-0.066105,-0.002618,-0.002745,-0.101331,-0.003426,-0.004301,-0.147333,0.820282,-0.507353,-0.219145,-0.215006,0.10269,0.024565,-0.217132,0.142127,0.020768,-0.185482,0.082407,0.008614,-0.242405,0.083537,0.044314,0.094639,-0.02546,-0.006,0.995168,-0.219356,0.094178,0.216677,-0.205708,0.138818,0.19292,-0.246578,0.064864,0.227054,-0.205783,0.078852,0.230058,-0.205584,0.138854,0.192933,-0.246505,0.064562,0.227262,-0.20595,0.078985,0.229927,-0.217105,0.142107,0.020855,-0.185433,0.082416,0.008797,-0.250216,0.085879,0.016991,-0.114723,0.051989,0.071596,-0.35416,0.045568,0.074787,-0.383632,0.04301,0.072708,-0.112967,0.054212,0.126056,-0.352618,0.046733,0.13063,-0.38163,0.045853,0.129897,,,,,,,,,
0.008,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.171767,0.006423,0.006098,-0.06763,-0.001854,-0.000604,-0.104137,-0.004568,-0.005495,0.000873,0.032864,-2e-06,0.99946,-0.28253,0.048932,0.128916,-0.113628,0.054196,0.126117,-0.35251,0.046814,0.130693,-0.381453,0.045784,0.129938,0.006783,0.034168,-0.001008,0.999393,-0.28428,0.046811,0.072977,-0.115434,0.051866,0.071549,-0.353808,0.045738,0.074788,-0.383598,0.042828,0.072593,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.167436,0.006045,0.007046,-0.066105,-0.002618,-0.002745,-0.101331,-0.003426,-0.004301,-0.021561,0.907875,-0.416886,-0.038781,-0.218091,0.103874,0.016302,-0.216997,0.143146,0.02184,-0.185298,0.083508,0.009421,-0.251977,0.084968,0.017644,0.098712,-0.028438,-0.00361,0.994703,-0.219475,0.093303,0.217369,-0.205872,0.138192,0.194059,-0.246634,0.063788,0.227334,-0.20592,0.077929,0.230714,-0.20569,0.138128,0.194152,-0.246707,0.063473,0.227504,-0.20599,0.078145,0.230562,-0.217099,0.142931,0.021826,-0.185473,0.083551,0.009458,-0.250375,0.086474,0.01759,-0.114674,0.051927,0.071549,-0.354095,0.045589,0.074759,-0.383608,0.042951,0.072622,-0.112985,0.054239,0.126107,-0.352624,0.046724,0.130692,-0.381639,0.045856,0.129943,,,,,,,,,
0.017,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.171767,0.006423,0.006098,-0.06763,-0.001854,-0.000604,-0.104137,-0.004568,-0.005495,0.002688,0.032974,4.3e-05,0.999453,-0.282536,0.048929,0.12896,-0.113634,0.054199,0.126143,-0.352515,0.046807,0.130744,-0.381459,0.045781,0.129992,0.014217,0.034317,-0.000893,0.999309,-0.284214,0.046738,0.072851,-0.115367,0.051768,0.071451,-0.353742,0.045657,0.074666,-0.383533,0.042789,0.072437,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.167436,0.006045,0.007046,-0.066105,-0.002618,-0.002745,-0.101331,-0.003426,-0.004301,-0.016794,0.911645,-0.40933,-0.032725,-0.218231,0.104573,0.016656,-0.217055,0.143742,0.022869,-0.185425,0.084179,0.009924,-0.252213,0.085799,0.017176,0.10324,-0.029428,-0.002787,0.994217,-0.219462,0.092431,0.21818,-0.205885,0.137552,0.195307,-0.246592,0.062781,0.227818,-0.20591,0.076959,0.231415,-0.205751,0.137462,0.195401,-0.246539,0.062525,0.227986,-0.20605,0.077183,0.23124,-0.21711,0.143685,0.022844,-0.185438,0.084161,0.009885,-0.25047,0.087676,0.018497,-0.114618,0.051841,0.071451,-0.354015,0.045472,0.074635,-0.383546,0.042942,0.072467,-0.113023,0.054244,0.126141,-0.352634,0.046712,0.130718,-0.381603,0.045857,0.130019,,,,,,,,,
0.025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.171767,0.006423,0.006098,-0.06763,-0.001854,-0.000604,-0.104137,-0.004568,-0.005495,0.005106,0.033216,8e-06,0.999435,-0.282553,0.048889,0.12903,-0.113651,0.054134,0.126157,-0.352532,0.046775,0.130838,-0.381476,0.045759,0.130095,0.025561,0.034575,-0.000656,0.999075,-0.28415,0.04664,0.072644,-0.115302,0.051652,0.071272,-0.353677,0.045539,0.074469,-0.38347,0.04273,0.072191,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.167436,0.006045,0.007046,-0.066105,-0.002618,-0.002745,-0.101331,-0.003426,-0.004301,-0.024031,0.909443,-0.412844,-0.04354,-0.218058,0.105448,0.018104,-0.216909,0.144671,0.023969,-0.185339,0.085148,0.010695,-0.251926,0.086524,0.019647,0.107698,-0.030751,-0.000905,0.993708,-0.219572,0.091638,0.218768,-0.206093,0.13701,0.196337,-0.24662,0.061803,0.228059,-0.206003,0.0761,0.231908,-0.205765,0.13691,0.196495,-0.2466,0.061461,0.228265,-0.206153,0.076345,0.23172,-0.217096,0.14446,0.02396,-0.185384,0.085062,0.010686,-0.250776,0.087939,0.019727,-0.114568,0.051753,0.071267,-0.353859,0.045331,0.074459,-0.383503,0.042907,0.072201,-0.113047,0.054174,0.12615,-0.352691,0.046686,0.130827,-0.381599,0.045829,0.130109,,,,,,,,,
0.033,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.171767,0.006423,0.006098,-0.06763,-0.001854,-0.000604,-0.104137,-0.004568,-0.005495,0.008901,0.033385,0.000356,0.999403,-0.282573,0.048939,0.129141,-0.113675,0.054281,0.126252,-0.352551,0.04678,0.130957,-0.381495,0.045756,0.130216,0.040651,0.035015,-0.000352,0.99856,-0.284074,0.046643,0.072437,-0.115225,0.051625,0.071068,-0.3536,0.045514,0.07429,-0.383397,0.042788,0.071954,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.167436,0.006045,0.007046,-0.066105,-0.002618,-0.002745,-0.101331,-0.003426,-0.004301,-0.024673,0.910111,-0.411313,-0.043706,-0.217951,0.106326,0.019075,-0.216831,0.14553,0.025072,-0.185221,0.08608,0.01157,-0.251802,0.087368,0.020583,0.112681,-0.030349,-0.002664,0.993164,-0.219671,0.090728,0.219526,-0.206077,0.136283,0.197541,-0.246801,0.060884,0.228546,-0.206136,0.075016,0.232492,-0.205934,0.136193,0.197634,-0.246739,0.06061,0.228721,-0.206288,0.07525,0.232313,-0.217008,0.145281,0.025057,-0.18541,0.086052,0.011591,-0.250864,0.088166,0.020584,-0.114523,0.0518,0.071061,-0.353696,0.045261,0.074289,-0.383438,0.043006,0.071957,-0.113065,0.054333,0.126249,-0.352757,0.046634,0.130924,-0.381585,0.045876,0.130249,,,,,,,,,
0.042,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.171767,0.006423,0.006098,-0.06763,-0.001854,-0.000604,-0.104137,-0.004568,-0.005495,0.013651,0.033836,0.000414,0.999334,-0.282554,0.04895,0.129234,-0.113657,0.054288,0.126241,-0.352531,0.046787,0.131092,-0.381475,0.045776,0.130368,0.059958,0.035898,9.3e-05,0.997555,-0.283964,0.046637,0.072122,-0.115116,0.051608,0.070644,-0.353487,0.045463,0.074055,-0.383289,0.042839,0.071669,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.167436,0.006045,0.007046,-0.066105,-0.002618,-0.002745,-0.101331,-0.003426,-0.004301,-0.02291,0.912272,-0.406722,-0.042565,-0.218067,0.107152,0.01979,-0.216859,0.146291,0.026184,-0.185367,0.086891,0.012196,-0.251975,0.088275,0.02099,0.117538,-0.029574,-0.003712,0.992621,-0.219782,0.089849,0.22019,-0.206151,0.135597,0.19863,-0.246945,0.059962,0.228963,-0.20625,0.073989,0.232978,-0.206082,0.135525,0.198691,-0.246824,0.059706,0.22914,-0.206368,0.074161,0.232847,-0.217106,0.146171,0.026196,-0.185517,0.086688,0.012182,-0.250645,0.089277,0.020985,-0.114332,0.051769,0.070625,-0.353631,0.045199,0.074072,-0.383318,0.043065,0.071655,-0.113103,0.05433,0.126246,-0.352752,0.046658,0.131021,-0.38156,0.04588,0.130436,,,,,,,,,
0.05,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.171767,0.006423,0.006098,-0.06763,-0.001854,-0.000604,-0.104137,-0.004568,-0.005495,0.018584,0.034255,0.000691,0.99924,-0.282539,0.048907,0.129352,-0.113646,0.054313,0.126271,-0.352514,0.046708,0.131248,-0.381458,0.045698,0.130538,0.079189,0.037207,0.000539,0.996165,-0.283943,0.046672,0.071799,-0.115097,0.051649,0.070063,-0.353461,0.045444,0.07387,-0.38327,0.042923,0.071464,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.167436,0.006045,0.007046,-0.066105,-0.002618,-0.002745,-0.101331,-0.003426,-0.004301,-0.021963,0.914331,-0.402252,-0.041349,-0.218121,0.107896,0.020416,-0.216886,0.146969,0.027197,-0.185423,0.08767,0.012721,-0.252055,0.089049,0.021331,0.12368,-0.026361,-0.003184,0.991967,-0.219857,0.08893,0.220718,-0.206457,0.134969,0.199641,-0.246902,0.058877,0.229288,-0.206213,0.072942,0.233225,-0.206252,0.134977,0.199695,-0.246857,0.058542,0.229481,-0.206372,0.073132,0.233077,-0.217187,0.146792,0.027204,-0.185495,0.087441,0.012689,-0.250542,0.090521,0.021402,-0.114273,0.051795,0.070071,-0.353547,0.045254,0.073842,-0.38334,0.043084,0.071489,-0.113067,0.054351,0.126281,-0.35272,0.046614,0.131159,-0.381551,0.045772,0.130621,,,,,,,,,
