Format Version,1.23,Take Name,20mm_0.12,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2026-07-14 03.47.45.349 PM,Capture Start Frame,9256201,Total Frames in Take,2199,Total Exported Frames,2199,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,pvc4,pvc4,pvc4,pvc4,pvc4,pvc4,pvc4,pvc4:Marker1,pvc4:Marker1,pvc4:Marker1,pvc4:Marker2,pvc4:Marker2,pvc4:Marker2,pvc4:Marker3,pvc4:Marker3,pvc4:Marker3,pvc3,pvc3,pvc3,pvc3,pvc3,pvc3,pvc3,pvc3:Marker1,pvc3:Marker1,pvc3:Marker1,pvc3:Marker2,pvc3:Marker2,pvc3:Marker2,pvc3:Marker3,pvc3:Marker3,pvc3:Marker3,pvc2,pvc2,pvc2,pvc2,pvc2,pvc2,pvc2,pvc2:Marker1,pvc2:Marker1,pvc2:Marker1,pvc2:Marker2,pvc2:Marker2,pvc2:Marker2,pvc2:Marker3,pvc2:Marker3,pvc2:Marker3,pvc1,pvc1,pvc1,pvc1,pvc1,pvc1,pvc1,pvc1:Marker1,pvc1:Marker1,pvc1:Marker1,pvc1:Marker2,pvc1:Marker2,pvc1:Marker2,pvc1:Marker3,pvc1:Marker3,pvc1:Marker3,FrontMod,FrontMod,FrontMod,FrontMod,FrontMod,FrontMod,FrontMod,FrontMod:Marker1,FrontMod:Marker1,FrontMod:Marker1,FrontMod:Marker2,FrontMod:Marker2,FrontMod:Marker2,FrontMod:Marker3,FrontMod:Marker3,FrontMod:Marker3,BackMod2,BackMod2,BackMod2,BackMod2,BackMod2,BackMod2,BackMod2,BackMod2:Marker1,BackMod2:Marker1,BackMod2:Marker1,BackMod2:Marker2,BackMod2:Marker2,BackMod2:Marker2,BackMod2:Marker3,BackMod2:Marker3,BackMod2:Marker3,BackMod2:Marker1,BackMod2:Marker1,BackMod2:Marker1,BackMod2:Marker2,BackMod2:Marker2,BackMod2:Marker2,BackMod2:Marker3,BackMod2:Marker3,BackMod2:Marker3,FrontMod:Marker1,FrontMod:Marker1,FrontMod:Marker1,FrontMod:Marker2,FrontMod:Marker2,FrontMod:Marker2,FrontMod:Marker3,FrontMod:Marker3,FrontMod:Marker3,Unlabeled 2649,Unlabeled 2649,Unlabeled 2649,Unlabeled 2650,Unlabeled 2650,Unlabeled 2650,Unlabeled 2651,Unlabeled 2651,Unlabeled 2651,Unlabeled 2652,Unlabeled 2652,Unlabeled 2652,Unlabeled 2653,Unlabeled 2653,Unlabeled 2653,pvc1:Marker1,pvc1:Marker1,pvc1:Marker1,pvc1:Marker2,pvc1:Marker2,pvc1:Marker2,pvc1:Marker3,pvc1:Marker3,pvc1:Marker3,pvc2:Marker1,pvc2:Marker1,pvc2:Marker1,pvc2:Marker2,pvc2:Marker2,pvc2:Marker2,pvc2:Marker3,pvc2:Marker3,pvc2:Marker3,pvc3:Marker1,pvc3:Marker1,pvc3:Marker1,pvc3:Marker2,pvc3:Marker2,pvc3:Marker2,pvc3:Marker3,pvc3:Marker3,pvc3:Marker3,pvc4:Marker1,pvc4:Marker1,pvc4:Marker1,pvc4:Marker2,pvc4:Marker2,pvc4:Marker2,pvc4:Marker3,pvc4:Marker3,pvc4:Marker3
,ID,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,ED3DC5D97FC711F11571DA7D1A00929B,ED3DC5D97FC711F11571DA7D1A00929B,ED3DC5D97FC711F11571DA7D1A00929B,ED3DC5D97FC711F11571DA7D1A00929B,ED3DC5D97FC711F11571DA7D1A00929B,ED3DC5D97FC711F11571DA7D1A00929B,ED3DC5D97FC711F11571DA7D1A00929B,ED3DC5D97FC711F11571DA7D1A00929B,ED3DC5D97FC711F11571DA7D1A00929B,ED3DC5D97FC711F11571DA7D1A00929B,ED3DC5D97FC711F11571DA7D1A00929B,ED3DC5D97FC711F11571DA7D1A00929B,ED3DC5D97FC711F11571DA7D1A00929B,ED3DC5D97FC711F11571DA7D1A00929B,ED3DC5D97FC711F11571DA7D1A00929B,ED3DC5D97FC711F11571DA7D1A00929B,"56E778E7FD611F11571DA7D1A00929B","56E778E7FD611F11571DA7D1A00929B","56E778E7FD611F11571DA7D1A00929B","56E778F7FD611F11571DA7D1A00929B","56E778F7FD611F11571DA7D1A00929B","56E778F7FD611F11571DA7D1A00929B","56E778D7FD611F11571DA7D1A00929B","56E778D7FD611F11571DA7D1A00929B","56E778D7FD611F11571DA7D1A00929B","56E77897FD611F11571DA7D1A00929B","56E77897FD611F11571DA7D1A00929B","56E77897FD611F11571DA7D1A00929B","56E77837FD611F11571DA7D1A00929B","56E77837FD611F11571DA7D1A00929B","56E77837FD611F11571DA7D1A00929B","56E778A7FD611F11571DA7D1A00929B","56E778A7FD611F11571DA7D1A00929B","56E778A7FD611F11571DA7D1A00929B","626BA9F46437F2111F1","626BA9F46437F2111F1","626BA9F46437F2111F1","629BA9F46437F2111F1","629BA9F46437F2111F1","629BA9F46437F2111F1","6B9BA9F46437F2111F1","6B9BA9F46437F2111F1","6B9BA9F46437F2111F1","6BABA9F46437F2111F1","6BABA9F46437F2111F1","6BABA9F46437F2111F1","6BBBA9F46437F2111F1","6BBBA9F46437F2111F1","6BBBA9F46437F2111F1","56E778B7FD611F11571DA7D1A00929B","56E778B7FD611F11571DA7D1A00929B","56E778B7FD611F11571DA7D1A00929B","56E77887FD611F11571DA7D1A00929B","56E77887FD611F11571DA7D1A00929B","56E77887FD611F11571DA7D1A00929B","56E777F7FD611F11571DA7D1A00929B","56E777F7FD611F11571DA7D1A00929B","56E777F7FD611F11571DA7D1A00929B","56E778C7FD611F11571DA7D1A00929B","56E778C7FD611F11571DA7D1A00929B","56E778C7FD611F11571DA7D1A00929B","56E77867FD611F11571DA7D1A00929B","56E77867FD611F11571DA7D1A00929B","56E77867FD611F11571DA7D1A00929B","56E77807FD611F11571DA7D1A00929B","56E77807FD611F11571DA7D1A00929B","56E77807FD611F11571DA7D1A00929B","56E77907FD611F11571DA7D1A00929B","56E77907FD611F11571DA7D1A00929B","56E77907FD611F11571DA7D1A00929B","56E77827FD611F11571DA7D1A00929B","56E77827FD611F11571DA7D1A00929B","56E77827FD611F11571DA7D1A00929B","56E77817FD611F11571DA7D1A00929B","56E77817FD611F11571DA7D1A00929B","56E77817FD611F11571DA7D1A00929B","56E77877FD611F11571DA7D1A00929B","56E77877FD611F11571DA7D1A00929B","56E77877FD611F11571DA7D1A00929B","56E77857FD611F11571DA7D1A00929B","56E77857FD611F11571DA7D1A00929B","56E77857FD611F11571DA7D1A00929B","56E77847FD611F11571DA7D1A00929B","56E77847FD611F11571DA7D1A00929B","56E77847FD611F11571DA7D1A00929B"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.008151,0.033765,-0.000845,0.999396,-0.271719,0.049412,0.201509,-0.099925,0.055548,0.195897,-0.339237,0.047700,0.205500,-0.375994,0.044988,0.203128,-0.012144,0.043104,0.000960,0.998996,-0.275441,0.045747,0.054967,-0.106648,0.051365,0.048566,-0.345364,0.043499,0.058235,-0.374313,0.042377,0.058101,0.016360,0.043290,-0.002066,0.998927,-0.271741,0.049514,0.134749,-0.102935,0.054179,0.130332,-0.341227,0.048579,0.137810,-0.371060,0.045785,0.136106,0.000230,0.033174,-0.001915,0.999448,-0.276236,0.045642,0.002653,-0.108679,0.051044,-0.001417,-0.342387,0.043277,0.004297,-0.377641,0.042604,0.005080,0.836216,-0.380055,0.170044,-0.356911,-0.223189,0.107457,0.126829,-0.253307,0.082740,0.134324,-0.229366,0.145803,0.121448,-0.186894,0.093828,0.124714,-0.072651,0.983586,-0.149605,0.069993,-0.212951,0.081583,-0.072792,-0.234395,0.126142,-0.055526,-0.181282,0.055486,-0.077697,-0.223175,0.063121,-0.085154,-0.234704,0.126183,-0.055589,-0.181154,0.055189,-0.077816,-0.223116,0.063393,-0.084997,-0.251621,0.082896,0.134107,-0.229367,0.145847,0.121440,-0.187889,0.093618,0.124863,,,,,,,,,,,,,,,,-0.105940,0.051197,-0.001349,-0.342491,0.043131,0.004002,-0.378080,0.042666,0.005249,-0.102682,0.054247,0.130364,-0.342001,0.047020,0.136841,-0.371030,0.046349,0.136468,-0.105422,0.051334,0.048460,-0.345225,0.044341,0.058960,-0.375308,0.041899,0.057749,-0.099816,0.055546,0.195908,-0.339096,0.047763,0.205406,-0.376353,0.044903,0.203246
1,0.008000,0.000304,0.034182,-0.000448,0.999416,-0.271778,0.049237,0.201585,-0.099990,0.055506,0.195937,-0.339293,0.047443,0.205602,-0.376051,0.044763,0.203215,-0.021306,0.042296,0.000983,0.998877,-0.275489,0.045734,0.055183,-0.106690,0.051380,0.048952,-0.345414,0.043486,0.058378,-0.374362,0.042336,0.058218,0.034794,0.043856,-0.001370,0.998431,-0.271908,0.049332,0.134664,-0.103107,0.054128,0.130240,-0.341391,0.048296,0.137763,-0.371227,0.045572,0.135989,0.001169,0.033359,-0.001456,0.999442,-0.276404,0.045536,0.002476,-0.108854,0.051089,-0.001645,-0.342552,0.043111,0.004140,-0.377806,0.042407,0.004934,0.836133,-0.368550,0.171699,-0.368202,-0.227649,0.109085,0.129223,-0.257357,0.083618,0.135786,-0.234561,0.147359,0.124241,-0.191029,0.096277,0.127640,-0.078616,0.982680,-0.147352,0.080289,-0.212375,0.086195,-0.070575,-0.234810,0.130336,-0.053496,-0.180226,0.060607,-0.075021,-0.222088,0.067641,-0.083209,-0.235274,0.130418,-0.053584,-0.180120,0.060293,-0.075158,-0.221988,0.067919,-0.083032,-0.255563,0.083995,0.135560,-0.234574,0.147363,0.124242,-0.191751,0.096112,0.127733,,,,,,,,,,,,,,,,-0.106164,0.051284,-0.001541,-0.342612,0.042928,0.003857,-0.378170,0.042493,0.005097,-0.102729,0.054240,0.130303,-0.342048,0.046984,0.136833,-0.371149,0.046250,0.136483,-0.105466,0.051357,0.048842,-0.345265,0.044235,0.059161,-0.375381,0.041899,0.057827,-0.099897,0.055522,0.195940,-0.338919,0.047292,0.205544,-0.376413,0.044842,0.203249
2,0.017000,0.008130,0.034331,-0.000324,0.999377,-0.271928,0.049228,0.201615,-0.100140,0.055535,0.196015,-0.339442,0.047390,0.205624,-0.376202,0.044759,0.203206,-0.038334,0.041363,0.000710,0.998408,-0.275645,0.045727,0.055081,-0.106840,0.051321,0.048975,-0.345574,0.043521,0.058222,-0.374521,0.042339,0.058048,0.058067,0.044897,-0.001100,0.997302,-0.272059,0.049520,0.134805,-0.103260,0.054283,0.130250,-0.341537,0.048436,0.138001,-0.371380,0.045840,0.136165,0.002770,0.033003,-0.000724,0.999451,-0.276738,0.045556,0.001890,-0.109192,0.051349,-0.002093,-0.342884,0.043037,0.003498,-0.378138,0.042282,0.004264,0.828186,-0.365542,0.175668,-0.386818,-0.231219,0.111165,0.131672,-0.261005,0.085429,0.136638,-0.238120,0.149567,0.127783,-0.194531,0.098498,0.130597,-0.082097,0.982110,-0.146630,0.084966,-0.212654,0.090371,-0.067870,-0.235598,0.134297,-0.050913,-0.180255,0.065062,-0.072090,-0.222107,0.071755,-0.080608,-0.235792,0.134137,-0.051055,-0.180108,0.064758,-0.072210,-0.222095,0.072205,-0.080362,-0.259217,0.085306,0.136528,-0.238135,0.149725,0.127766,-0.195207,0.098226,0.130674,,,,,,,,,,,,,,,,-0.106556,0.051626,-0.002052,-0.342869,0.042677,0.003300,-0.378578,0.042458,0.004379,-0.103047,0.054365,0.130305,-0.342245,0.046970,0.136852,-0.371295,0.046255,0.136497,-0.105556,0.051291,0.048863,-0.345448,0.044358,0.058991,-0.375520,0.041868,0.057675,-0.100088,0.055542,0.196024,-0.339020,0.047339,0.205482,-0.376517,0.044780,0.203279
3,0.025000,0.015134,0.034649,-0.000339,0.999285,-0.272078,0.049146,0.201618,-0.100290,0.055445,0.195997,-0.339591,0.047286,0.205644,-0.376353,0.044708,0.203213,-0.058975,0.039800,0.000730,0.997465,-0.275707,0.045772,0.055338,-0.106895,0.051435,0.049518,-0.345642,0.043563,0.058355,-0.374586,0.042318,0.058142,0.083972,0.045741,-0.000310,0.995418,-0.272213,0.049514,0.134796,-0.103419,0.054404,0.130204,-0.341687,0.048309,0.138051,-0.371535,0.045829,0.136134,0.005338,0.032983,-0.000149,0.999442,-0.277001,0.045359,0.001160,-0.109461,0.051337,-0.002785,-0.343145,0.042766,0.002751,-0.378398,0.041973,0.003512,0.818811,-0.366942,0.180016,-0.403109,-0.233209,0.113653,0.135122,-0.263260,0.087987,0.138638,-0.239776,0.152207,0.132303,-0.196590,0.100764,0.134425,-0.081263,0.979332,-0.164886,0.084362,-0.212937,0.092891,-0.064592,-0.235725,0.137509,-0.049314,-0.180643,0.067302,-0.067797,-0.222444,0.073863,-0.076664,-0.235807,0.137529,-0.049328,-0.180659,0.067143,-0.067879,-0.222260,0.074052,-0.076518,-0.261930,0.087910,0.138581,-0.239797,0.152390,0.132289,-0.197700,0.100310,0.134515,,,,,,,,,,,,,,,,-0.106587,0.051522,-0.002716,-0.343052,0.042572,0.002431,-0.379008,0.042056,0.003693,-0.103298,0.054473,0.130260,-0.342410,0.046939,0.136820,-0.371396,0.046204,0.136475,-0.105682,0.051417,0.049407,-0.345508,0.044249,0.059167,-0.375565,0.041920,0.057736,-0.100257,0.055451,0.196008,-0.339204,0.047236,0.205488,-0.376614,0.044729,0.203290
4,0.033000,0.020948,0.034799,-0.000201,0.999175,-0.272046,0.049242,0.201615,-0.100259,0.055585,0.196016,-0.339558,0.047344,0.205639,-0.376322,0.044798,0.203189,-0.078636,0.037866,0.001618,0.996183,-0.275654,0.046082,0.056761,-0.106841,0.052127,0.051332,-0.345591,0.043739,0.059610,-0.374529,0.042381,0.059342,0.115544,0.045957,-0.000424,0.992239,-0.272137,0.049303,0.134780,-0.103331,0.053959,0.130369,-0.341611,0.048106,0.138008,-0.371468,0.045845,0.135963,0.007436,0.032556,0.000218,0.999442,-0.277261,0.045344,-0.000423,-0.109721,0.051437,-0.004198,-0.343404,0.042706,0.001101,-0.378657,0.041889,0.001829,0.803631,-0.375893,0.179449,-0.425065,-0.235471,0.114733,0.138626,-0.266002,0.089458,0.140414,-0.241339,0.153492,0.137727,-0.199071,0.101249,0.137735,-0.070746,0.977487,-0.182502,0.078789,-0.213109,0.094397,-0.061143,-0.234701,0.140071,-0.047317,-0.181481,0.067908,-0.063592,-0.223145,0.075212,-0.072519,-0.234778,0.140048,-0.047349,-0.181534,0.067753,-0.063676,-0.222835,0.075582,-0.072265,-0.264619,0.089673,0.140359,-0.241343,0.153506,0.137727,-0.199867,0.101088,0.137768,,,,,,,,,,,,,,,,-0.107220,0.051645,-0.004268,-0.343244,0.042373,0.001139,-0.379337,0.042044,0.001822,-0.102977,0.054041,0.130443,-0.342362,0.047065,0.136827,-0.371369,0.046281,0.136471,-0.105719,0.052131,0.051231,-0.345415,0.044163,0.060380,-0.375538,0.042103,0.058923,-0.100218,0.055591,0.196027,-0.339157,0.047306,0.205478,-0.376605,0.044813,0.203270
5,0.042000,0.025024,0.034897,-0.000213,0.999078,-0.271992,0.049315,0.201617,-0.100204,0.055651,0.196035,-0.339504,0.047404,0.205640,-0.376269,0.044889,0.203177,-0.097653,0.036336,0.000726,0.994557,-0.275449,0.046637,0.058559,-0.106619,0.052464,0.053431,-0.345395,0.044406,0.061276,-0.374332,0.043040,0.060970,0.151907,0.047142,0.000710,0.987270,-0.272087,0.049399,0.134705,-0.103289,0.054242,0.130218,-0.341555,0.048019,0.138014,-0.371418,0.045935,0.135884,0.010612,0.034537,0.000297,0.999347,-0.277169,0.045573,-0.001861,-0.109645,0.051690,-0.006261,-0.343306,0.042926,-0.000091,-0.378555,0.042105,0.000771,0.794606,-0.384384,0.183386,-0.432689,-0.236871,0.116377,0.142107,-0.267939,0.091722,0.143147,-0.241917,0.155262,0.141942,-0.200756,0.102148,0.141232,-0.057698,0.975816,-0.187478,0.096471,-0.212023,0.096747,-0.057425,-0.233249,0.142918,-0.044727,-0.180850,0.069632,-0.058454,-0.221969,0.077692,-0.069093,-0.233344,0.142929,-0.044755,-0.180825,0.069471,-0.058516,-0.221860,0.077907,-0.068963,-0.266608,0.091696,0.143111,-0.241923,0.155368,0.141941,-0.201633,0.101894,0.141258,,,,,,,,,,,,,,,,-0.107639,0.051830,-0.006264,-0.343217,0.042552,-0.000367,-0.379525,0.042278,0.000946,-0.102975,0.054317,0.130294,-0.342251,0.047035,0.136783,-0.371329,0.046330,0.136390,-0.105936,0.052462,0.053357,-0.345231,0.044833,0.062147,-0.375330,0.042725,0.060417,-0.100174,0.055656,0.196048,-0.339058,0.047381,0.205462,-0.376552,0.044897,0.203261
