Format Version,1.23,Take Name,20mm_0.31,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2026-07-14 03.37.32.961 PM,Capture Start Frame,9182715,Total Frames in Take,1614,Total Exported Frames,1614,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,pvc4,pvc4,pvc4,pvc4,pvc4,pvc4,pvc4,pvc4:Marker1,pvc4:Marker1,pvc4:Marker1,pvc4:Marker2,pvc4:Marker2,pvc4:Marker2,pvc4:Marker3,pvc4:Marker3,pvc4:Marker3,pvc3,pvc3,pvc3,pvc3,pvc3,pvc3,pvc3,pvc3:Marker1,pvc3:Marker1,pvc3:Marker1,pvc3:Marker2,pvc3:Marker2,pvc3:Marker2,pvc3:Marker3,pvc3:Marker3,pvc3:Marker3,pvc2,pvc2,pvc2,pvc2,pvc2,pvc2,pvc2,pvc2:Marker1,pvc2:Marker1,pvc2:Marker1,pvc2:Marker2,pvc2:Marker2,pvc2:Marker2,pvc2:Marker3,pvc2:Marker3,pvc2:Marker3,pvc1,pvc1,pvc1,pvc1,pvc1,pvc1,pvc1,pvc1:Marker1,pvc1:Marker1,pvc1:Marker1,pvc1:Marker2,pvc1:Marker2,pvc1:Marker2,pvc1:Marker3,pvc1:Marker3,pvc1:Marker3,FrontMod,FrontMod,FrontMod,FrontMod,FrontMod,FrontMod,FrontMod,FrontMod:Marker1,FrontMod:Marker1,FrontMod:Marker1,FrontMod:Marker2,FrontMod:Marker2,FrontMod:Marker2,FrontMod:Marker3,FrontMod:Marker3,FrontMod:Marker3,BackMod2,BackMod2,BackMod2,BackMod2,BackMod2,BackMod2,BackMod2,BackMod2:Marker1,BackMod2:Marker1,BackMod2:Marker1,BackMod2:Marker2,BackMod2:Marker2,BackMod2:Marker2,BackMod2:Marker3,BackMod2:Marker3,BackMod2:Marker3,BackMod2:Marker1,BackMod2:Marker1,BackMod2:Marker1,BackMod2:Marker2,BackMod2:Marker2,BackMod2:Marker2,BackMod2:Marker3,BackMod2:Marker3,BackMod2:Marker3,FrontMod:Marker1,FrontMod:Marker1,FrontMod:Marker1,FrontMod:Marker2,FrontMod:Marker2,FrontMod:Marker2,FrontMod:Marker3,FrontMod:Marker3,FrontMod:Marker3,Unlabeled 2550,Unlabeled 2550,Unlabeled 2550,Unlabeled 2551,Unlabeled 2551,Unlabeled 2551,Unlabeled 2552,Unlabeled 2552,Unlabeled 2552,pvc1:Marker1,pvc1:Marker1,pvc1:Marker1,pvc1:Marker2,pvc1:Marker2,pvc1:Marker2,pvc1:Marker3,pvc1:Marker3,pvc1:Marker3,pvc2:Marker1,pvc2:Marker1,pvc2:Marker1,pvc2:Marker2,pvc2:Marker2,pvc2:Marker2,pvc2:Marker3,pvc2:Marker3,pvc2:Marker3,pvc3:Marker1,pvc3:Marker1,pvc3:Marker1,pvc3:Marker2,pvc3:Marker2,pvc3:Marker2,pvc3:Marker3,pvc3:Marker3,pvc3:Marker3,pvc4:Marker1,pvc4:Marker1,pvc4:Marker1,pvc4:Marker2,pvc4:Marker2,pvc4:Marker2,pvc4:Marker3,pvc4:Marker3,pvc4:Marker3
,ID,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,ED3DC5D97FC711F11571DA7D1A00929B,ED3DC5D97FC711F11571DA7D1A00929B,ED3DC5D97FC711F11571DA7D1A00929B,ED3DC5D97FC711F11571DA7D1A00929B,ED3DC5D97FC711F11571DA7D1A00929B,ED3DC5D97FC711F11571DA7D1A00929B,ED3DC5D97FC711F11571DA7D1A00929B,ED3DC5D97FC711F11571DA7D1A00929B,ED3DC5D97FC711F11571DA7D1A00929B,ED3DC5D97FC711F11571DA7D1A00929B,ED3DC5D97FC711F11571DA7D1A00929B,ED3DC5D97FC711F11571DA7D1A00929B,ED3DC5D97FC711F11571DA7D1A00929B,ED3DC5D97FC711F11571DA7D1A00929B,ED3DC5D97FC711F11571DA7D1A00929B,ED3DC5D97FC711F11571DA7D1A00929B,"9A0B18687FD411F11571DA7D1A00929B","9A0B18687FD411F11571DA7D1A00929B","9A0B18687FD411F11571DA7D1A00929B","9A0B186A7FD411F11571DA7D1A00929B","9A0B186A7FD411F11571DA7D1A00929B","9A0B186A7FD411F11571DA7D1A00929B","9A0B18677FD411F11571DA7D1A00929B","9A0B18677FD411F11571DA7D1A00929B","9A0B18677FD411F11571DA7D1A00929B","9A0B18627FD411F11571DA7D1A00929B","9A0B18627FD411F11571DA7D1A00929B","9A0B18627FD411F11571DA7D1A00929B","9A0B18617FD411F11571DA7D1A00929B","9A0B18617FD411F11571DA7D1A00929B","9A0B18617FD411F11571DA7D1A00929B","9A0B18637FD411F11571DA7D1A00929B","9A0B18637FD411F11571DA7D1A00929B","9A0B18637FD411F11571DA7D1A00929B","625BA9F46437F2111F1","625BA9F46437F2111F1","625BA9F46437F2111F1","653BA9F46437F2111F1","653BA9F46437F2111F1","653BA9F46437F2111F1","65EBA9F46437F2111F1","65EBA9F46437F2111F1","65EBA9F46437F2111F1","9A0B186B7FD411F11571DA7D1A00929B","9A0B186B7FD411F11571DA7D1A00929B","9A0B186B7FD411F11571DA7D1A00929B","9A0B18697FD411F11571DA7D1A00929B","9A0B18697FD411F11571DA7D1A00929B","9A0B18697FD411F11571DA7D1A00929B","9A0B185D7FD411F11571DA7D1A00929B","9A0B185D7FD411F11571DA7D1A00929B","9A0B185D7FD411F11571DA7D1A00929B","9A0B186E7FD411F11571DA7D1A00929B","9A0B186E7FD411F11571DA7D1A00929B","9A0B186E7FD411F11571DA7D1A00929B","9A0B18667FD411F11571DA7D1A00929B","9A0B18667FD411F11571DA7D1A00929B","9A0B18667FD411F11571DA7D1A00929B","9A0B185E7FD411F11571DA7D1A00929B","9A0B185E7FD411F11571DA7D1A00929B","9A0B185E7FD411F11571DA7D1A00929B","9A0B186C7FD411F11571DA7D1A00929B","9A0B186C7FD411F11571DA7D1A00929B","9A0B186C7FD411F11571DA7D1A00929B","9A0B18607FD411F11571DA7D1A00929B","9A0B18607FD411F11571DA7D1A00929B","9A0B18607FD411F11571DA7D1A00929B","9A0B185F7FD411F11571DA7D1A00929B","9A0B185F7FD411F11571DA7D1A00929B","9A0B185F7FD411F11571DA7D1A00929B","9A0B186D7FD411F11571DA7D1A00929B","9A0B186D7FD411F11571DA7D1A00929B","9A0B186D7FD411F11571DA7D1A00929B","9A0B18657FD411F11571DA7D1A00929B","9A0B18657FD411F11571DA7D1A00929B","9A0B18657FD411F11571DA7D1A00929B","9A0B18647FD411F11571DA7D1A00929B","9A0B18647FD411F11571DA7D1A00929B","9A0B18647FD411F11571DA7D1A00929B"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.008389,0.035128,-0.000962,0.999347,-0.269966,0.049153,0.202153,-0.098186,0.055245,0.196070,-0.337474,0.047459,0.206329,-0.374238,0.044755,0.204059,-0.009607,0.042596,0.000885,0.999046,-0.274241,0.046806,0.065467,-0.105440,0.052395,0.059266,-0.344167,0.044567,0.068652,-0.373117,0.043456,0.068484,0.006615,0.049064,-0.002015,0.998772,-0.270394,0.049161,0.131619,-0.101657,0.053911,0.125154,-0.339839,0.048214,0.135503,-0.369686,0.045358,0.134199,-0.000811,0.040397,0.000217,0.999183,-0.276550,0.045191,-0.006481,-0.109095,0.051309,-0.012984,-0.342660,0.042544,-0.003876,-0.377896,0.041721,-0.002582,0.361241,0.054116,-0.030502,0.930401,-0.222763,0.094469,0.194100,-0.224210,0.132796,0.183948,-0.255207,0.075083,0.204542,-0.188871,0.075526,0.193809,-0.005516,0.999426,0.029578,0.015587,-0.221688,0.104870,0.000677,-0.234856,0.142211,0.034965,-0.194673,0.079174,-0.017154,-0.235534,0.093224,-0.015780,-0.234944,0.142207,0.034933,-0.194612,0.079044,-0.017269,-0.235511,0.093329,-0.015663,-0.224287,0.132620,0.184009,-0.254213,0.075501,0.204267,-0.189457,0.075553,0.193896,,,,,,,,,,-0.106972,0.051375,-0.013038,-0.342783,0.042582,-0.003997,-0.378570,0.041674,-0.002487,-0.101605,0.053944,0.125172,-0.340765,0.046898,0.134691,-0.369507,0.045657,0.134387,-0.104035,0.052222,0.058975,-0.344186,0.045180,0.069324,-0.373518,0.042919,0.067927,-0.097758,0.055239,0.196042,-0.337437,0.047603,0.206426,-0.374695,0.044591,0.203971
1,0.008000,-0.013699,0.034935,-0.001023,0.999295,-0.269948,0.049148,0.202171,-0.098168,0.055219,0.196088,-0.337457,0.047481,0.206341,-0.374220,0.044744,0.204086,-0.017691,0.042518,0.000744,0.998939,-0.274206,0.046792,0.065434,-0.105406,0.052350,0.059170,-0.344132,0.044576,0.068643,-0.373081,0.043451,0.068488,0.014079,0.049287,-0.001883,0.998684,-0.270408,0.049132,0.131641,-0.101672,0.053900,0.125176,-0.339852,0.048159,0.135540,-0.369701,0.045336,0.134207,-0.000460,0.040418,0.000225,0.999183,-0.276552,0.045200,-0.006469,-0.109097,0.051321,-0.012976,-0.342662,0.042552,-0.003864,-0.377898,0.041728,-0.002569,0.361867,0.053645,-0.029950,0.930203,-0.222764,0.094459,0.194067,-0.224222,0.132799,0.183965,-0.255211,0.075039,0.204442,-0.188861,0.075537,0.193795,-0.004996,0.999410,0.029782,0.016376,-0.221717,0.104862,0.000698,-0.234898,0.142203,0.034982,-0.194702,0.079145,-0.017102,-0.235551,0.093238,-0.015785,-0.234955,0.142189,0.034949,-0.194605,0.079023,-0.017197,-0.235568,0.093348,-0.015678,-0.224300,0.132648,0.184018,-0.254181,0.075443,0.204170,-0.189448,0.075540,0.193887,,,,,,,,,,-0.106976,0.051384,-0.013035,-0.342776,0.042601,-0.003952,-0.378569,0.041676,-0.002492,-0.101620,0.053932,0.125195,-0.340780,0.046899,0.134699,-0.369523,0.045623,0.134401,-0.104070,0.052206,0.058916,-0.344180,0.045199,0.069332,-0.373512,0.042901,0.067914,-0.097758,0.055217,0.196061,-0.337410,0.047595,0.206439,-0.374700,0.044604,0.203991
2,0.017000,-0.020592,0.034651,-0.000989,0.999187,-0.269954,0.049144,0.202171,-0.098173,0.055227,0.196098,-0.337464,0.047497,0.206327,-0.374224,0.044708,0.204090,-0.030844,0.041944,0.000701,0.998644,-0.274248,0.046813,0.065468,-0.105446,0.052384,0.059251,-0.344175,0.044607,0.068655,-0.373123,0.043447,0.068497,0.026980,0.049599,-0.001492,0.998404,-0.270432,0.049124,0.131644,-0.101697,0.053977,0.125203,-0.339873,0.048084,0.135558,-0.369725,0.045311,0.134170,0.000304,0.040461,0.000210,0.999181,-0.276560,0.045210,-0.006469,-0.109105,0.051325,-0.012980,-0.342669,0.042564,-0.003861,-0.377906,0.041742,-0.002565,0.361283,0.053918,-0.030470,0.930397,-0.222814,0.094506,0.194113,-0.224253,0.132835,0.183963,-0.255264,0.075123,0.204542,-0.188923,0.075561,0.193834,-0.004876,0.999417,0.029693,0.016158,-0.221685,0.104854,0.000669,-0.234842,0.142204,0.034952,-0.194684,0.079128,-0.017139,-0.235528,0.093231,-0.015807,-0.234904,0.142204,0.034932,-0.194583,0.078996,-0.017243,-0.235543,0.093332,-0.015706,-0.224346,0.132621,0.184036,-0.254296,0.075626,0.204251,-0.189460,0.075595,0.193911,,,,,,,,,,-0.106977,0.051395,-0.013032,-0.342793,0.042585,-0.003979,-0.378564,0.041704,-0.002473,-0.101647,0.054007,0.125223,-0.340796,0.046941,0.134712,-0.369533,0.045585,0.134375,-0.104067,0.052235,0.058971,-0.344219,0.045171,0.069328,-0.373514,0.042948,0.067935,-0.097755,0.055229,0.196068,-0.337424,0.047584,0.206439,-0.374681,0.044600,0.203983
3,0.025000,-0.027410,0.034393,-0.001015,0.999032,-0.269961,0.049134,0.202167,-0.098180,0.055208,0.196095,-0.337473,0.047514,0.206311,-0.374230,0.044679,0.204094,-0.047486,0.041459,0.000616,0.998011,-0.274222,0.046813,0.065446,-0.105422,0.052389,0.059203,-0.344150,0.044626,0.068641,-0.373095,0.043424,0.068495,0.044328,0.050235,-0.001387,0.997752,-0.270390,0.049142,0.131651,-0.101656,0.053970,0.125163,-0.339828,0.048068,0.135618,-0.369685,0.045388,0.134173,0.001365,0.040475,0.000223,0.999180,-0.276556,0.045222,-0.006457,-0.109100,0.051340,-0.012960,-0.342665,0.042574,-0.003854,-0.377901,0.041751,-0.002558,0.360861,0.054132,-0.030429,0.930550,-0.222771,0.094487,0.194126,-0.224226,0.132807,0.183943,-0.255212,0.075104,0.204584,-0.188876,0.075552,0.193851,-0.004712,0.999405,0.029937,0.016462,-0.221707,0.104874,0.000687,-0.234872,0.142211,0.034981,-0.194704,0.079147,-0.017117,-0.235544,0.093263,-0.015802,-0.234924,0.142198,0.034951,-0.194601,0.079029,-0.017206,-0.235570,0.093368,-0.015702,-0.224308,0.132602,0.184012,-0.254223,0.075569,0.204299,-0.189470,0.075596,0.193934,,,,,,,,,,-0.106968,0.051417,-0.013016,-0.342793,0.042567,-0.003958,-0.378555,0.041728,-0.002472,-0.101608,0.053999,0.125184,-0.340768,0.046942,0.134717,-0.369487,0.045657,0.134391,-0.104067,0.052257,0.058933,-0.344195,0.045174,0.069328,-0.373504,0.042939,0.067920,-0.097773,0.055212,0.196064,-0.337429,0.047586,0.206429,-0.374691,0.044586,0.203980
4,0.033000,-0.031735,0.034202,-0.000993,0.998910,-0.269957,0.049142,0.202180,-0.098177,0.055224,0.196118,-0.337470,0.047534,0.206314,-0.374225,0.044667,0.204108,-0.066114,0.040824,0.000487,0.996977,-0.274211,0.046811,0.065452,-0.105410,0.052381,0.059206,-0.344140,0.044648,0.068642,-0.373083,0.043402,0.068506,0.063163,0.050811,-0.001297,0.996708,-0.270372,0.049113,0.131667,-0.101638,0.053905,0.125158,-0.339807,0.048004,0.135675,-0.369671,0.045430,0.134167,0.002628,0.040554,0.000244,0.999174,-0.276560,0.045215,-0.006465,-0.109105,0.051340,-0.012979,-0.342669,0.042564,-0.003858,-0.377905,0.041740,-0.002558,0.361274,0.054385,-0.030530,0.930372,-0.222767,0.094452,0.194111,-0.224225,0.132781,0.183963,-0.255204,0.075061,0.204568,-0.188873,0.075515,0.193801,-0.005194,0.999414,0.029758,0.016078,-0.221709,0.104872,0.000693,-0.234885,0.142209,0.034983,-0.194694,0.079165,-0.017121,-0.235547,0.093241,-0.015781,-0.234951,0.142196,0.034948,-0.194609,0.079037,-0.017225,-0.235550,0.093353,-0.015667,-0.224301,0.132621,0.184019,-0.254216,0.075460,0.204302,-0.189461,0.075529,0.193891,,,,,,,,,,-0.106991,0.051409,-0.013036,-0.342788,0.042584,-0.003958,-0.378569,0.041703,-0.002475,-0.101564,0.053933,0.125179,-0.340795,0.046933,0.134710,-0.369509,0.045660,0.134379,-0.104041,0.052261,0.058939,-0.344185,0.045173,0.069335,-0.373506,0.042936,0.067927,-0.097777,0.055233,0.196088,-0.337423,0.047573,0.206432,-0.374686,0.044609,0.203992
5,0.042000,-0.033778,0.034170,-0.001040,0.998845,-0.269961,0.049154,0.202169,-0.098180,0.055220,0.196092,-0.337474,0.047560,0.206305,-0.374229,0.044683,0.204110,-0.085648,0.040024,0.000258,0.995521,-0.274189,0.046792,0.065472,-0.105386,0.052329,0.059266,-0.344119,0.044667,0.068640,-0.373061,0.043380,0.068510,0.082021,0.051303,-0.001001,0.995309,-0.270370,0.049068,0.131700,-0.101636,0.053892,0.125198,-0.339803,0.047895,0.135737,-0.369671,0.045416,0.134164,0.004044,0.040559,0.000302,0.999169,-0.276547,0.045229,-0.006461,-0.109092,0.051372,-0.012959,-0.342656,0.042571,-0.003860,-0.377892,0.041743,-0.002563,0.364512,0.050272,-0.026814,0.929454,-0.222809,0.094304,0.193901,-0.224298,0.132696,0.184000,-0.255283,0.074728,0.203886,-0.188846,0.075487,0.193815,-0.005268,0.999419,0.029721,0.015846,-0.221703,0.104866,0.000675,-0.234870,0.142204,0.034968,-0.194693,0.079163,-0.017150,-0.235548,0.093232,-0.015792,-0.234935,0.142202,0.034945,-0.194619,0.079045,-0.017248,-0.235545,0.093326,-0.015695,-0.224308,0.132626,0.184020,-0.254257,0.074899,0.203689,-0.189445,0.075530,0.193893,,,,,,,,,,-0.106954,0.051442,-0.013018,-0.342755,0.042599,-0.003957,-0.378587,0.041701,-0.002481,-0.101554,0.053917,0.125220,-0.340776,0.046910,0.134704,-0.369526,0.045623,0.134386,-0.104026,0.052223,0.059012,-0.344166,0.045176,0.069339,-0.373508,0.042926,0.067926,-0.097769,0.055230,0.196059,-0.337430,0.047601,0.206435,-0.374688,0.044624,0.203983
