Format Version,1.23,Take Name,30mm_0.04,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2026-07-14 04.44.16.296 PM,Capture Start Frame,9663114,Total Frames in Take,1871,Total Exported Frames,1871,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,pvc4,pvc4,pvc4,pvc4,pvc4,pvc4,pvc4,pvc4:Marker1,pvc4:Marker1,pvc4:Marker1,pvc4:Marker2,pvc4:Marker2,pvc4:Marker2,pvc4:Marker3,pvc4:Marker3,pvc4:Marker3,pvc3,pvc3,pvc3,pvc3,pvc3,pvc3,pvc3,pvc3:Marker1,pvc3:Marker1,pvc3:Marker1,pvc3:Marker2,pvc3:Marker2,pvc3:Marker2,pvc3:Marker3,pvc3:Marker3,pvc3:Marker3,pvc2,pvc2,pvc2,pvc2,pvc2,pvc2,pvc2,pvc2:Marker1,pvc2:Marker1,pvc2:Marker1,pvc2:Marker2,pvc2:Marker2,pvc2:Marker2,pvc2:Marker3,pvc2:Marker3,pvc2:Marker3,pvc1,pvc1,pvc1,pvc1,pvc1,pvc1,pvc1,pvc1:Marker1,pvc1:Marker1,pvc1:Marker1,pvc1:Marker2,pvc1:Marker2,pvc1:Marker2,pvc1:Marker3,pvc1:Marker3,pvc1:Marker3,FrontMod,FrontMod,FrontMod,FrontMod,FrontMod,FrontMod,FrontMod,FrontMod:Marker1,FrontMod:Marker1,FrontMod:Marker1,FrontMod:Marker2,FrontMod:Marker2,FrontMod:Marker2,FrontMod:Marker3,FrontMod:Marker3,FrontMod:Marker3,BackMod2,BackMod2,BackMod2,BackMod2,BackMod2,BackMod2,BackMod2,BackMod2:Marker1,BackMod2:Marker1,BackMod2:Marker1,BackMod2:Marker2,BackMod2:Marker2,BackMod2:Marker2,BackMod2:Marker3,BackMod2:Marker3,BackMod2:Marker3,pvc1 002,pvc1 002,pvc1 002,pvc1 002,pvc1 002,pvc1 002,pvc1 002,pvc1 002:Marker1,pvc1 002:Marker1,pvc1 002:Marker1,pvc1 002:Marker2,pvc1 002:Marker2,pvc1 002:Marker2,pvc1 002:Marker3,pvc1 002:Marker3,pvc1 002:Marker3,BackMod2:Marker1,BackMod2:Marker1,BackMod2:Marker1,BackMod2:Marker2,BackMod2:Marker2,BackMod2:Marker2,BackMod2:Marker3,BackMod2:Marker3,BackMod2:Marker3,FrontMod:Marker1,FrontMod:Marker1,FrontMod:Marker1,FrontMod:Marker2,FrontMod:Marker2,FrontMod:Marker2,FrontMod:Marker3,FrontMod:Marker3,FrontMod:Marker3,Unlabeled 3124,Unlabeled 3124,Unlabeled 3124,Unlabeled 3125,Unlabeled 3125,Unlabeled 3125,Unlabeled 3126,Unlabeled 3126,Unlabeled 3126,Unlabeled 3127,Unlabeled 3127,Unlabeled 3127,Unlabeled 3128,Unlabeled 3128,Unlabeled 3128,Unlabeled 3129,Unlabeled 3129,Unlabeled 3129,pvc1:Marker1,pvc1:Marker1,pvc1:Marker1,pvc1:Marker2,pvc1:Marker2,pvc1:Marker2,pvc1:Marker3,pvc1:Marker3,pvc1:Marker3,pvc2:Marker1,pvc2:Marker1,pvc2:Marker1,pvc2:Marker2,pvc2:Marker2,pvc2:Marker2,pvc2:Marker3,pvc2:Marker3,pvc2:Marker3,pvc3:Marker1,pvc3:Marker1,pvc3:Marker1,pvc3:Marker2,pvc3:Marker2,pvc3:Marker2,pvc3:Marker3,pvc3:Marker3,pvc3:Marker3,pvc4:Marker1,pvc4:Marker1,pvc4:Marker1,pvc4:Marker2,pvc4:Marker2,pvc4:Marker2,pvc4:Marker3,pvc4:Marker3,pvc4:Marker3
,ID,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,ED3DC5D97FC711F11571DA7D1A00929B,ED3DC5D97FC711F11571DA7D1A00929B,ED3DC5D97FC711F11571DA7D1A00929B,ED3DC5D97FC711F11571DA7D1A00929B,ED3DC5D97FC711F11571DA7D1A00929B,ED3DC5D97FC711F11571DA7D1A00929B,ED3DC5D97FC711F11571DA7D1A00929B,ED3DC5D97FC711F11571DA7D1A00929B,ED3DC5D97FC711F11571DA7D1A00929B,ED3DC5D97FC711F11571DA7D1A00929B,ED3DC5D97FC711F11571DA7D1A00929B,ED3DC5D97FC711F11571DA7D1A00929B,ED3DC5D97FC711F11571DA7D1A00929B,ED3DC5D97FC711F11571DA7D1A00929B,ED3DC5D97FC711F11571DA7D1A00929B,ED3DC5D97FC711F11571DA7D1A00929B,53CA3CF17FD911F11571DA7D1A00929B,53CA3CF17FD911F11571DA7D1A00929B,53CA3CF17FD911F11571DA7D1A00929B,53CA3CF17FD911F11571DA7D1A00929B,53CA3CF17FD911F11571DA7D1A00929B,53CA3CF17FD911F11571DA7D1A00929B,53CA3CF17FD911F11571DA7D1A00929B,53CA3CF17FD911F11571DA7D1A00929B,53CA3CF17FD911F11571DA7D1A00929B,53CA3CF17FD911F11571DA7D1A00929B,53CA3CF17FD911F11571DA7D1A00929B,53CA3CF17FD911F11571DA7D1A00929B,53CA3CF17FD911F11571DA7D1A00929B,53CA3CF17FD911F11571DA7D1A00929B,53CA3CF17FD911F11571DA7D1A00929B,53CA3CF17FD911F11571DA7D1A00929B,"EC3A1DF07FDD11F11571DA7D1A00929B","EC3A1DF07FDD11F11571DA7D1A00929B","EC3A1DF07FDD11F11571DA7D1A00929B","EC3A1DF47FDD11F11571DA7D1A00929B","EC3A1DF47FDD11F11571DA7D1A00929B","EC3A1DF47FDD11F11571DA7D1A00929B","EC3A1DF57FDD11F11571DA7D1A00929B","EC3A1DF57FDD11F11571DA7D1A00929B","EC3A1DF57FDD11F11571DA7D1A00929B","EC3A1DF17FDD11F11571DA7D1A00929B","EC3A1DF17FDD11F11571DA7D1A00929B","EC3A1DF17FDD11F11571DA7D1A00929B","EC3A1DF37FDD11F11571DA7D1A00929B","EC3A1DF37FDD11F11571DA7D1A00929B","EC3A1DF37FDD11F11571DA7D1A00929B","EC3A1DF27FDD11F11571DA7D1A00929B","EC3A1DF27FDD11F11571DA7D1A00929B","EC3A1DF27FDD11F11571DA7D1A00929B","7A4BA9F46437F2111F1","7A4BA9F46437F2111F1","7A4BA9F46437F2111F1","7ACBA9F46437F2111F1","7ACBA9F46437F2111F1","7ACBA9F46437F2111F1","7AEBA9F46437F2111F1","7AEBA9F46437F2111F1","7AEBA9F46437F2111F1","7B3BA9F46437F2111F1","7B3BA9F46437F2111F1","7B3BA9F46437F2111F1","7B4BA9F46437F2111F1","7B4BA9F46437F2111F1","7B4BA9F46437F2111F1","7B5BA9F46437F2111F1","7B5BA9F46437F2111F1","7B5BA9F46437F2111F1","EC3A1DEE7FDD11F11571DA7D1A00929B","EC3A1DEE7FDD11F11571DA7D1A00929B","EC3A1DEE7FDD11F11571DA7D1A00929B","EC3A1DEB7FDD11F11571DA7D1A00929B","EC3A1DEB7FDD11F11571DA7D1A00929B","EC3A1DEB7FDD11F11571DA7D1A00929B","EC3A1DEC7FDD11F11571DA7D1A00929B","EC3A1DEC7FDD11F11571DA7D1A00929B","EC3A1DEC7FDD11F11571DA7D1A00929B","EC3A1DF77FDD11F11571DA7D1A00929B","EC3A1DF77FDD11F11571DA7D1A00929B","EC3A1DF77FDD11F11571DA7D1A00929B","EC3A1DE87FDD11F11571DA7D1A00929B","EC3A1DE87FDD11F11571DA7D1A00929B","EC3A1DE87FDD11F11571DA7D1A00929B","EC3A1DE77FDD11F11571DA7D1A00929B","EC3A1DE77FDD11F11571DA7D1A00929B","EC3A1DE77FDD11F11571DA7D1A00929B","EC3A1DF87FDD11F11571DA7D1A00929B","EC3A1DF87FDD11F11571DA7D1A00929B","EC3A1DF87FDD11F11571DA7D1A00929B","EC3A1DEF7FDD11F11571DA7D1A00929B","EC3A1DEF7FDD11F11571DA7D1A00929B","EC3A1DEF7FDD11F11571DA7D1A00929B","EC3A1DED7FDD11F11571DA7D1A00929B","EC3A1DED7FDD11F11571DA7D1A00929B","EC3A1DED7FDD11F11571DA7D1A00929B","EC3A1DF67FDD11F11571DA7D1A00929B","EC3A1DF67FDD11F11571DA7D1A00929B","EC3A1DF67FDD11F11571DA7D1A00929B","EC3A1DEA7FDD11F11571DA7D1A00929B","EC3A1DEA7FDD11F11571DA7D1A00929B","EC3A1DEA7FDD11F11571DA7D1A00929B","EC3A1DE97FDD11F11571DA7D1A00929B","EC3A1DE97FDD11F11571DA7D1A00929B","EC3A1DE97FDD11F11571DA7D1A00929B"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.004963,0.020429,-0.001216,0.999778,-0.274105,0.049188,0.198899,-0.102218,0.055218,0.197913,-0.341707,0.047506,0.201076,-0.378389,0.044840,0.197707,-0.014435,0.028421,-0.001034,0.999491,-0.275003,0.046169,0.042684,-0.106076,0.051189,0.041228,-0.344998,0.044172,0.043902,-0.373935,0.043146,0.042922,0.007630,0.033503,-0.001645,0.999408,-0.273067,0.048770,0.125508,-0.104213,0.053602,0.124312,-0.342599,0.047787,0.127225,-0.372390,0.044921,0.124986,0.000255,0.024824,-0.000905,0.999691,-0.276303,0.044502,-0.038538,-0.108713,0.050242,-0.039808,-0.342467,0.042004,-0.038000,-0.377728,0.041260,-0.037806,-0.006349,0.025590,-0.023000,0.999388,-0.190805,0.117331,0.132041,-0.192417,0.138286,0.098388,-0.223399,0.108672,0.152044,-0.156599,0.105036,0.145690,0.030114,0.981800,0.186003,0.023769,-0.185118,0.115480,-0.005712,-0.196679,0.141138,0.038463,-0.159385,0.094818,-0.030589,-0.199290,0.110484,-0.025010,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-0.102744,-0.003551,0.002204,-0.066796,-0.002817,0.001036,0.169540,0.006368,-0.003240,-0.196799,0.141212,0.038534,-0.159611,0.094704,-0.030983,-0.199062,0.110462,-0.024896,-0.192179,0.138269,0.098377,-0.223146,0.108580,0.152150,-0.157875,0.105348,0.145400,,,,,,,,,,,,,,,,,,,-0.107502,0.050310,-0.039773,-0.342582,0.041905,-0.038157,-0.378195,0.041328,-0.037664,-0.103559,0.053710,0.124382,-0.343686,0.046768,0.126399,-0.372201,0.045432,0.125413,-0.105404,0.051133,0.041164,-0.344983,0.044887,0.044473,-0.374648,0.042477,0.042409,-0.102114,0.055220,0.197927,-0.341563,0.047533,0.200987,-0.378733,0.044801,0.197810
1,0.008000,-0.007964,0.020304,-0.001190,0.999762,-0.274092,0.049233,0.198902,-0.102206,0.055287,0.197922,-0.341694,0.047552,0.201073,-0.378375,0.044859,0.197712,-0.028328,0.027999,-0.001387,0.999206,-0.275022,0.046178,0.042686,-0.106095,0.051173,0.041227,-0.345019,0.044208,0.043902,-0.373954,0.043152,0.042928,0.016131,0.033796,-0.001474,0.999298,-0.273045,0.048825,0.125539,-0.104190,0.053639,0.124330,-0.342575,0.047828,0.127279,-0.372368,0.045007,0.125008,0.001213,0.024923,-0.001026,0.999688,-0.276341,0.044504,-0.038541,-0.108750,0.050197,-0.039833,-0.342506,0.042024,-0.037995,-0.377768,0.041290,-0.037796,-0.007024,0.025720,-0.023389,0.999371,-0.190843,0.117334,0.132020,-0.192450,0.138244,0.098340,-0.223438,0.108726,0.152044,-0.156642,0.105032,0.145676,0.029095,0.981779,0.186318,0.023453,-0.185152,0.115505,-0.005707,-0.196758,0.141112,0.038486,-0.159380,0.094912,-0.030603,-0.199317,0.110490,-0.025005,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-0.102744,-0.003551,0.002204,-0.066796,-0.002817,0.001036,0.169540,0.006368,-0.003240,-0.196941,0.141229,0.038605,-0.159602,0.094803,-0.030967,-0.199057,0.110464,-0.024888,-0.192179,0.138205,0.098352,-0.223153,0.108626,0.152154,-0.157841,0.105349,0.145383,,,,,,,,,,,,,,,,,,,-0.107518,0.050261,-0.039793,-0.342610,0.041948,-0.038155,-0.378210,0.041338,-0.037651,-0.103568,0.053744,0.124400,-0.343675,0.046788,0.126407,-0.372187,0.045498,0.125432,-0.105436,0.051119,0.041166,-0.344989,0.044932,0.044465,-0.374706,0.042461,0.042411,-0.102109,0.055291,0.197935,-0.341536,0.047561,0.200987,-0.378716,0.044842,0.197807
2,0.017000,-0.013307,0.020120,-0.001301,0.999708,-0.274101,0.049228,0.198899,-0.102215,0.055271,0.197915,-0.341704,0.047570,0.201064,-0.378384,0.044842,0.197718,-0.050690,0.027273,-0.001692,0.998341,-0.275034,0.046172,0.042682,-0.106108,0.051217,0.041228,-0.345031,0.044209,0.043891,-0.373964,0.043090,0.042926,0.029769,0.034213,-0.000960,0.998971,-0.273072,0.048790,0.125533,-0.104219,0.053657,0.124322,-0.342601,0.047737,0.127300,-0.372396,0.044976,0.124978,0.002903,0.024914,-0.000986,0.999685,-0.276350,0.044512,-0.038548,-0.108758,0.050210,-0.039817,-0.342515,0.042031,-0.038011,-0.377776,0.041296,-0.037815,-0.007379,0.025409,-0.023285,0.999379,-0.190829,0.117318,0.131995,-0.192420,0.138204,0.098299,-0.223434,0.108716,0.152006,-0.156633,0.105034,0.145681,0.029596,0.981733,0.186456,0.023650,-0.185157,0.115489,-0.005713,-0.196746,0.141095,0.038486,-0.159402,0.094877,-0.030609,-0.199324,0.110496,-0.025015,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-0.102744,-0.003551,0.002204,-0.066796,-0.002817,0.001036,0.169540,0.006368,-0.003240,-0.196919,0.141206,0.038595,-0.159610,0.094774,-0.030952,-0.199076,0.110472,-0.024902,-0.192142,0.138166,0.098309,-0.223151,0.108614,0.152120,-0.157840,0.105356,0.145379,,,,,,,,,,,,,,,,,,,-0.107495,0.050278,-0.039776,-0.342624,0.041947,-0.038168,-0.378205,0.041352,-0.037674,-0.103605,0.053755,0.124395,-0.343691,0.046777,0.126399,-0.372214,0.045426,0.125413,-0.105438,0.051167,0.041163,-0.345014,0.044863,0.044451,-0.374669,0.042471,0.042418,-0.102134,0.055275,0.197927,-0.341522,0.047578,0.200979,-0.378712,0.044828,0.197804
3,0.025000,-0.021046,0.019824,-0.001363,0.999581,-0.274087,0.049254,0.198901,-0.102201,0.055316,0.197921,-0.341691,0.047616,0.201053,-0.378368,0.044829,0.197729,-0.077837,0.026452,-0.002204,0.996613,-0.275030,0.046187,0.042679,-0.106104,0.051243,0.041205,-0.345028,0.044252,0.043889,-0.373959,0.043066,0.042943,0.045793,0.035068,-0.000208,0.998335,-0.273029,0.048975,0.125575,-0.104180,0.053960,0.124239,-0.342555,0.047833,0.127423,-0.372352,0.045132,0.125062,0.005212,0.024990,-0.000999,0.999674,-0.276322,0.044510,-0.038559,-0.108730,0.050190,-0.039827,-0.342487,0.042036,-0.038024,-0.377749,0.041305,-0.037826,-0.006612,0.025620,-0.023159,0.999382,-0.190842,0.117371,0.132022,-0.192450,0.138309,0.098358,-0.223437,0.108732,0.152032,-0.156638,0.105073,0.145675,0.029436,0.981735,0.186481,0.023538,-0.185150,0.115494,-0.005707,-0.196740,0.141093,0.038494,-0.159391,0.094892,-0.030609,-0.199317,0.110496,-0.025007,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-0.102744,-0.003551,0.002204,-0.066796,-0.002817,0.001036,0.169540,0.006368,-0.003240,-0.196925,0.141212,0.038615,-0.159605,0.094780,-0.030974,-0.199060,0.110471,-0.024890,-0.192174,0.138273,0.098366,-0.223151,0.108629,0.152146,-0.157853,0.105394,0.145378,,,,,,,,,,,,,,,,,,,-0.107502,0.050248,-0.039789,-0.342582,0.041974,-0.038180,-0.378222,0.041341,-0.037684,-0.103755,0.054038,0.124300,-0.343676,0.046778,0.126393,-0.372195,0.045485,0.125416,-0.105380,0.051195,0.041134,-0.345010,0.044864,0.044466,-0.374685,0.042484,0.042420,-0.102097,0.055318,0.197931,-0.341530,0.047640,0.200988,-0.378734,0.044793,0.197801
4,0.033000,-0.026615,0.019598,-0.001429,0.999453,-0.274081,0.049219,0.198892,-0.102196,0.055286,0.197920,-0.341686,0.047599,0.201033,-0.378362,0.044771,0.197724,-0.107836,0.025436,-0.002913,0.993839,-0.275032,0.046172,0.042690,-0.106105,0.051194,0.041226,-0.345031,0.044288,0.043886,-0.373961,0.043036,0.042959,0.064182,0.035278,-0.000097,0.997315,-0.273046,0.048789,0.125549,-0.104193,0.053644,0.124314,-0.342573,0.047651,0.127388,-0.372374,0.045071,0.124945,0.007847,0.025205,-0.000835,0.999651,-0.276222,0.044465,-0.038489,-0.108632,0.050185,-0.039798,-0.342387,0.041974,-0.037939,-0.377648,0.041236,-0.037730,-0.007133,0.025695,-0.023276,0.999373,-0.190840,0.117353,0.132000,-0.192450,0.138256,0.098315,-0.223434,0.108742,0.152025,-0.156637,0.105062,0.145660,0.028901,0.981802,0.186253,0.023226,-0.185135,0.115520,-0.005709,-0.196736,0.141127,0.038485,-0.159363,0.094936,-0.030612,-0.199305,0.110496,-0.025001,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-0.102744,-0.003551,0.002204,-0.066796,-0.002817,0.001036,0.169540,0.006368,-0.003240,-0.196918,0.141246,0.038607,-0.159581,0.094829,-0.030970,-0.199045,0.110470,-0.024886,-0.192163,0.138223,0.098315,-0.223154,0.108634,0.152148,-0.157836,0.105383,0.145360,,,,,,,,,,,,,,,,,,,-0.107504,0.050263,-0.039785,-0.342426,0.041724,-0.038070,-0.378203,0.041354,-0.037654,-0.103566,0.053735,0.124395,-0.343683,0.046781,0.126395,-0.372186,0.045480,0.125426,-0.105431,0.051149,0.041157,-0.345008,0.044893,0.044475,-0.374677,0.042457,0.042422,-0.102084,0.055296,0.197930,-0.341535,0.047567,0.200967,-0.378735,0.044801,0.197801
5,0.042000,-0.029125,0.019519,-0.001541,0.999384,-0.274109,0.049200,0.198902,-0.102223,0.055242,0.197925,-0.341715,0.047599,0.201040,-0.378390,0.044758,0.197740,-0.138238,0.024444,-0.003519,0.990091,-0.275036,0.046168,0.042673,-0.106109,0.051190,0.041194,-0.345036,0.044319,0.043861,-0.373963,0.042995,0.042963,0.084166,0.035914,0.000419,0.995804,-0.273046,0.048760,0.125551,-0.104192,0.053614,0.124291,-0.342570,0.047568,0.127435,-0.372375,0.045096,0.124929,0.010813,0.025201,-0.000823,0.999624,-0.276332,0.044495,-0.038544,-0.108741,0.050201,-0.039817,-0.342497,0.042009,-0.038009,-0.377759,0.041274,-0.037805,-0.007648,0.025592,-0.023256,0.999373,-0.190839,0.117333,0.132002,-0.192444,0.138201,0.098295,-0.223436,0.108740,0.152030,-0.156638,0.105059,0.145682,0.029067,0.981789,0.186295,0.023213,-0.185159,0.115495,-0.005712,-0.196748,0.141102,0.038486,-0.159396,0.094905,-0.030619,-0.199332,0.110478,-0.025003,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-0.102744,-0.003551,0.002204,-0.066796,-0.002817,0.001036,0.169540,0.006368,-0.003240,-0.196934,0.141223,0.038609,-0.159633,0.094797,-0.030990,-0.199062,0.110449,-0.024887,-0.192168,0.138159,0.098312,-0.223156,0.108640,0.152141,-0.157834,0.105382,0.145376,,,,,,,,,,,,,,,,,,,-0.107526,0.050264,-0.039782,-0.342604,0.041934,-0.038152,-0.378195,0.041322,-0.037677,-0.103564,0.053702,0.124375,-0.343697,0.046734,0.126391,-0.372186,0.045483,0.125429,-0.105428,0.051148,0.041123,-0.345008,0.044891,0.044470,-0.374689,0.042446,0.042405,-0.102137,0.055252,0.197934,-0.341534,0.047553,0.200975,-0.378730,0.044800,0.197807
