Format Version,1.23,Take Name,30mm_0.07,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2026-07-14 04.40.59.891 PM,Capture Start Frame,9639546,Total Frames in Take,1418,Total Exported Frames,1418,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,pvc4,pvc4,pvc4,pvc4,pvc4,pvc4,pvc4,pvc4:Marker1,pvc4:Marker1,pvc4:Marker1,pvc4:Marker2,pvc4:Marker2,pvc4:Marker2,pvc4:Marker3,pvc4:Marker3,pvc4:Marker3,pvc3,pvc3,pvc3,pvc3,pvc3,pvc3,pvc3,pvc3:Marker1,pvc3:Marker1,pvc3:Marker1,pvc3:Marker2,pvc3:Marker2,pvc3:Marker2,pvc3:Marker3,pvc3:Marker3,pvc3:Marker3,pvc2,pvc2,pvc2,pvc2,pvc2,pvc2,pvc2,pvc2:Marker1,pvc2:Marker1,pvc2:Marker1,pvc2:Marker2,pvc2:Marker2,pvc2:Marker2,pvc2:Marker3,pvc2:Marker3,pvc2:Marker3,pvc1,pvc1,pvc1,pvc1,pvc1,pvc1,pvc1,pvc1:Marker1,pvc1:Marker1,pvc1:Marker1,pvc1:Marker2,pvc1:Marker2,pvc1:Marker2,pvc1:Marker3,pvc1:Marker3,pvc1:Marker3,FrontMod,FrontMod,FrontMod,FrontMod,FrontMod,FrontMod,FrontMod,FrontMod:Marker1,FrontMod:Marker1,FrontMod:Marker1,FrontMod:Marker2,FrontMod:Marker2,FrontMod:Marker2,FrontMod:Marker3,FrontMod:Marker3,FrontMod:Marker3,BackMod2,BackMod2,BackMod2,BackMod2,BackMod2,BackMod2,BackMod2,BackMod2:Marker1,BackMod2:Marker1,BackMod2:Marker1,BackMod2:Marker2,BackMod2:Marker2,BackMod2:Marker2,BackMod2:Marker3,BackMod2:Marker3,BackMod2:Marker3,pvc1 002,pvc1 002,pvc1 002,pvc1 002,pvc1 002,pvc1 002,pvc1 002,pvc1 002:Marker1,pvc1 002:Marker1,pvc1 002:Marker1,pvc1 002:Marker2,pvc1 002:Marker2,pvc1 002:Marker2,pvc1 002:Marker3,pvc1 002:Marker3,pvc1 002:Marker3,BackMod2:Marker1,BackMod2:Marker1,BackMod2:Marker1,BackMod2:Marker2,BackMod2:Marker2,BackMod2:Marker2,BackMod2:Marker3,BackMod2:Marker3,BackMod2:Marker3,FrontMod:Marker1,FrontMod:Marker1,FrontMod:Marker1,FrontMod:Marker2,FrontMod:Marker2,FrontMod:Marker2,FrontMod:Marker3,FrontMod:Marker3,FrontMod:Marker3,pvc1:Marker1,pvc1:Marker1,pvc1:Marker1,pvc1:Marker2,pvc1:Marker2,pvc1:Marker2,pvc1:Marker3,pvc1:Marker3,pvc1:Marker3,pvc2:Marker1,pvc2:Marker1,pvc2:Marker1,pvc2:Marker2,pvc2:Marker2,pvc2:Marker2,pvc2:Marker3,pvc2:Marker3,pvc2:Marker3,pvc3:Marker1,pvc3:Marker1,pvc3:Marker1,pvc3:Marker2,pvc3:Marker2,pvc3:Marker2,pvc3:Marker3,pvc3:Marker3,pvc3:Marker3,pvc4:Marker1,pvc4:Marker1,pvc4:Marker1,pvc4:Marker2,pvc4:Marker2,pvc4:Marker2,pvc4:Marker3,pvc4:Marker3,pvc4:Marker3
,ID,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,ED3DC5D97FC711F11571DA7D1A00929B,ED3DC5D97FC711F11571DA7D1A00929B,ED3DC5D97FC711F11571DA7D1A00929B,ED3DC5D97FC711F11571DA7D1A00929B,ED3DC5D97FC711F11571DA7D1A00929B,ED3DC5D97FC711F11571DA7D1A00929B,ED3DC5D97FC711F11571DA7D1A00929B,ED3DC5D97FC711F11571DA7D1A00929B,ED3DC5D97FC711F11571DA7D1A00929B,ED3DC5D97FC711F11571DA7D1A00929B,ED3DC5D97FC711F11571DA7D1A00929B,ED3DC5D97FC711F11571DA7D1A00929B,ED3DC5D97FC711F11571DA7D1A00929B,ED3DC5D97FC711F11571DA7D1A00929B,ED3DC5D97FC711F11571DA7D1A00929B,ED3DC5D97FC711F11571DA7D1A00929B,53CA3CF17FD911F11571DA7D1A00929B,53CA3CF17FD911F11571DA7D1A00929B,53CA3CF17FD911F11571DA7D1A00929B,53CA3CF17FD911F11571DA7D1A00929B,53CA3CF17FD911F11571DA7D1A00929B,53CA3CF17FD911F11571DA7D1A00929B,53CA3CF17FD911F11571DA7D1A00929B,53CA3CF17FD911F11571DA7D1A00929B,53CA3CF17FD911F11571DA7D1A00929B,53CA3CF17FD911F11571DA7D1A00929B,53CA3CF17FD911F11571DA7D1A00929B,53CA3CF17FD911F11571DA7D1A00929B,53CA3CF17FD911F11571DA7D1A00929B,53CA3CF17FD911F11571DA7D1A00929B,53CA3CF17FD911F11571DA7D1A00929B,53CA3CF17FD911F11571DA7D1A00929B,"77293ED47FDD11F11571DA7D1A00929B","77293ED47FDD11F11571DA7D1A00929B","77293ED47FDD11F11571DA7D1A00929B","77293ED57FDD11F11571DA7D1A00929B","77293ED57FDD11F11571DA7D1A00929B","77293ED57FDD11F11571DA7D1A00929B","77293ED37FDD11F11571DA7D1A00929B","77293ED37FDD11F11571DA7D1A00929B","77293ED37FDD11F11571DA7D1A00929B","77293ED07FDD11F11571DA7D1A00929B","77293ED07FDD11F11571DA7D1A00929B","77293ED07FDD11F11571DA7D1A00929B","77293ED17FDD11F11571DA7D1A00929B","77293ED17FDD11F11571DA7D1A00929B","77293ED17FDD11F11571DA7D1A00929B","77293ED77FDD11F11571DA7D1A00929B","77293ED77FDD11F11571DA7D1A00929B","77293ED77FDD11F11571DA7D1A00929B","77293ECF7FDD11F11571DA7D1A00929B","77293ECF7FDD11F11571DA7D1A00929B","77293ECF7FDD11F11571DA7D1A00929B","77293ECC7FDD11F11571DA7D1A00929B","77293ECC7FDD11F11571DA7D1A00929B","77293ECC7FDD11F11571DA7D1A00929B","77293ECD7FDD11F11571DA7D1A00929B","77293ECD7FDD11F11571DA7D1A00929B","77293ECD7FDD11F11571DA7D1A00929B","77293ED97FDD11F11571DA7D1A00929B","77293ED97FDD11F11571DA7D1A00929B","77293ED97FDD11F11571DA7D1A00929B","77293EC97FDD11F11571DA7D1A00929B","77293EC97FDD11F11571DA7D1A00929B","77293EC97FDD11F11571DA7D1A00929B","77293EC87FDD11F11571DA7D1A00929B","77293EC87FDD11F11571DA7D1A00929B","77293EC87FDD11F11571DA7D1A00929B","77293ED67FDD11F11571DA7D1A00929B","77293ED67FDD11F11571DA7D1A00929B","77293ED67FDD11F11571DA7D1A00929B","77293ED27FDD11F11571DA7D1A00929B","77293ED27FDD11F11571DA7D1A00929B","77293ED27FDD11F11571DA7D1A00929B","77293ECE7FDD11F11571DA7D1A00929B","77293ECE7FDD11F11571DA7D1A00929B","77293ECE7FDD11F11571DA7D1A00929B","77293ED87FDD11F11571DA7D1A00929B","77293ED87FDD11F11571DA7D1A00929B","77293ED87FDD11F11571DA7D1A00929B","77293ECB7FDD11F11571DA7D1A00929B","77293ECB7FDD11F11571DA7D1A00929B","77293ECB7FDD11F11571DA7D1A00929B","77293ECA7FDD11F11571DA7D1A00929B","77293ECA7FDD11F11571DA7D1A00929B","77293ECA7FDD11F11571DA7D1A00929B"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.004051,0.020406,-0.000558,0.999783,-0.274377,0.049167,0.197464,-0.102499,0.055419,0.196497,-0.341977,0.047394,0.199635,-0.378656,0.044687,0.196259,-0.011632,0.026844,-0.000630,0.999572,-0.275588,0.045934,0.041727,-0.106660,0.051078,0.040832,-0.345585,0.043883,0.042713,-0.374517,0.042843,0.041635,0.014728,0.036945,-0.001684,0.999207,-0.273265,0.049072,0.126887,-0.104421,0.053844,0.124599,-0.342784,0.048096,0.129068,-0.372591,0.045276,0.126993,0.000222,0.023406,-0.000779,0.999726,-0.276568,0.044545,-0.039065,-0.108976,0.050327,-0.039860,-0.342733,0.042030,-0.038714,-0.377995,0.041278,-0.038620,0.043673,0.027227,-0.017060,0.998529,-0.201462,0.115225,0.137320,-0.203318,0.139431,0.105939,-0.233944,0.104301,0.156375,-0.167123,0.101942,0.149647,0.024178,0.985152,0.168928,0.018798,-0.196886,0.113834,-0.009258,-0.208404,0.140865,0.034102,-0.171098,0.092648,-0.033633,-0.211155,0.107989,-0.028243,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-0.102744,-0.003551,0.002204,-0.066796,-0.002817,0.001036,0.169540,0.006368,-0.003240,-0.208626,0.141078,0.034369,-0.171164,0.092558,-0.033837,-0.210956,0.107954,-0.028194,-0.202633,0.139489,0.105762,-0.233788,0.104078,0.156644,-0.168466,0.102446,0.149185,-0.107792,0.050410,-0.039829,-0.342878,0.041818,-0.038898,-0.378400,0.041376,-0.038518,-0.104013,0.053953,0.124649,-0.343793,0.046494,0.128148,-0.372473,0.045838,0.127324,-0.105467,0.050980,0.040691,-0.345397,0.044560,0.043409,-0.375368,0.042207,0.041005,-0.102383,0.055419,0.196503,-0.341829,0.047433,0.199597,-0.379035,0.044631,0.196303
1,0.008000,-0.006567,0.020302,-0.000644,0.999772,-0.274382,0.049155,0.197456,-0.102503,0.055391,0.196492,-0.341983,0.047398,0.199622,-0.378661,0.044677,0.196252,-0.021681,0.026589,-0.000916,0.999411,-0.275592,0.045910,0.041718,-0.106664,0.051031,0.040803,-0.345590,0.043880,0.042710,-0.374522,0.042820,0.041640,0.027685,0.037466,-0.001374,0.998913,-0.273264,0.049118,0.126922,-0.104420,0.053895,0.124588,-0.342781,0.048108,0.129148,-0.372591,0.045352,0.127031,0.001144,0.023475,-0.000882,0.999723,-0.276589,0.044559,-0.039053,-0.108996,0.050301,-0.039861,-0.342755,0.042060,-0.038698,-0.378017,0.041316,-0.038601,0.043794,0.027352,-0.017235,0.998517,-0.201456,0.115258,0.137341,-0.203313,0.139472,0.105966,-0.233937,0.104341,0.156402,-0.167118,0.101960,0.149656,0.024759,0.985106,0.169054,0.019342,-0.196892,0.113831,-0.009240,-0.208413,0.140866,0.034117,-0.171111,0.092617,-0.033598,-0.211152,0.108010,-0.028239,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-0.102744,-0.003551,0.002204,-0.066796,-0.002817,0.001036,0.169540,0.006368,-0.003240,-0.208632,0.141081,0.034388,-0.171188,0.092531,-0.033801,-0.210940,0.107967,-0.028196,-0.202622,0.139537,0.105778,-0.233775,0.104115,0.156673,-0.168469,0.102458,0.149204,-0.107793,0.050398,-0.039819,-0.342873,0.041816,-0.038900,-0.378383,0.041433,-0.038490,-0.104078,0.053995,0.124637,-0.343798,0.046448,0.128147,-0.372475,0.045847,0.127337,-0.105462,0.050937,0.040658,-0.345409,0.044537,0.043419,-0.375367,0.042202,0.040997,-0.102377,0.055393,0.196499,-0.341851,0.047429,0.199581,-0.379038,0.044630,0.196302
2,0.017000,-0.009588,0.020158,-0.000551,0.999751,-0.274380,0.049130,0.197459,-0.102502,0.055413,0.196507,-0.341980,0.047365,0.199617,-0.378657,0.044612,0.196254,-0.038808,0.026024,-0.001268,0.998907,-0.275584,0.045887,0.041719,-0.106656,0.051016,0.040812,-0.345582,0.043875,0.042705,-0.374513,0.042771,0.041640,0.049484,0.038116,-0.000866,0.998047,-0.273239,0.049083,0.126940,-0.104395,0.053863,0.124599,-0.342753,0.048015,0.129209,-0.372568,0.045370,0.127013,0.002718,0.023560,-0.001000,0.999718,-0.276606,0.044522,-0.039050,-0.109012,0.050215,-0.039867,-0.342772,0.042043,-0.038692,-0.378034,0.041309,-0.038591,0.043469,0.027410,-0.017255,0.998530,-0.201441,0.115201,0.137314,-0.203301,0.139395,0.105923,-0.233920,0.104297,0.156386,-0.167102,0.101911,0.149633,0.024289,0.985137,0.168975,0.019014,-0.196879,0.113836,-0.009259,-0.208406,0.140866,0.034099,-0.171088,0.092644,-0.033626,-0.211142,0.107997,-0.028250,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-0.102744,-0.003551,0.002204,-0.066796,-0.002817,0.001036,0.169540,0.006368,-0.003240,-0.208636,0.141081,0.034365,-0.171143,0.092550,-0.033832,-0.210954,0.107968,-0.028195,-0.202610,0.139450,0.105750,-0.233764,0.104074,0.156656,-0.168475,0.102429,0.149158,-0.107809,0.050309,-0.039827,-0.342897,0.041814,-0.038880,-0.378384,0.041419,-0.038487,-0.104057,0.053956,0.124652,-0.343786,0.046477,0.128155,-0.372445,0.045824,0.127331,-0.105455,0.050928,0.040668,-0.345392,0.044505,0.043412,-0.375373,0.042174,0.040994,-0.102372,0.055418,0.196512,-0.341843,0.047375,0.199585,-0.379053,0.044590,0.196291
3,0.025000,-0.013139,0.019990,-0.000544,0.999714,-0.274390,0.049105,0.197448,-0.102513,0.055408,0.196508,-0.341991,0.047344,0.199597,-0.378666,0.044561,0.196241,-0.060441,0.025375,-0.001793,0.997848,-0.275569,0.045871,0.041709,-0.106641,0.050981,0.040788,-0.345569,0.043893,0.042696,-0.374497,0.042739,0.041644,0.079413,0.038969,-0.000009,0.996080,-0.273244,0.049051,0.126961,-0.104402,0.053889,0.124618,-0.342755,0.047879,0.129282,-0.372574,0.045384,0.126982,0.004734,0.023543,-0.000706,0.999711,-0.276602,0.044538,-0.039053,-0.109010,0.050316,-0.039840,-0.342767,0.042024,-0.038707,-0.378028,0.041273,-0.038611,0.043756,0.027398,-0.017187,0.998519,-0.201458,0.115228,0.137315,-0.203320,0.139439,0.105938,-0.233937,0.104309,0.156380,-0.167118,0.101935,0.149628,0.024146,0.985140,0.168978,0.019018,-0.196896,0.113824,-0.009262,-0.208433,0.140851,0.034095,-0.171098,0.092640,-0.033628,-0.211156,0.107981,-0.028254,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-0.102744,-0.003551,0.002204,-0.066796,-0.002817,0.001036,0.169540,0.006368,-0.003240,-0.208661,0.141059,0.034349,-0.171152,0.092544,-0.033836,-0.210969,0.107956,-0.028193,-0.202641,0.139495,0.105765,-0.233781,0.104088,0.156645,-0.168453,0.102436,0.149170,-0.107770,0.050401,-0.039804,-0.342904,0.041841,-0.038882,-0.378396,0.041358,-0.038513,-0.104036,0.053982,0.124677,-0.343806,0.046407,0.128131,-0.372450,0.045838,0.127346,-0.105441,0.050898,0.040642,-0.345375,0.044498,0.043413,-0.375363,0.042163,0.040988,-0.102392,0.055413,0.196514,-0.341834,0.047354,0.199565,-0.379071,0.044540,0.196278
4,0.033000,-0.015834,0.019901,-0.000610,0.999676,-0.274389,0.049139,0.197452,-0.102512,0.055433,0.196508,-0.341990,0.047391,0.199598,-0.378665,0.044591,0.196251,-0.084451,0.024569,-0.002337,0.996122,-0.275583,0.045869,0.041702,-0.106655,0.050972,0.040788,-0.345584,0.043922,0.042678,-0.374511,0.042712,0.041640,0.114996,0.039980,0.000872,0.992561,-0.273275,0.049030,0.126949,-0.104434,0.053891,0.124591,-0.342782,0.047750,0.129332,-0.372609,0.045449,0.126925,0.007110,0.023627,-0.000747,0.999695,-0.276599,0.044534,-0.039073,-0.109006,0.050284,-0.039861,-0.342765,0.042031,-0.038728,-0.378026,0.041286,-0.038629,0.043586,0.027575,-0.017844,0.998510,-0.201470,0.115215,0.137325,-0.203314,0.139417,0.105940,-0.233954,0.104345,0.156407,-0.167142,0.101882,0.149628,0.024453,0.985133,0.168969,0.019112,-0.196886,0.113841,-0.009263,-0.208410,0.140876,0.034094,-0.171099,0.092640,-0.033626,-0.211149,0.108007,-0.028256,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-0.102744,-0.003551,0.002204,-0.066796,-0.002817,0.001036,0.169540,0.006368,-0.003240,-0.208652,0.141097,0.034364,-0.171160,0.092541,-0.033846,-0.210946,0.107979,-0.028191,-0.202601,0.139481,0.105750,-0.233800,0.104114,0.156686,-0.168485,0.102391,0.149164,-0.107790,0.050369,-0.039826,-0.342901,0.041841,-0.038902,-0.378390,0.041376,-0.038532,-0.104051,0.053976,0.124656,-0.343763,0.046556,0.128193,-0.372482,0.045859,0.127327,-0.105437,0.050892,0.040639,-0.345394,0.044506,0.043399,-0.375368,0.042156,0.040982,-0.102395,0.055441,0.196516,-0.341844,0.047378,0.199557,-0.379041,0.044599,0.196299
5,0.042000,-0.018859,0.019778,-0.000610,0.999626,-0.274384,0.049161,0.197465,-0.102507,0.055471,0.196524,-0.341986,0.047419,0.199605,-0.378659,0.044594,0.196266,-0.108637,0.023701,-0.002770,0.993795,-0.275593,0.045896,0.041722,-0.106666,0.051034,0.040825,-0.345595,0.043964,0.042682,-0.374519,0.042690,0.041659,0.158985,0.040671,0.001786,0.986441,-0.273310,0.048801,0.126898,-0.104465,0.053607,0.124678,-0.342815,0.047416,0.129283,-0.372650,0.045381,0.126735,0.009900,0.023791,-0.000884,0.999668,-0.276737,0.044585,-0.039134,-0.109142,0.050272,-0.039945,-0.342903,0.042108,-0.038781,-0.378165,0.041377,-0.038675,0.043577,0.027404,-0.017342,0.998524,-0.201456,0.115233,0.137325,-0.203311,0.139433,0.105939,-0.233937,0.104331,0.156394,-0.167119,0.101934,0.149641,0.024557,0.985157,0.168792,0.019300,-0.196884,0.113812,-0.009250,-0.208415,0.140865,0.034093,-0.171095,0.092595,-0.033598,-0.211142,0.107975,-0.028246,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-0.102744,-0.003551,0.002204,-0.066796,-0.002817,0.001036,0.169540,0.006368,-0.003240,-0.208659,0.141097,0.034381,-0.171145,0.092499,-0.033805,-0.210959,0.107947,-0.028192,-0.202615,0.139500,0.105748,-0.233777,0.104103,0.156668,-0.168455,0.102428,0.149193,-0.107798,0.050347,-0.039830,-0.343039,0.042049,-0.039005,-0.378379,0.041416,-0.038482,-0.103871,0.053704,0.124768,-0.343799,0.046495,0.128174,-0.372488,0.045861,0.127332,-0.105457,0.050963,0.040673,-0.345409,0.044498,0.043406,-0.375358,0.042181,0.040998,-0.102383,0.055477,0.196530,-0.341835,0.047426,0.199578,-0.379062,0.044574,0.196297
