Format Version,1.23,Take Name,20mm_0.27,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2026-07-14 12.40.50.067 PM,Capture Start Frame,7910369,Total Frames in Take,1491,Total Exported Frames,1491,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,pvc4,pvc4,pvc4,pvc4,pvc4,pvc4,pvc4,pvc4:Marker1,pvc4:Marker1,pvc4:Marker1,pvc4:Marker2,pvc4:Marker2,pvc4:Marker2,pvc4:Marker3,pvc4:Marker3,pvc4:Marker3,pvc3,pvc3,pvc3,pvc3,pvc3,pvc3,pvc3,pvc3:Marker1,pvc3:Marker1,pvc3:Marker1,pvc3:Marker2,pvc3:Marker2,pvc3:Marker2,pvc3:Marker3,pvc3:Marker3,pvc3:Marker3,pvc2,pvc2,pvc2,pvc2,pvc2,pvc2,pvc2,pvc2:Marker1,pvc2:Marker1,pvc2:Marker1,pvc2:Marker2,pvc2:Marker2,pvc2:Marker2,pvc2:Marker3,pvc2:Marker3,pvc2:Marker3,pvc1,pvc1,pvc1,pvc1,pvc1,pvc1,pvc1,pvc1:Marker1,pvc1:Marker1,pvc1:Marker1,pvc1:Marker2,pvc1:Marker2,pvc1:Marker2,pvc1:Marker3,pvc1:Marker3,pvc1:Marker3,FrontMod,FrontMod,FrontMod,FrontMod,FrontMod,FrontMod,FrontMod,FrontMod:Marker1,FrontMod:Marker1,FrontMod:Marker1,FrontMod:Marker2,FrontMod:Marker2,FrontMod:Marker2,FrontMod:Marker3,FrontMod:Marker3,FrontMod:Marker3,BackMod,BackMod,BackMod,BackMod,BackMod,BackMod,BackMod,BackMod:Marker1,BackMod:Marker1,BackMod:Marker1,BackMod:Marker2,BackMod:Marker2,BackMod:Marker2,BackMod:Marker3,BackMod:Marker3,BackMod:Marker3,BackMod:Marker1,BackMod:Marker1,BackMod:Marker1,BackMod:Marker2,BackMod:Marker2,BackMod:Marker2,BackMod:Marker3,BackMod:Marker3,BackMod:Marker3,FrontMod:Marker1,FrontMod:Marker1,FrontMod:Marker1,FrontMod:Marker2,FrontMod:Marker2,FrontMod:Marker2,FrontMod:Marker3,FrontMod:Marker3,FrontMod:Marker3,pvc1:Marker1,pvc1:Marker1,pvc1:Marker1,pvc1:Marker2,pvc1:Marker2,pvc1:Marker2,pvc1:Marker3,pvc1:Marker3,pvc1:Marker3,pvc2:Marker1,pvc2:Marker1,pvc2:Marker1,pvc2:Marker2,pvc2:Marker2,pvc2:Marker2,pvc2:Marker3,pvc2:Marker3,pvc2:Marker3,pvc3:Marker1,pvc3:Marker1,pvc3:Marker1,pvc3:Marker2,pvc3:Marker2,pvc3:Marker2,pvc3:Marker3,pvc3:Marker3,pvc3:Marker3,pvc4:Marker1,pvc4:Marker1,pvc4:Marker1,pvc4:Marker2,pvc4:Marker2,pvc4:Marker2,pvc4:Marker3,pvc4:Marker3,pvc4:Marker3
,ID,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,56558AE07FA711F11571DA7D1A00929B,56558AE07FA711F11571DA7D1A00929B,56558AE07FA711F11571DA7D1A00929B,56558AE07FA711F11571DA7D1A00929B,56558AE07FA711F11571DA7D1A00929B,56558AE07FA711F11571DA7D1A00929B,56558AE07FA711F11571DA7D1A00929B,56558AE07FA711F11571DA7D1A00929B,56558AE07FA711F11571DA7D1A00929B,56558AE07FA711F11571DA7D1A00929B,56558AE07FA711F11571DA7D1A00929B,56558AE07FA711F11571DA7D1A00929B,56558AE07FA711F11571DA7D1A00929B,56558AE07FA711F11571DA7D1A00929B,56558AE07FA711F11571DA7D1A00929B,56558AE07FA711F11571DA7D1A00929B,"EA3C66717FBB11F11571DA7D1A00929B","EA3C66717FBB11F11571DA7D1A00929B","EA3C66717FBB11F11571DA7D1A00929B","EA3C66727FBB11F11571DA7D1A00929B","EA3C66727FBB11F11571DA7D1A00929B","EA3C66727FBB11F11571DA7D1A00929B","EA3C66737FBB11F11571DA7D1A00929B","EA3C66737FBB11F11571DA7D1A00929B","EA3C66737FBB11F11571DA7D1A00929B","EA3C66707FBB11F11571DA7D1A00929B","EA3C66707FBB11F11571DA7D1A00929B","EA3C66707FBB11F11571DA7D1A00929B","EA3C66757FBB11F11571DA7D1A00929B","EA3C66757FBB11F11571DA7D1A00929B","EA3C66757FBB11F11571DA7D1A00929B","EA3C66747FBB11F11571DA7D1A00929B","EA3C66747FBB11F11571DA7D1A00929B","EA3C66747FBB11F11571DA7D1A00929B","EA3C666F7FBB11F11571DA7D1A00929B","EA3C666F7FBB11F11571DA7D1A00929B","EA3C666F7FBB11F11571DA7D1A00929B","EA3C666E7FBB11F11571DA7D1A00929B","EA3C666E7FBB11F11571DA7D1A00929B","EA3C666E7FBB11F11571DA7D1A00929B","EA3C66677FBB11F11571DA7D1A00929B","EA3C66677FBB11F11571DA7D1A00929B","EA3C66677FBB11F11571DA7D1A00929B","EA3C66787FBB11F11571DA7D1A00929B","EA3C66787FBB11F11571DA7D1A00929B","EA3C66787FBB11F11571DA7D1A00929B","EA3C666C7FBB11F11571DA7D1A00929B","EA3C666C7FBB11F11571DA7D1A00929B","EA3C666C7FBB11F11571DA7D1A00929B","EA3C666A7FBB11F11571DA7D1A00929B","EA3C666A7FBB11F11571DA7D1A00929B","EA3C666A7FBB11F11571DA7D1A00929B","EA3C66777FBB11F11571DA7D1A00929B","EA3C66777FBB11F11571DA7D1A00929B","EA3C66777FBB11F11571DA7D1A00929B","EA3C666B7FBB11F11571DA7D1A00929B","EA3C666B7FBB11F11571DA7D1A00929B","EA3C666B7FBB11F11571DA7D1A00929B","EA3C66687FBB11F11571DA7D1A00929B","EA3C66687FBB11F11571DA7D1A00929B","EA3C66687FBB11F11571DA7D1A00929B","EA3C66767FBB11F11571DA7D1A00929B","EA3C66767FBB11F11571DA7D1A00929B","EA3C66767FBB11F11571DA7D1A00929B","EA3C666D7FBB11F11571DA7D1A00929B","EA3C666D7FBB11F11571DA7D1A00929B","EA3C666D7FBB11F11571DA7D1A00929B","EA3C66697FBB11F11571DA7D1A00929B","EA3C66697FBB11F11571DA7D1A00929B","EA3C66697FBB11F11571DA7D1A00929B"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.008104,0.020999,-0.000381,0.999747,-0.234202,0.049715,0.202364,-0.062327,0.056046,0.201141,-0.301798,0.047926,0.204631,-0.338480,0.045173,0.201321,-0.019786,0.021600,0.002116,0.999569,-0.233888,0.046760,0.065861,-0.064995,0.052924,0.066633,-0.303879,0.044295,0.066155,-0.332792,0.043061,0.064795,0.022638,0.034308,-0.003440,0.999149,-0.232589,0.050068,0.137606,-0.063716,0.054164,0.136273,-0.302121,0.049351,0.139409,-0.331929,0.046689,0.137136,-0.001278,0.026822,0.000141,0.999640,-0.234575,0.045975,-0.003551,-0.067005,0.052073,-0.005509,-0.300732,0.043335,-0.002740,-0.335990,0.042516,-0.002403,-0.038297,0.755528,-0.653418,-0.027492,-0.175306,0.101095,0.196207,-0.176728,0.137262,0.179954,-0.141189,0.082324,0.200802,-0.208003,0.083700,0.207864,-0.085971,0.071160,-0.023794,0.993468,-0.177685,0.106311,0.008799,-0.179865,0.143017,0.043809,-0.211766,0.095849,-0.007366,-0.141424,0.080066,-0.010045,-0.179759,0.142873,0.043688,-0.211963,0.095878,-0.007374,-0.141324,0.080191,-0.009906,-0.175335,0.137778,0.179559,-0.141610,0.082695,0.200683,-0.208154,0.083134,0.208139,-0.066846,0.052089,-0.005517,-0.300595,0.043260,-0.002692,-0.336473,0.042613,-0.002468,-0.063291,0.054236,0.136295,-0.303047,0.048231,0.138934,-0.331865,0.047245,0.137381,-0.064400,0.052871,0.066611,-0.303817,0.045095,0.066443,-0.333613,0.042243,0.064506,-0.061843,0.056021,0.201189,-0.301923,0.048054,0.204467,-0.338563,0.045057,0.201463
1,0.008000,-0.013597,0.020760,-0.000473,0.999692,-0.234228,0.049712,0.202359,-0.062354,0.056038,0.201148,-0.301826,0.047944,0.204613,-0.338505,0.045153,0.201317,-0.037043,0.021018,0.001703,0.999091,-0.233913,0.046762,0.065838,-0.065020,0.052943,0.066605,-0.303904,0.044311,0.066130,-0.332815,0.043031,0.064778,0.041347,0.034929,-0.003110,0.998529,-0.232575,0.050118,0.137638,-0.063701,0.054163,0.136264,-0.302106,0.049375,0.139493,-0.331917,0.046817,0.137156,-0.001661,0.026904,-0.000024,0.999637,-0.234584,0.045990,-0.003539,-0.067011,0.052035,-0.005530,-0.300740,0.043372,-0.002716,-0.335999,0.042563,-0.002373,-0.038603,0.755804,-0.653112,-0.026735,-0.175362,0.101088,0.196223,-0.176823,0.137267,0.180001,-0.141222,0.082361,0.200827,-0.208043,0.083637,0.207840,-0.086047,0.070956,-0.023956,0.993472,-0.177686,0.106298,0.008821,-0.179871,0.143011,0.043823,-0.211763,0.095843,-0.007357,-0.141424,0.080039,-0.010003,-0.179769,0.142880,0.043715,-0.211953,0.095866,-0.007369,-0.141320,0.080164,-0.009864,-0.175319,0.137803,0.179588,-0.141608,0.082720,0.200708,-0.208205,0.083098,0.208103,-0.066860,0.052050,-0.005539,-0.300599,0.043300,-0.002657,-0.336478,0.042657,-0.002453,-0.063334,0.054227,0.136288,-0.303057,0.048231,0.138920,-0.331848,0.047293,0.137403,-0.064367,0.052889,0.066579,-0.303844,0.045086,0.066428,-0.333647,0.042242,0.064480,-0.061840,0.056020,0.201203,-0.301943,0.048038,0.204455,-0.338580,0.045067,0.201453
2,0.017000,-0.021475,0.020451,-0.000698,0.999560,-0.234245,0.049717,0.202357,-0.062369,0.056005,0.201152,-0.301844,0.047993,0.204598,-0.338522,0.045154,0.201323,-0.066701,0.019943,0.000940,0.997573,-0.233916,0.046792,0.065838,-0.065023,0.052987,0.066616,-0.303908,0.044372,0.066119,-0.332816,0.043017,0.064780,0.072816,0.035806,-0.002210,0.996700,-0.232675,0.050043,0.137607,-0.063802,0.054117,0.136218,-0.302203,0.049204,0.139525,-0.332020,0.046807,0.137079,-0.002365,0.026828,-0.000053,0.999637,-0.234590,0.045994,-0.003557,-0.067018,0.052033,-0.005531,-0.300747,0.043378,-0.002740,-0.336006,0.042571,-0.002401,-0.038221,0.755741,-0.653207,-0.026754,-0.175330,0.101086,0.196200,-0.176762,0.137262,0.179968,-0.141202,0.082340,0.200824,-0.208026,0.083656,0.207806,-0.085855,0.070505,-0.024378,0.993511,-0.177675,0.106297,0.008814,-0.179865,0.143002,0.043825,-0.211744,0.095874,-0.007401,-0.141415,0.080016,-0.009983,-0.179773,0.142865,0.043710,-0.211934,0.095909,-0.007402,-0.141308,0.080125,-0.009859,-0.175328,0.137756,0.179582,-0.141604,0.082706,0.200704,-0.208179,0.083118,0.208068,-0.066870,0.052045,-0.005540,-0.300595,0.043324,-0.002686,-0.336489,0.042637,-0.002475,-0.063316,0.054211,0.136265,-0.303076,0.048239,0.138920,-0.331871,0.047266,0.137375,-0.064372,0.052936,0.066590,-0.303840,0.045107,0.066426,-0.333666,0.042254,0.064468,-0.061857,0.056005,0.201205,-0.301931,0.048040,0.204449,-0.338625,0.045107,0.201451
3,0.025000,-0.030276,0.020110,-0.000763,0.999339,-0.234203,0.049736,0.202365,-0.062328,0.056045,0.201162,-0.301803,0.048034,0.204590,-0.338479,0.045129,0.201342,-0.103934,0.018580,-0.000149,0.994411,-0.233908,0.046766,0.065854,-0.065014,0.052936,0.066644,-0.303902,0.044401,0.066116,-0.332807,0.042962,0.064801,0.112824,0.036827,-0.000978,0.992932,-0.232586,0.050047,0.137640,-0.063714,0.054186,0.136252,-0.302110,0.049071,0.139620,-0.331932,0.046884,0.137048,-0.004124,0.026830,0.000049,0.999632,-0.234569,0.045921,-0.003534,-0.066998,0.052003,-0.005529,-0.300725,0.043289,-0.002707,-0.335983,0.042472,-0.002365,-0.038071,0.755764,-0.653189,-0.026761,-0.175311,0.101089,0.196206,-0.176731,0.137266,0.179976,-0.141188,0.082334,0.200836,-0.208013,0.083666,0.207806,-0.085908,0.070587,-0.024601,0.993495,-0.177685,0.106285,0.008821,-0.179854,0.142995,0.043828,-0.211760,0.095875,-0.007388,-0.141440,0.079985,-0.009977,-0.179743,0.142853,0.043710,-0.211955,0.095897,-0.007402,-0.141341,0.080123,-0.009825,-0.175306,0.137783,0.179580,-0.141617,0.082712,0.200714,-0.208164,0.083096,0.208081,-0.066853,0.052024,-0.005542,-0.300426,0.043074,-0.002560,-0.336477,0.042628,-0.002475,-0.063292,0.054242,0.136287,-0.303049,0.048257,0.138935,-0.331853,0.047271,0.137387,-0.064392,0.052890,0.066618,-0.303834,0.045075,0.066413,-0.333618,0.042260,0.064498,-0.061829,0.056056,0.201201,-0.301914,0.048052,0.204464,-0.338580,0.045107,0.201451
4,0.033000,-0.038474,0.019810,-0.000898,0.999063,-0.234199,0.049705,0.202366,-0.062323,0.056007,0.201160,-0.301800,0.048035,0.204579,-0.338473,0.045074,0.201358,-0.144717,0.017066,-0.001228,0.989325,-0.233915,0.046766,0.065849,-0.065022,0.052946,0.066644,-0.303911,0.044444,0.066092,-0.332813,0.042907,0.064811,0.155227,0.037942,0.000201,0.987150,-0.232606,0.050006,0.137661,-0.063735,0.054174,0.136242,-0.302126,0.048894,0.139711,-0.331955,0.046949,0.137031,-0.005850,0.026660,-0.000047,0.999627,-0.234577,0.045974,-0.003552,-0.067005,0.052032,-0.005511,-0.300734,0.043350,-0.002738,-0.335993,0.042538,-0.002405,-0.037899,0.755839,-0.653116,-0.026650,-0.175310,0.101087,0.196193,-0.176719,0.137267,0.179970,-0.141192,0.082327,0.200833,-0.208019,0.083666,0.207776,-0.085934,0.071016,-0.023915,0.993479,-0.177672,0.106312,0.008829,-0.179854,0.143017,0.043840,-0.211750,0.095859,-0.007348,-0.141411,0.080060,-0.010006,-0.179749,0.142879,0.043725,-0.211951,0.095885,-0.007358,-0.141296,0.080192,-0.009858,-0.175338,0.137770,0.179586,-0.141617,0.082700,0.200712,-0.208167,0.083102,0.208049,-0.066849,0.052048,-0.005520,-0.300595,0.043279,-0.002684,-0.336476,0.042630,-0.002480,-0.063314,0.054220,0.136281,-0.303097,0.048236,0.138939,-0.331866,0.047248,0.137396,-0.064380,0.052905,0.066615,-0.303835,0.045068,0.066419,-0.333647,0.042244,0.064473,-0.061839,0.056031,0.201190,-0.301939,0.048007,0.204461,-0.338572,0.045089,0.201461
5,0.042000,-0.046386,0.019466,-0.001009,0.998733,-0.234213,0.049686,0.202375,-0.062337,0.055990,0.201184,-0.301815,0.048043,0.204569,-0.338486,0.045027,0.201370,-0.185400,0.015555,-0.002300,0.982537,-0.233907,0.046767,0.065855,-0.065014,0.052960,0.066641,-0.303904,0.044486,0.066080,-0.332802,0.042855,0.064844,0.195963,0.038933,0.001302,0.979837,-0.232581,0.049980,0.137677,-0.063711,0.054165,0.136234,-0.302098,0.048739,0.139781,-0.331933,0.047037,0.137015,-0.007563,0.026587,-0.000113,0.999618,-0.234580,0.045990,-0.003567,-0.067007,0.052035,-0.005523,-0.300737,0.043372,-0.002755,-0.335996,0.042563,-0.002424,-0.038661,0.755525,-0.653428,-0.026816,-0.175382,0.101085,0.196234,-0.176847,0.137250,0.179982,-0.141240,0.082362,0.200847,-0.208060,0.083642,0.207872,-0.085998,0.071218,-0.023787,0.993462,-0.177671,0.106271,0.008822,-0.179847,0.142979,0.043831,-0.211754,0.095808,-0.007339,-0.141413,0.080025,-0.010025,-0.179746,0.142847,0.043721,-0.211952,0.095834,-0.007349,-0.141297,0.080151,-0.009883,-0.175326,0.137775,0.179570,-0.141617,0.082718,0.200728,-0.208224,0.083115,0.208130,-0.066833,0.052046,-0.005532,-0.300603,0.043342,-0.002702,-0.336503,0.042595,-0.002495,-0.063303,0.054202,0.136277,-0.303060,0.048229,0.138922,-0.331843,0.047263,0.137415,-0.064375,0.052923,0.066607,-0.303829,0.045054,0.066438,-0.333615,0.042250,0.064474,-0.061882,0.056008,0.201210,-0.301914,0.048034,0.204472,-0.338605,0.045026,0.201455
