Format Version,1.23,Take Name,30mm_0.33,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2026-07-14 10.18.43.460 AM,Capture Start Frame,6887178,Total Frames in Take,1456,Total Exported Frames,1456,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,pvc4,pvc4,pvc4,pvc4,pvc4,pvc4,pvc4,pvc4:Marker1,pvc4:Marker1,pvc4:Marker1,pvc4:Marker2,pvc4:Marker2,pvc4:Marker2,pvc4:Marker3,pvc4:Marker3,pvc4:Marker3,pvc3,pvc3,pvc3,pvc3,pvc3,pvc3,pvc3,pvc3:Marker1,pvc3:Marker1,pvc3:Marker1,pvc3:Marker2,pvc3:Marker2,pvc3:Marker2,pvc3:Marker3,pvc3:Marker3,pvc3:Marker3,pvc2,pvc2,pvc2,pvc2,pvc2,pvc2,pvc2,pvc2:Marker1,pvc2:Marker1,pvc2:Marker1,pvc2:Marker2,pvc2:Marker2,pvc2:Marker2,pvc2:Marker3,pvc2:Marker3,pvc2:Marker3,pvc1,pvc1,pvc1,pvc1,pvc1,pvc1,pvc1,pvc1:Marker1,pvc1:Marker1,pvc1:Marker1,pvc1:Marker2,pvc1:Marker2,pvc1:Marker2,pvc1:Marker3,pvc1:Marker3,pvc1:Marker3,FrontMod,FrontMod,FrontMod,FrontMod,FrontMod,FrontMod,FrontMod,FrontMod:Marker1,FrontMod:Marker1,FrontMod:Marker1,FrontMod:Marker2,FrontMod:Marker2,FrontMod:Marker2,FrontMod:Marker3,FrontMod:Marker3,FrontMod:Marker3,BackMod,BackMod,BackMod,BackMod,BackMod,BackMod,BackMod,BackMod:Marker1,BackMod:Marker1,BackMod:Marker1,BackMod:Marker2,BackMod:Marker2,BackMod:Marker2,BackMod:Marker3,BackMod:Marker3,BackMod:Marker3,BackMod:Marker1,BackMod:Marker1,BackMod:Marker1,BackMod:Marker2,BackMod:Marker2,BackMod:Marker2,BackMod:Marker3,BackMod:Marker3,BackMod:Marker3,FrontMod:Marker1,FrontMod:Marker1,FrontMod:Marker1,FrontMod:Marker2,FrontMod:Marker2,FrontMod:Marker2,FrontMod:Marker3,FrontMod:Marker3,FrontMod:Marker3,Unlabeled 1309,Unlabeled 1309,Unlabeled 1309,Unlabeled 1313,Unlabeled 1313,Unlabeled 1313,Unlabeled 1314,Unlabeled 1314,Unlabeled 1314,Unlabeled 1315,Unlabeled 1315,Unlabeled 1315,Unlabeled 1316,Unlabeled 1316,Unlabeled 1316,pvc1:Marker1,pvc1:Marker1,pvc1:Marker1,pvc1:Marker2,pvc1:Marker2,pvc1:Marker2,pvc1:Marker3,pvc1:Marker3,pvc1:Marker3,pvc2:Marker1,pvc2:Marker1,pvc2:Marker1,pvc2:Marker2,pvc2:Marker2,pvc2:Marker2,pvc2:Marker3,pvc2:Marker3,pvc2:Marker3,pvc3:Marker1,pvc3:Marker1,pvc3:Marker1,pvc3:Marker2,pvc3:Marker2,pvc3:Marker2,pvc3:Marker3,pvc3:Marker3,pvc3:Marker3,pvc4:Marker1,pvc4:Marker1,pvc4:Marker1,pvc4:Marker2,pvc4:Marker2,pvc4:Marker2,pvc4:Marker3,pvc4:Marker3,pvc4:Marker3
,ID,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,56558AE07FA711F11571DA7D1A00929B,56558AE07FA711F11571DA7D1A00929B,56558AE07FA711F11571DA7D1A00929B,56558AE07FA711F11571DA7D1A00929B,56558AE07FA711F11571DA7D1A00929B,56558AE07FA711F11571DA7D1A00929B,56558AE07FA711F11571DA7D1A00929B,56558AE07FA711F11571DA7D1A00929B,56558AE07FA711F11571DA7D1A00929B,56558AE07FA711F11571DA7D1A00929B,56558AE07FA711F11571DA7D1A00929B,56558AE07FA711F11571DA7D1A00929B,56558AE07FA711F11571DA7D1A00929B,56558AE07FA711F11571DA7D1A00929B,56558AE07FA711F11571DA7D1A00929B,56558AE07FA711F11571DA7D1A00929B,"FFB8A8B7FA811F11571DA7D1A00929B","FFB8A8B7FA811F11571DA7D1A00929B","FFB8A8B7FA811F11571DA7D1A00929B","FFB8A857FA811F11571DA7D1A00929B","FFB8A857FA811F11571DA7D1A00929B","FFB8A857FA811F11571DA7D1A00929B","FFB8A817FA811F11571DA7D1A00929B","FFB8A817FA811F11571DA7D1A00929B","FFB8A817FA811F11571DA7D1A00929B","FFB8A8A7FA811F11571DA7D1A00929B","FFB8A8A7FA811F11571DA7D1A00929B","FFB8A8A7FA811F11571DA7D1A00929B","FFB8A847FA811F11571DA7D1A00929B","FFB8A847FA811F11571DA7D1A00929B","FFB8A847FA811F11571DA7D1A00929B","FFB8A897FA811F11571DA7D1A00929B","FFB8A897FA811F11571DA7D1A00929B","FFB8A897FA811F11571DA7D1A00929B","11DBA9F46437F2111F1","11DBA9F46437F2111F1","11DBA9F46437F2111F1","F5BA9F46437F2111F1","F5BA9F46437F2111F1","F5BA9F46437F2111F1","10CBA9F46437F2111F1","10CBA9F46437F2111F1","10CBA9F46437F2111F1","119BA9F46437F2111F1","119BA9F46437F2111F1","119BA9F46437F2111F1","11EBA9F46437F2111F1","11EBA9F46437F2111F1","11EBA9F46437F2111F1","FFB8A867FA811F11571DA7D1A00929B","FFB8A867FA811F11571DA7D1A00929B","FFB8A867FA811F11571DA7D1A00929B","FFB8A807FA811F11571DA7D1A00929B","FFB8A807FA811F11571DA7D1A00929B","FFB8A807FA811F11571DA7D1A00929B","FFB8A7D7FA811F11571DA7D1A00929B","FFB8A7D7FA811F11571DA7D1A00929B","FFB8A7D7FA811F11571DA7D1A00929B","FFB8A887FA811F11571DA7D1A00929B","FFB8A887FA811F11571DA7D1A00929B","FFB8A887FA811F11571DA7D1A00929B","FFB8A827FA811F11571DA7D1A00929B","FFB8A827FA811F11571DA7D1A00929B","FFB8A827FA811F11571DA7D1A00929B","FFB8A7C7FA811F11571DA7D1A00929B","FFB8A7C7FA811F11571DA7D1A00929B","FFB8A7C7FA811F11571DA7D1A00929B","FFB8A877FA811F11571DA7D1A00929B","FFB8A877FA811F11571DA7D1A00929B","FFB8A877FA811F11571DA7D1A00929B","FFB8A7F7FA811F11571DA7D1A00929B","FFB8A7F7FA811F11571DA7D1A00929B","FFB8A7F7FA811F11571DA7D1A00929B","FFB8A7E7FA811F11571DA7D1A00929B","FFB8A7E7FA811F11571DA7D1A00929B","FFB8A7E7FA811F11571DA7D1A00929B","FFB8A837FA811F11571DA7D1A00929B","FFB8A837FA811F11571DA7D1A00929B","FFB8A837FA811F11571DA7D1A00929B","FFB8A8C7FA811F11571DA7D1A00929B","FFB8A8C7FA811F11571DA7D1A00929B","FFB8A8C7FA811F11571DA7D1A00929B","FFB8A8D7FA811F11571DA7D1A00929B","FFB8A8D7FA811F11571DA7D1A00929B","FFB8A8D7FA811F11571DA7D1A00929B"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.000237,0.010052,0.001236,0.999949,-0.237288,0.049457,0.202304,-0.065450,0.056306,0.204945,-0.304912,0.047435,0.203061,-0.341503,0.044629,0.198906,-0.005251,0.005095,0.001241,0.999972,-0.235379,0.045514,0.046629,-0.066596,0.051281,0.053145,-0.305345,0.043196,0.044544,-0.334198,0.042066,0.042197,0.015709,0.017949,-0.002046,0.999713,-0.235052,0.049541,0.127867,-0.066237,0.054083,0.132003,-0.304605,0.048658,0.127404,-0.334316,0.045883,0.124194,-0.000382,0.009579,0.000170,0.999954,-0.232626,0.045084,-0.033122,-0.065088,0.051190,-0.029289,-0.298770,0.042442,-0.034598,-0.334020,0.041621,-0.035478,0.157834,0.001365,0.002163,0.987462,-0.194480,0.109392,0.087645,-0.195542,0.140075,0.062513,-0.227512,0.093667,0.101757,-0.160387,0.094433,0.098665,-0.040152,0.059679,-0.015366,0.997291,-0.191533,0.103874,-0.082442,-0.195029,0.137162,-0.044265,-0.225080,0.094568,-0.100337,-0.154489,0.079892,-0.102725,-0.194999,0.137277,-0.044125,-0.225381,0.094532,-0.100442,-0.154222,0.079802,-0.102774,-0.195493,0.140023,0.062553,-0.227079,0.093664,0.101744,-0.160789,0.094490,0.098633,,,,,,,,,,,,,,,,-0.065522,0.051212,-0.029306,-0.298237,0.042059,-0.034514,-0.333977,0.041814,-0.035511,-0.066159,0.054132,0.132031,-0.305306,0.047447,0.126692,-0.334077,0.046408,0.124503,-0.066597,0.051262,0.053122,-0.304517,0.043839,0.045377,-0.334479,0.041869,0.041942,-0.065263,0.056324,0.204975,-0.304831,0.047368,0.202881,-0.341935,0.044711,0.199154
1,0.008000,-0.009059,0.009847,0.000473,0.999910,-0.237277,0.049662,0.202355,-0.065430,0.056326,0.204951,-0.304903,0.047745,0.203118,-0.341496,0.044915,0.198996,-0.008931,0.004990,0.001003,0.999947,-0.235399,0.045492,0.046647,-0.066615,0.051233,0.053159,-0.305365,0.043189,0.044564,-0.334219,0.042054,0.042219,0.030382,0.018366,-0.001343,0.999369,-0.235062,0.049536,0.127885,-0.066247,0.054106,0.132026,-0.304614,0.048604,0.127449,-0.334324,0.045897,0.124181,-0.000532,0.009537,0.000207,0.999954,-0.232630,0.045095,-0.033123,-0.065093,0.051215,-0.029278,-0.298775,0.042447,-0.034604,-0.334024,0.041624,-0.035487,0.152757,0.004160,0.002124,0.988253,-0.194251,0.109752,0.087006,-0.195477,0.140174,0.061566,-0.227191,0.094147,0.101462,-0.160084,0.094935,0.097991,-0.039471,0.059701,-0.015247,0.997319,-0.191657,0.103518,-0.082497,-0.195157,0.136753,-0.044274,-0.225204,0.094231,-0.100403,-0.154610,0.079569,-0.102813,-0.195136,0.136833,-0.044176,-0.225504,0.094223,-0.100475,-0.154312,0.079482,-0.102853,-0.195380,0.140134,0.061596,-0.226828,0.094092,0.101492,-0.160774,0.095086,0.097893,,,,,,,,,,,,,,,,-0.065541,0.051233,-0.029297,-0.298250,0.042108,-0.034507,-0.333977,0.041798,-0.035527,-0.066165,0.054153,0.132056,-0.305336,0.047425,0.126685,-0.334091,0.046389,0.124500,-0.066633,0.051216,0.053134,-0.304522,0.043766,0.045409,-0.334468,0.041889,0.041976,-0.065242,0.056318,0.204973,-0.304826,0.047868,0.202993,-0.341932,0.044722,0.199168
2,0.017000,-0.030154,0.008996,-0.000156,0.999505,-0.237330,0.049721,0.202354,-0.065483,0.056353,0.204966,-0.304960,0.047892,0.203079,-0.341548,0.044919,0.199017,-0.015910,0.004799,0.000884,0.999862,-0.235401,0.045483,0.046681,-0.066618,0.051287,0.053178,-0.305366,0.043163,0.044602,-0.334219,0.041999,0.042261,0.056752,0.019212,-0.000136,0.998203,-0.235077,0.049500,0.127895,-0.066262,0.054104,0.132010,-0.304628,0.048486,0.127518,-0.334340,0.045910,0.124157,-0.000790,0.009571,0.000127,0.999954,-0.232659,0.045082,-0.033136,-0.065120,0.051178,-0.029306,-0.298803,0.042444,-0.034611,-0.334053,0.041625,-0.035491,0.144249,0.004656,0.000195,0.989531,-0.194123,0.110120,0.086250,-0.195279,0.140103,0.060291,-0.227096,0.094885,0.101021,-0.159993,0.095371,0.097437,-0.039896,0.059676,-0.015231,0.997304,-0.191744,0.103105,-0.082599,-0.195248,0.136372,-0.044405,-0.225289,0.093800,-0.100499,-0.154694,0.079142,-0.102894,-0.195236,0.136409,-0.044359,-0.225544,0.093819,-0.100530,-0.154405,0.079071,-0.102917,-0.195147,0.139972,0.060400,-0.226666,0.094864,0.101020,-0.160869,0.095658,0.097229,,,,,,,,,,,,,,,,-0.065575,0.051196,-0.029324,-0.298256,0.042101,-0.034514,-0.334010,0.041799,-0.035530,-0.066184,0.054149,0.132043,-0.305333,0.047394,0.126694,-0.334093,0.046393,0.124523,-0.066630,0.051269,0.053154,-0.304520,0.043772,0.045449,-0.334479,0.041822,0.042014,-0.065247,0.056344,0.204987,-0.304906,0.048032,0.202964,-0.341962,0.044725,0.199155
3,0.025000,-0.053401,0.008126,-0.000737,0.998540,-0.237326,0.049757,0.202360,-0.065479,0.056392,0.204963,-0.304958,0.048008,0.203050,-0.341542,0.044873,0.199066,-0.024558,0.004602,0.000456,0.999688,-0.235388,0.045504,0.046728,-0.066603,0.051291,0.053196,-0.305354,0.043202,0.044660,-0.334207,0.042020,0.042327,0.090375,0.020155,0.001311,0.995703,-0.235102,0.049445,0.127889,-0.066288,0.054059,0.132010,-0.304652,0.048336,0.127565,-0.334366,0.045941,0.124091,-0.001013,0.009532,0.000158,0.999954,-0.232661,0.045094,-0.033136,-0.065123,0.051203,-0.029295,-0.298805,0.042451,-0.034615,-0.334054,0.041629,-0.035498,0.137579,0.002170,-0.001189,0.990488,-0.194183,0.110680,0.085121,-0.195120,0.140315,0.058755,-0.227275,0.095758,0.099945,-0.160155,0.095969,0.096661,-0.038116,0.059951,-0.014391,0.997370,-0.191846,0.102942,-0.082489,-0.195377,0.136064,-0.044171,-0.225388,0.093654,-0.100404,-0.154773,0.079107,-0.102892,-0.195386,0.136065,-0.044171,-0.225577,0.093700,-0.100390,-0.154486,0.079040,-0.102912,-0.194984,0.140026,0.059006,-0.226780,0.095839,0.099850,-0.160936,0.096318,0.096386,,,,,,,,,,,,,,,,-0.065562,0.051222,-0.029311,-0.298246,0.042087,-0.034537,-0.334019,0.041811,-0.035527,-0.066214,0.054098,0.132047,-0.305343,0.047461,0.126711,-0.334078,0.046382,0.124523,-0.066633,0.051273,0.053170,-0.304487,0.043795,0.045555,-0.334435,0.041861,0.042086,-0.065258,0.056394,0.204982,-0.304889,0.048067,0.202957,-0.341960,0.044782,0.199178
4,0.033000,-0.072052,0.007419,-0.001176,0.997373,-0.237344,0.049689,0.202368,-0.065497,0.056334,0.204966,-0.304978,0.047998,0.203027,-0.341558,0.044733,0.199111,-0.034996,0.004260,0.000092,0.999378,-0.235367,0.045485,0.046759,-0.066583,0.051303,0.053226,-0.305333,0.043182,0.044689,-0.334185,0.041969,0.042361,0.128474,0.021277,0.003094,0.991480,-0.235090,0.049445,0.127918,-0.066277,0.054120,0.132027,-0.304638,0.048204,0.127656,-0.334355,0.046013,0.124071,-0.001267,0.009461,0.000312,0.999954,-0.232641,0.045096,-0.033134,-0.065105,0.051259,-0.029273,-0.298784,0.042431,-0.034621,-0.334033,0.041598,-0.035509,0.131987,0.003699,-0.000001,0.991245,-0.194264,0.111359,0.083842,-0.195355,0.140691,0.057147,-0.227273,0.096512,0.098924,-0.160163,0.096873,0.095454,-0.036049,0.060535,-0.013937,0.997418,-0.191932,0.102856,-0.082381,-0.195440,0.135815,-0.043920,-0.225488,0.093623,-0.100297,-0.154868,0.079131,-0.102926,-0.195462,0.135810,-0.043930,-0.225671,0.093682,-0.100266,-0.154639,0.079071,-0.102949,-0.195261,0.140444,0.057367,-0.226683,0.096594,0.098822,-0.160774,0.097052,0.095320,,,,,,,,,,,,,,,,-0.065551,0.051278,-0.029290,-0.298244,0.042075,-0.034534,-0.333990,0.041778,-0.035543,-0.066201,0.054155,0.132067,-0.305335,0.047393,0.126705,-0.334083,0.046402,0.124529,-0.066606,0.051283,0.053199,-0.304466,0.043871,0.045650,-0.334413,0.041789,0.042109,-0.065301,0.056347,0.204978,-0.304896,0.047975,0.202978,-0.341961,0.044750,0.199166
5,0.042000,-0.083833,0.007003,-0.001398,0.996454,-0.237313,0.049656,0.202380,-0.065467,0.056327,0.204961,-0.304948,0.047995,0.203022,-0.341525,0.044646,0.199155,-0.046415,0.003929,-0.000276,0.998915,-0.235347,0.045457,0.046791,-0.066564,0.051319,0.053240,-0.305313,0.043150,0.044727,-0.334164,0.041902,0.042407,0.166889,0.022435,0.004629,0.985709,-0.235056,0.049435,0.127944,-0.066242,0.054085,0.132012,-0.304603,0.048089,0.127747,-0.334324,0.046129,0.124071,-0.001581,0.009527,0.000182,0.999953,-0.232637,0.045097,-0.033121,-0.065099,0.051220,-0.029285,-0.298781,0.042448,-0.034597,-0.334030,0.041624,-0.035480,0.126884,0.006193,-0.000349,0.991898,-0.194158,0.111952,0.082671,-0.195385,0.141008,0.055681,-0.227091,0.097262,0.098071,-0.159999,0.097586,0.094260,-0.033719,0.060913,-0.014329,0.997470,-0.191885,0.102729,-0.082334,-0.195332,0.135513,-0.043719,-0.225463,0.093615,-0.100270,-0.154860,0.079058,-0.103012,-0.195352,0.135454,-0.043794,-0.225705,0.093736,-0.100176,-0.154707,0.079037,-0.103005,-0.195321,0.141058,0.055631,-0.226777,0.097195,0.098117,-0.160528,0.097608,0.094267,,,,,,,,,,,,,,,,-0.065530,0.051241,-0.029303,-0.298278,0.042081,-0.034502,-0.333981,0.041812,-0.035519,-0.066164,0.054115,0.132057,-0.305285,0.047420,0.126693,-0.334070,0.046441,0.124565,-0.066583,0.051301,0.053214,-0.304446,0.043767,0.045680,-0.334408,0.041733,0.042146,-0.065264,0.056346,0.204970,-0.304865,0.047923,0.203001,-0.341944,0.044727,0.199175
