Format Version,1.23,Take Name,20mm_0.34,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2026-07-15 06.58.53.976 PM,Capture Start Frame,21000417,Total Frames in Take,1380,Total Exported Frames,1380,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,pvc4,pvc4,pvc4,pvc4,pvc4,pvc4,pvc4,pvc4:Marker1,pvc4:Marker1,pvc4:Marker1,pvc4:Marker2,pvc4:Marker2,pvc4:Marker2,pvc4:Marker3,pvc4:Marker3,pvc4:Marker3,pvc3,pvc3,pvc3,pvc3,pvc3,pvc3,pvc3,pvc3:Marker1,pvc3:Marker1,pvc3:Marker1,pvc3:Marker2,pvc3:Marker2,pvc3:Marker2,pvc3:Marker3,pvc3:Marker3,pvc3:Marker3,pvc2,pvc2,pvc2,pvc2,pvc2,pvc2,pvc2,pvc2:Marker1,pvc2:Marker1,pvc2:Marker1,pvc2:Marker2,pvc2:Marker2,pvc2:Marker2,pvc2:Marker3,pvc2:Marker3,pvc2:Marker3,pvc1,pvc1,pvc1,pvc1,pvc1,pvc1,pvc1,pvc1:Marker1,pvc1:Marker1,pvc1:Marker1,pvc1:Marker2,pvc1:Marker2,pvc1:Marker2,pvc1:Marker3,pvc1:Marker3,pvc1:Marker3,FrontMod,FrontMod,FrontMod,FrontMod,FrontMod,FrontMod,FrontMod,FrontMod:Marker1,FrontMod:Marker1,FrontMod:Marker1,FrontMod:Marker2,FrontMod:Marker2,FrontMod:Marker2,FrontMod:Marker3,FrontMod:Marker3,FrontMod:Marker3,BackMod2,BackMod2,BackMod2,BackMod2,BackMod2,BackMod2,BackMod2,BackMod2:Marker1,BackMod2:Marker1,BackMod2:Marker1,BackMod2:Marker2,BackMod2:Marker2,BackMod2:Marker2,BackMod2:Marker3,BackMod2:Marker3,BackMod2:Marker3,Niramay,Niramay,Niramay,Niramay,Niramay,Niramay,Niramay,Niramay:Marker1,Niramay:Marker1,Niramay:Marker1,Niramay:Marker2,Niramay:Marker2,Niramay:Marker2,Niramay:Marker3,Niramay:Marker3,Niramay:Marker3,BackMod2:Marker1,BackMod2:Marker1,BackMod2:Marker1,BackMod2:Marker2,BackMod2:Marker2,BackMod2:Marker2,BackMod2:Marker3,BackMod2:Marker3,BackMod2:Marker3,FrontMod:Marker1,FrontMod:Marker1,FrontMod:Marker1,FrontMod:Marker2,FrontMod:Marker2,FrontMod:Marker2,FrontMod:Marker3,FrontMod:Marker3,FrontMod:Marker3,Unlabeled 4154,Unlabeled 4154,Unlabeled 4154,Unlabeled 4155,Unlabeled 4155,Unlabeled 4155,Unlabeled 4156,Unlabeled 4156,Unlabeled 4156,Unlabeled 4157,Unlabeled 4157,Unlabeled 4157,Unlabeled 4158,Unlabeled 4158,Unlabeled 4158,pvc1:Marker1,pvc1:Marker1,pvc1:Marker1,pvc1:Marker2,pvc1:Marker2,pvc1:Marker2,pvc1:Marker3,pvc1:Marker3,pvc1:Marker3,pvc2:Marker1,pvc2:Marker1,pvc2:Marker1,pvc2:Marker2,pvc2:Marker2,pvc2:Marker2,pvc2:Marker3,pvc2:Marker3,pvc2:Marker3,pvc3:Marker1,pvc3:Marker1,pvc3:Marker1,pvc3:Marker2,pvc3:Marker2,pvc3:Marker2,pvc3:Marker3,pvc3:Marker3,pvc3:Marker3,pvc4:Marker1,pvc4:Marker1,pvc4:Marker1,pvc4:Marker2,pvc4:Marker2,pvc4:Marker2,pvc4:Marker3,pvc4:Marker3,pvc4:Marker3
,ID,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,ED3DC5D97FC711F11571DA7D1A00929B,ED3DC5D97FC711F11571DA7D1A00929B,ED3DC5D97FC711F11571DA7D1A00929B,ED3DC5D97FC711F11571DA7D1A00929B,ED3DC5D97FC711F11571DA7D1A00929B,ED3DC5D97FC711F11571DA7D1A00929B,ED3DC5D97FC711F11571DA7D1A00929B,ED3DC5D97FC711F11571DA7D1A00929B,ED3DC5D97FC711F11571DA7D1A00929B,ED3DC5D97FC711F11571DA7D1A00929B,ED3DC5D97FC711F11571DA7D1A00929B,ED3DC5D97FC711F11571DA7D1A00929B,ED3DC5D97FC711F11571DA7D1A00929B,ED3DC5D97FC711F11571DA7D1A00929B,ED3DC5D97FC711F11571DA7D1A00929B,ED3DC5D97FC711F11571DA7D1A00929B,25C8FF927FE711F11571DA7D1A00929B,25C8FF927FE711F11571DA7D1A00929B,25C8FF927FE711F11571DA7D1A00929B,25C8FF927FE711F11571DA7D1A00929B,25C8FF927FE711F11571DA7D1A00929B,25C8FF927FE711F11571DA7D1A00929B,25C8FF927FE711F11571DA7D1A00929B,25C8FF927FE711F11571DA7D1A00929B,25C8FF927FE711F11571DA7D1A00929B,25C8FF927FE711F11571DA7D1A00929B,25C8FF927FE711F11571DA7D1A00929B,25C8FF927FE711F11571DA7D1A00929B,25C8FF927FE711F11571DA7D1A00929B,25C8FF927FE711F11571DA7D1A00929B,25C8FF927FE711F11571DA7D1A00929B,25C8FF927FE711F11571DA7D1A00929B,"E550023180B911F11571DA7D1A00929B","E550023180B911F11571DA7D1A00929B","E550023180B911F11571DA7D1A00929B","E550022E80B911F11571DA7D1A00929B","E550022E80B911F11571DA7D1A00929B","E550022E80B911F11571DA7D1A00929B","E550023080B911F11571DA7D1A00929B","E550023080B911F11571DA7D1A00929B","E550023080B911F11571DA7D1A00929B","E550023380B911F11571DA7D1A00929B","E550023380B911F11571DA7D1A00929B","E550023380B911F11571DA7D1A00929B","E550023580B911F11571DA7D1A00929B","E550023580B911F11571DA7D1A00929B","E550023580B911F11571DA7D1A00929B","E550023480B911F11571DA7D1A00929B","E550023480B911F11571DA7D1A00929B","E550023480B911F11571DA7D1A00929B","D47BA9F46437F2111F1","D47BA9F46437F2111F1","D47BA9F46437F2111F1","D49BA9F46437F2111F1","D49BA9F46437F2111F1","D49BA9F46437F2111F1","D4ABA9F46437F2111F1","D4ABA9F46437F2111F1","D4ABA9F46437F2111F1","DA0BA9F46437F2111F1","DA0BA9F46437F2111F1","DA0BA9F46437F2111F1","DE8BA9F46437F2111F1","DE8BA9F46437F2111F1","DE8BA9F46437F2111F1","E550023680B911F11571DA7D1A00929B","E550023680B911F11571DA7D1A00929B","E550023680B911F11571DA7D1A00929B","E550023280B911F11571DA7D1A00929B","E550023280B911F11571DA7D1A00929B","E550023280B911F11571DA7D1A00929B","E550022C80B911F11571DA7D1A00929B","E550022C80B911F11571DA7D1A00929B","E550022C80B911F11571DA7D1A00929B","E550023C80B911F11571DA7D1A00929B","E550023C80B911F11571DA7D1A00929B","E550023C80B911F11571DA7D1A00929B","E550023B80B911F11571DA7D1A00929B","E550023B80B911F11571DA7D1A00929B","E550023B80B911F11571DA7D1A00929B","E550023A80B911F11571DA7D1A00929B","E550023A80B911F11571DA7D1A00929B","E550023A80B911F11571DA7D1A00929B","E550023980B911F11571DA7D1A00929B","E550023980B911F11571DA7D1A00929B","E550023980B911F11571DA7D1A00929B","E550023880B911F11571DA7D1A00929B","E550023880B911F11571DA7D1A00929B","E550023880B911F11571DA7D1A00929B","E550023780B911F11571DA7D1A00929B","E550023780B911F11571DA7D1A00929B","E550023780B911F11571DA7D1A00929B","E550022F80B911F11571DA7D1A00929B","E550022F80B911F11571DA7D1A00929B","E550022F80B911F11571DA7D1A00929B","E550022B80B911F11571DA7D1A00929B","E550022B80B911F11571DA7D1A00929B","E550022B80B911F11571DA7D1A00929B","E550022D80B911F11571DA7D1A00929B","E550022D80B911F11571DA7D1A00929B","E550022D80B911F11571DA7D1A00929B"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.014706,0.001010,-0.001499,0.999890,-0.290712,0.047001,0.174598,-0.118915,0.053080,0.180165,-0.358349,0.045334,0.174183,-0.394874,0.042588,0.169446,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.168722,0.005270,0.008294,-0.069946,-0.002119,-0.002821,-0.098776,-0.003152,-0.005473,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.168541,0.005454,0.010036,-0.069487,-0.001221,-0.002926,-0.099053,-0.004234,-0.007110,0.001031,0.008935,-0.000291,0.999960,-0.282950,0.044828,-0.022056,-0.115411,0.050764,-0.017991,-0.349095,0.042253,-0.023625,-0.384344,0.041468,-0.024553,-0.022876,0.918578,-0.394528,-0.006199,-0.239737,0.092170,-0.009215,-0.240094,0.131118,-0.001657,-0.206031,0.073042,-0.015176,-0.273086,0.072349,-0.010810,-0.009602,-0.051898,0.004417,0.998596,-0.253745,0.103589,0.186736,-0.239052,0.142541,0.154951,-0.281345,0.076635,0.201561,-0.240839,0.091591,0.203697,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.032813,-0.002966,-0.033038,-0.055313,-0.002309,0.007329,0.022501,0.005274,0.025709,-0.239135,0.141846,0.155590,-0.281101,0.076772,0.201527,-0.241039,0.091894,0.203322,-0.240168,0.130890,-0.001697,-0.206501,0.073127,-0.015128,-0.271964,0.072983,-0.010763,-0.385660,0.042703,0.044857,-0.386795,0.045017,0.109527,-0.358250,0.045784,0.111515,1.421427,-0.186344,-0.804379,-0.356416,0.044958,0.048428,-0.114375,0.050874,-0.017921,-0.349152,0.041967,-0.023798,-0.384819,0.041698,-0.024415,,,,,,,,,,,,,,,,,,,-0.119062,0.053049,0.180164,-0.358055,0.045625,0.174171,-0.394940,0.042405,0.169455
1,0.008000,-0.027538,0.000536,-0.001928,0.999619,-0.290717,0.046996,0.174587,-0.118920,0.053078,0.180157,-0.358355,0.045375,0.174152,-0.394877,0.042537,0.169453,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.168722,0.005270,0.008294,-0.069946,-0.002119,-0.002821,-0.098776,-0.003152,-0.005473,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.168541,0.005454,0.010036,-0.069487,-0.001221,-0.002926,-0.099053,-0.004234,-0.007110,0.002327,0.008939,-0.000216,0.999957,-0.282960,0.044832,-0.022054,-0.115422,0.050778,-0.017975,-0.349105,0.042252,-0.023629,-0.384353,0.041465,-0.024559,-0.023178,0.918579,-0.394506,-0.006369,-0.239733,0.092148,-0.009217,-0.240102,0.131096,-0.001658,-0.206022,0.073035,-0.015198,-0.273074,0.072314,-0.010795,-0.009406,-0.051564,0.004082,0.998617,-0.253746,0.103588,0.186733,-0.239048,0.142544,0.154954,-0.281354,0.076646,0.201564,-0.240837,0.091574,0.203680,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.032813,-0.002966,-0.033038,-0.055313,-0.002309,0.007329,0.022501,0.005274,0.025709,-0.239141,0.141833,0.155606,-0.281096,0.076796,0.201524,-0.241044,0.091883,0.203295,-0.240176,0.130849,-0.001701,-0.206500,0.073136,-0.015146,-0.271945,0.072978,-0.010743,-0.385644,0.042726,0.044848,-0.386787,0.044957,0.109505,-0.358248,0.045872,0.111535,1.421337,-0.186446,-0.804317,-0.356464,0.044972,0.048442,-0.114388,0.050890,-0.017903,-0.349160,0.041967,-0.023804,-0.384816,0.041695,-0.024419,,,,,,,,,,,,,,,,,,,-0.119096,0.053050,0.180155,-0.358070,0.045589,0.174141,-0.394938,0.042387,0.169463
2,0.017000,-0.044685,-0.000116,-0.002559,0.998998,-0.290694,0.047019,0.174577,-0.118897,0.053084,0.180157,-0.358333,0.045464,0.174111,-0.394853,0.042510,0.169464,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.168722,0.005270,0.008294,-0.069946,-0.002119,-0.002821,-0.098776,-0.003152,-0.005473,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.168541,0.005454,0.010036,-0.069487,-0.001221,-0.002926,-0.099053,-0.004234,-0.007110,0.004462,0.009021,-0.000080,0.999949,-0.282961,0.044827,-0.022055,-0.115423,0.050795,-0.017977,-0.349105,0.042239,-0.023630,-0.384354,0.041447,-0.024558,-0.022869,0.918653,-0.394351,-0.006395,-0.239723,0.092168,-0.009198,-0.240071,0.131113,-0.001626,-0.206023,0.073037,-0.015179,-0.273076,0.072354,-0.010789,-0.009366,-0.051139,0.003805,0.998640,-0.253776,0.103590,0.186690,-0.239083,0.142541,0.154903,-0.281386,0.076662,0.201542,-0.240859,0.091567,0.203625,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.032813,-0.002966,-0.033038,-0.055313,-0.002309,0.007329,0.022501,0.005274,0.025709,-0.239143,0.141828,0.155570,-0.281096,0.076799,0.201527,-0.241058,0.091833,0.203286,-0.240138,0.130885,-0.001666,-0.206515,0.073135,-0.015126,-0.271980,0.072950,-0.010747,-0.385678,0.042692,0.044848,-0.386799,0.044974,0.109516,-0.358260,0.045819,0.111532,1.421386,-0.186401,-0.804361,-0.356451,0.044939,0.048421,-0.114397,0.050896,-0.017911,-0.349169,0.041995,-0.023783,-0.384797,0.041641,-0.024437,,,,,,,,,,,,,,,,,,,-0.119060,0.053065,0.180151,-0.358068,0.045603,0.174143,-0.394915,0.042413,0.169443
3,0.025000,-0.061474,-0.000746,-0.003138,0.998103,-0.290725,0.046971,0.174577,-0.118928,0.053034,0.180163,-0.358365,0.045475,0.174079,-0.394883,0.042406,0.169489,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.168722,0.005270,0.008294,-0.069946,-0.002119,-0.002821,-0.098776,-0.003152,-0.005473,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.168541,0.005454,0.010036,-0.069487,-0.001221,-0.002926,-0.099053,-0.004234,-0.007110,0.007461,0.009133,0.000014,0.999930,-0.282960,0.044827,-0.022063,-0.115422,0.050794,-0.017987,-0.349104,0.042239,-0.023639,-0.384353,0.041449,-0.024564,-0.022938,0.918560,-0.394567,-0.006171,-0.239729,0.092153,-0.009224,-0.240092,0.131101,-0.001670,-0.206020,0.073029,-0.015184,-0.273075,0.072327,-0.010818,-0.009192,-0.051463,0.003927,0.998625,-0.253743,0.103582,0.186741,-0.239041,0.142548,0.154977,-0.281356,0.076642,0.201566,-0.240834,0.091557,0.203680,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.032813,-0.002966,-0.033038,-0.055313,-0.002309,0.007329,0.022501,0.005274,0.025709,-0.239125,0.141874,0.155596,-0.281089,0.076791,0.201531,-0.241055,0.091863,0.203294,-0.240160,0.130872,-0.001710,-0.206505,0.073124,-0.015133,-0.271977,0.072934,-0.010774,-0.385651,0.042702,0.044848,-0.386786,0.044934,0.109489,-0.358257,0.045793,0.111504,1.421334,-0.186440,-0.804359,-0.356416,0.044952,0.048412,-0.114400,0.050903,-0.017917,-0.349158,0.041958,-0.023815,-0.384820,0.041675,-0.024424,,,,,,,,,,,,,,,,,,,-0.119096,0.053019,0.180153,-0.358087,0.045568,0.174141,-0.394949,0.042344,0.169448
4,0.033000,-0.072376,-0.001150,-0.003555,0.997370,-0.290715,0.046997,0.174566,-0.118917,0.053043,0.180156,-0.358355,0.045543,0.174047,-0.394872,0.042404,0.169496,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.168722,0.005270,0.008294,-0.069946,-0.002119,-0.002821,-0.098776,-0.003152,-0.005473,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.168541,0.005454,0.010036,-0.069487,-0.001221,-0.002926,-0.099053,-0.004234,-0.007110,0.011059,0.009268,0.000108,0.999896,-0.282953,0.044830,-0.022075,-0.115415,0.050788,-0.018000,-0.349097,0.042245,-0.023651,-0.384346,0.041457,-0.024572,-0.022861,0.918582,-0.394522,-0.006083,-0.239738,0.092147,-0.009224,-0.240099,0.131095,-0.001667,-0.206029,0.073022,-0.015179,-0.273085,0.072325,-0.010828,-0.008566,-0.051225,0.002528,0.998647,-0.253824,0.103446,0.186770,-0.239029,0.142415,0.155053,-0.281503,0.076561,0.201570,-0.240940,0.091362,0.203686,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.032813,-0.002966,-0.033038,-0.055313,-0.002309,0.007329,0.022501,0.005274,0.025709,-0.239122,0.141838,0.155574,-0.281087,0.076789,0.201517,-0.241292,0.091636,0.203278,-0.240175,0.130852,-0.001709,-0.206499,0.073118,-0.015129,-0.271960,0.072989,-0.010774,-0.385681,0.042690,0.044831,-0.386812,0.044958,0.109509,-0.358244,0.045786,0.111497,1.421375,-0.186364,-0.804368,-0.356481,0.044922,0.048430,-0.114378,0.050896,-0.017933,-0.349152,0.041969,-0.023814,-0.384819,0.041679,-0.024443,,,,,,,,,,,,,,,,,,,-0.119090,0.053039,0.180144,-0.358079,0.045546,0.174124,-0.394938,0.042406,0.169444
5,0.042000,-0.078203,-0.001329,-0.003709,0.996930,-0.290710,0.047011,0.174558,-0.118912,0.053072,0.180135,-0.358351,0.045572,0.174033,-0.394867,0.042391,0.169506,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.168722,0.005270,0.008294,-0.069946,-0.002119,-0.002821,-0.098776,-0.003152,-0.005473,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.168541,0.005454,0.010036,-0.069487,-0.001221,-0.002926,-0.099053,-0.004234,-0.007110,0.015185,0.009409,0.000332,0.999840,-0.282957,0.044832,-0.022055,-0.115420,0.050819,-0.017979,-0.349101,0.042235,-0.023635,-0.384350,0.041442,-0.024552,-0.022692,0.918697,-0.394266,-0.006013,-0.239745,0.092147,-0.009244,-0.240098,0.131091,-0.001665,-0.206040,0.073017,-0.015201,-0.273097,0.072335,-0.010867,-0.009122,-0.051298,0.003593,0.998635,-0.253743,0.103574,0.186734,-0.239025,0.142535,0.154972,-0.281368,0.076649,0.201564,-0.240836,0.091537,0.203667,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.032813,-0.002966,-0.033038,-0.055313,-0.002309,0.007329,0.022501,0.005274,0.025709,-0.239113,0.141857,0.155593,-0.281100,0.076801,0.201526,-0.241057,0.091842,0.203282,-0.240177,0.130845,-0.001707,-0.206497,0.073110,-0.015152,-0.271969,0.073020,-0.010809,-0.385666,0.042732,0.044836,-0.386811,0.044923,0.109502,-0.358246,0.045774,0.111489,1.421448,-0.186428,-0.804339,-0.356394,0.044968,0.048413,-0.114386,0.050928,-0.017909,-0.349154,0.041955,-0.023807,-0.384827,0.041667,-0.024415,,,,,,,,,,,,,,,,,,,-0.119071,0.053069,0.180123,-0.358051,0.045570,0.174127,-0.394946,0.042395,0.169446
