Format Version,1.23,Take Name,20mm_0.88_000,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2026-07-15 06.49.36.118 PM,Capture Start Frame,20933474,Total Frames in Take,1593,Total Exported Frames,1593,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,pvc4,pvc4,pvc4,pvc4,pvc4,pvc4,pvc4,pvc4:Marker1,pvc4:Marker1,pvc4:Marker1,pvc4:Marker2,pvc4:Marker2,pvc4:Marker2,pvc4:Marker3,pvc4:Marker3,pvc4:Marker3,pvc3,pvc3,pvc3,pvc3,pvc3,pvc3,pvc3,pvc3:Marker1,pvc3:Marker1,pvc3:Marker1,pvc3:Marker2,pvc3:Marker2,pvc3:Marker2,pvc3:Marker3,pvc3:Marker3,pvc3:Marker3,pvc2,pvc2,pvc2,pvc2,pvc2,pvc2,pvc2,pvc2:Marker1,pvc2:Marker1,pvc2:Marker1,pvc2:Marker2,pvc2:Marker2,pvc2:Marker2,pvc2:Marker3,pvc2:Marker3,pvc2:Marker3,pvc1,pvc1,pvc1,pvc1,pvc1,pvc1,pvc1,pvc1:Marker1,pvc1:Marker1,pvc1:Marker1,pvc1:Marker2,pvc1:Marker2,pvc1:Marker2,pvc1:Marker3,pvc1:Marker3,pvc1:Marker3,FrontMod,FrontMod,FrontMod,FrontMod,FrontMod,FrontMod,FrontMod,FrontMod:Marker1,FrontMod:Marker1,FrontMod:Marker1,FrontMod:Marker2,FrontMod:Marker2,FrontMod:Marker2,FrontMod:Marker3,FrontMod:Marker3,FrontMod:Marker3,BackMod2,BackMod2,BackMod2,BackMod2,BackMod2,BackMod2,BackMod2,BackMod2:Marker1,BackMod2:Marker1,BackMod2:Marker1,BackMod2:Marker2,BackMod2:Marker2,BackMod2:Marker2,BackMod2:Marker3,BackMod2:Marker3,BackMod2:Marker3,Niramay,Niramay,Niramay,Niramay,Niramay,Niramay,Niramay,Niramay:Marker1,Niramay:Marker1,Niramay:Marker1,Niramay:Marker2,Niramay:Marker2,Niramay:Marker2,Niramay:Marker3,Niramay:Marker3,Niramay:Marker3,BackMod2:Marker1,BackMod2:Marker1,BackMod2:Marker1,BackMod2:Marker2,BackMod2:Marker2,BackMod2:Marker2,BackMod2:Marker3,BackMod2:Marker3,BackMod2:Marker3,FrontMod:Marker1,FrontMod:Marker1,FrontMod:Marker1,FrontMod:Marker2,FrontMod:Marker2,FrontMod:Marker2,FrontMod:Marker3,FrontMod:Marker3,FrontMod:Marker3,Unlabeled 4002,Unlabeled 4002,Unlabeled 4002,Unlabeled 4003,Unlabeled 4003,Unlabeled 4003,Unlabeled 4004,Unlabeled 4004,Unlabeled 4004,Unlabeled 4005,Unlabeled 4005,Unlabeled 4005,Unlabeled 4006,Unlabeled 4006,Unlabeled 4006,pvc1:Marker1,pvc1:Marker1,pvc1:Marker1,pvc1:Marker2,pvc1:Marker2,pvc1:Marker2,pvc1:Marker3,pvc1:Marker3,pvc1:Marker3,pvc2:Marker1,pvc2:Marker1,pvc2:Marker1,pvc2:Marker2,pvc2:Marker2,pvc2:Marker2,pvc2:Marker3,pvc2:Marker3,pvc2:Marker3,pvc3:Marker1,pvc3:Marker1,pvc3:Marker1,pvc3:Marker2,pvc3:Marker2,pvc3:Marker2,pvc3:Marker3,pvc3:Marker3,pvc3:Marker3,pvc4:Marker1,pvc4:Marker1,pvc4:Marker1,pvc4:Marker2,pvc4:Marker2,pvc4:Marker2,pvc4:Marker3,pvc4:Marker3,pvc4:Marker3
,ID,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,ED3DC5D97FC711F11571DA7D1A00929B,ED3DC5D97FC711F11571DA7D1A00929B,ED3DC5D97FC711F11571DA7D1A00929B,ED3DC5D97FC711F11571DA7D1A00929B,ED3DC5D97FC711F11571DA7D1A00929B,ED3DC5D97FC711F11571DA7D1A00929B,ED3DC5D97FC711F11571DA7D1A00929B,ED3DC5D97FC711F11571DA7D1A00929B,ED3DC5D97FC711F11571DA7D1A00929B,ED3DC5D97FC711F11571DA7D1A00929B,ED3DC5D97FC711F11571DA7D1A00929B,ED3DC5D97FC711F11571DA7D1A00929B,ED3DC5D97FC711F11571DA7D1A00929B,ED3DC5D97FC711F11571DA7D1A00929B,ED3DC5D97FC711F11571DA7D1A00929B,ED3DC5D97FC711F11571DA7D1A00929B,25C8FF927FE711F11571DA7D1A00929B,25C8FF927FE711F11571DA7D1A00929B,25C8FF927FE711F11571DA7D1A00929B,25C8FF927FE711F11571DA7D1A00929B,25C8FF927FE711F11571DA7D1A00929B,25C8FF927FE711F11571DA7D1A00929B,25C8FF927FE711F11571DA7D1A00929B,25C8FF927FE711F11571DA7D1A00929B,25C8FF927FE711F11571DA7D1A00929B,25C8FF927FE711F11571DA7D1A00929B,25C8FF927FE711F11571DA7D1A00929B,25C8FF927FE711F11571DA7D1A00929B,25C8FF927FE711F11571DA7D1A00929B,25C8FF927FE711F11571DA7D1A00929B,25C8FF927FE711F11571DA7D1A00929B,25C8FF927FE711F11571DA7D1A00929B,"98CDB85B80B811F11571DA7D1A00929B","98CDB85B80B811F11571DA7D1A00929B","98CDB85B80B811F11571DA7D1A00929B","98CDB85D80B811F11571DA7D1A00929B","98CDB85D80B811F11571DA7D1A00929B","98CDB85D80B811F11571DA7D1A00929B","98CDB85880B811F11571DA7D1A00929B","98CDB85880B811F11571DA7D1A00929B","98CDB85880B811F11571DA7D1A00929B","98CDB85F80B811F11571DA7D1A00929B","98CDB85F80B811F11571DA7D1A00929B","98CDB85F80B811F11571DA7D1A00929B","98CDB85C80B811F11571DA7D1A00929B","98CDB85C80B811F11571DA7D1A00929B","98CDB85C80B811F11571DA7D1A00929B","98CDB85A80B811F11571DA7D1A00929B","98CDB85A80B811F11571DA7D1A00929B","98CDB85A80B811F11571DA7D1A00929B","D47BA9F46437F2111F1","D47BA9F46437F2111F1","D47BA9F46437F2111F1","D49BA9F46437F2111F1","D49BA9F46437F2111F1","D49BA9F46437F2111F1","D4ABA9F46437F2111F1","D4ABA9F46437F2111F1","D4ABA9F46437F2111F1","D5CBA9F46437F2111F1","D5CBA9F46437F2111F1","D5CBA9F46437F2111F1","DA0BA9F46437F2111F1","DA0BA9F46437F2111F1","DA0BA9F46437F2111F1","98CDB85E80B811F11571DA7D1A00929B","98CDB85E80B811F11571DA7D1A00929B","98CDB85E80B811F11571DA7D1A00929B","98CDB85780B811F11571DA7D1A00929B","98CDB85780B811F11571DA7D1A00929B","98CDB85780B811F11571DA7D1A00929B","98CDB85580B811F11571DA7D1A00929B","98CDB85580B811F11571DA7D1A00929B","98CDB85580B811F11571DA7D1A00929B","98CDB86580B811F11571DA7D1A00929B","98CDB86580B811F11571DA7D1A00929B","98CDB86580B811F11571DA7D1A00929B","98CDB86480B811F11571DA7D1A00929B","98CDB86480B811F11571DA7D1A00929B","98CDB86480B811F11571DA7D1A00929B","98CDB86380B811F11571DA7D1A00929B","98CDB86380B811F11571DA7D1A00929B","98CDB86380B811F11571DA7D1A00929B","98CDB86280B811F11571DA7D1A00929B","98CDB86280B811F11571DA7D1A00929B","98CDB86280B811F11571DA7D1A00929B","98CDB86180B811F11571DA7D1A00929B","98CDB86180B811F11571DA7D1A00929B","98CDB86180B811F11571DA7D1A00929B","98CDB86080B811F11571DA7D1A00929B","98CDB86080B811F11571DA7D1A00929B","98CDB86080B811F11571DA7D1A00929B","98CDB85980B811F11571DA7D1A00929B","98CDB85980B811F11571DA7D1A00929B","98CDB85980B811F11571DA7D1A00929B","98CDB85480B811F11571DA7D1A00929B","98CDB85480B811F11571DA7D1A00929B","98CDB85480B811F11571DA7D1A00929B","98CDB85680B811F11571DA7D1A00929B","98CDB85680B811F11571DA7D1A00929B","98CDB85680B811F11571DA7D1A00929B"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.002035,0.004377,-0.000691,0.999988,-0.287857,0.047478,0.180924,-0.116034,0.053641,0.185544,-0.355492,0.045718,0.180906,-0.392044,0.043074,0.176323,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.168722,0.005270,0.008294,-0.069946,-0.002119,-0.002821,-0.098776,-0.003152,-0.005473,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.168541,0.005454,0.010036,-0.069487,-0.001221,-0.002926,-0.099053,-0.004234,-0.007110,0.000241,0.009810,-0.000044,0.999952,-0.280687,0.045000,-0.016074,-0.113144,0.051027,-0.012312,-0.346833,0.042388,-0.017523,-0.382083,0.041584,-0.018388,0.081754,-0.008248,-0.001190,0.996618,-0.236485,0.119214,0.151696,-0.236774,0.145706,0.122162,-0.269927,0.106096,0.167414,-0.202754,0.105840,0.165513,-0.009796,0.993120,0.101574,0.057434,-0.221010,0.109473,-0.008222,-0.237495,0.141439,0.029856,-0.192251,0.086687,-0.027239,-0.233285,0.100294,-0.027281,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.032813,-0.002966,-0.033038,-0.055313,-0.002309,0.007329,0.022501,0.005274,0.025709,-0.237530,0.141310,0.029653,-0.192534,0.086731,-0.027311,-0.232889,0.100406,-0.026932,-0.236440,0.145795,0.122052,-0.269682,0.105851,0.167679,-0.203739,0.106104,0.165250,-0.383482,0.042307,0.050357,-0.383974,0.045635,0.116753,-0.355117,0.046546,0.119042,-0.353821,0.044667,0.053583,1.421475,-0.186467,-0.804251,-0.112591,0.051059,-0.012284,-0.346876,0.042326,-0.017600,-0.382419,0.041626,-0.018327,,,,,,,,,,,,,,,,,,,-0.116279,0.053651,0.185563,-0.355330,0.045628,0.180780,-0.392026,0.043156,0.176434
1,0.008000,0.004539,0.004524,-0.000567,0.999979,-0.287865,0.047457,0.180928,-0.116043,0.053636,0.185529,-0.355500,0.045682,0.180920,-0.392053,0.043052,0.176335,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.168722,0.005270,0.008294,-0.069946,-0.002119,-0.002821,-0.098776,-0.003152,-0.005473,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.168541,0.005454,0.010036,-0.069487,-0.001221,-0.002926,-0.099053,-0.004234,-0.007110,0.000801,0.009877,-0.000045,0.999951,-0.280702,0.044990,-0.016080,-0.113159,0.051010,-0.012333,-0.346848,0.042380,-0.017523,-0.382098,0.041578,-0.018384,0.082033,-0.008057,-0.001240,0.996596,-0.236484,0.119222,0.151698,-0.236783,0.145730,0.122178,-0.269921,0.106097,0.167421,-0.202749,0.105838,0.165494,-0.009702,0.993057,0.101835,0.058081,-0.220971,0.109463,-0.008215,-0.237495,0.141413,0.029859,-0.192194,0.086679,-0.027209,-0.233224,0.100299,-0.027295,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.032813,-0.002966,-0.033038,-0.055313,-0.002309,0.007329,0.022501,0.005274,0.025709,-0.237525,0.141271,0.029642,-0.192545,0.086736,-0.027295,-0.232871,0.100418,-0.026954,-0.236457,0.145820,0.122067,-0.269670,0.105855,0.167682,-0.203728,0.106093,0.165242,-0.383501,0.042268,0.050349,-0.383952,0.045648,0.116790,-0.355115,0.046609,0.119047,-0.353848,0.044636,0.053572,1.421452,-0.186429,-0.804296,-0.112590,0.051040,-0.012305,-0.346882,0.042330,-0.017599,-0.382455,0.041610,-0.018324,,,,,,,,,,,,,,,,,,,-0.116275,0.053647,0.185551,-0.355332,0.045579,0.180773,-0.392045,0.043144,0.176463
2,0.017000,0.008619,0.004701,-0.000557,0.999952,-0.287855,0.047471,0.180917,-0.116030,0.053610,0.185508,-0.355490,0.045697,0.180918,-0.392044,0.043105,0.176324,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.168722,0.005270,0.008294,-0.069946,-0.002119,-0.002821,-0.098776,-0.003152,-0.005473,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.168541,0.005454,0.010036,-0.069487,-0.001221,-0.002926,-0.099053,-0.004234,-0.007110,0.001784,0.009874,0.000109,0.999950,-0.280701,0.044990,-0.016076,-0.113159,0.051051,-0.012316,-0.346846,0.042364,-0.017524,-0.382096,0.041553,-0.018387,0.081694,-0.008167,-0.001483,0.996623,-0.236491,0.119222,0.151700,-0.236770,0.145711,0.122162,-0.269937,0.106125,0.167426,-0.202765,0.105830,0.165511,-0.009608,0.993084,0.101655,0.057943,-0.220975,0.109467,-0.008202,-0.237482,0.141432,0.029866,-0.192208,0.086670,-0.027196,-0.233235,0.100297,-0.027275,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.032813,-0.002966,-0.033038,-0.055313,-0.002309,0.007329,0.022501,0.005274,0.025709,-0.237508,0.141296,0.029658,-0.192570,0.086736,-0.027275,-0.232878,0.100403,-0.026952,-0.236438,0.145807,0.122044,-0.269681,0.105875,0.167697,-0.203738,0.106082,0.165264,-0.383472,0.042317,0.050373,-0.383956,0.045644,0.116773,-0.355097,0.046603,0.119029,-0.353849,0.044606,0.053570,1.421466,-0.186457,-0.804320,-0.112584,0.051087,-0.012288,-0.346898,0.042287,-0.017596,-0.382424,0.041609,-0.018332,,,,,,,,,,,,,,,,,,,-0.116285,0.053620,0.185530,-0.355332,0.045607,0.180783,-0.392027,0.043186,0.176442
3,0.025000,0.010943,0.004791,-0.000455,0.999929,-0.287863,0.047480,0.180918,-0.116039,0.053630,0.185508,-0.355498,0.045694,0.180923,-0.392053,0.043117,0.176324,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.168722,0.005270,0.008294,-0.069946,-0.002119,-0.002821,-0.098776,-0.003152,-0.005473,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.168541,0.005454,0.010036,-0.069487,-0.001221,-0.002926,-0.099053,-0.004234,-0.007110,0.003086,0.009981,0.000011,0.999945,-0.280700,0.044985,-0.016089,-0.113157,0.051000,-0.012350,-0.346847,0.042378,-0.017530,-0.382097,0.041577,-0.018388,0.081840,-0.008325,-0.001381,0.996610,-0.236476,0.119193,0.151670,-0.236751,0.145690,0.122140,-0.269925,0.106085,0.167381,-0.202752,0.105803,0.165489,-0.010325,0.993139,0.101406,0.057318,-0.220982,0.109476,-0.008196,-0.237496,0.141439,0.029870,-0.192201,0.086712,-0.027208,-0.233249,0.100276,-0.027251,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.032813,-0.002966,-0.033038,-0.055313,-0.002309,0.007329,0.022501,0.005274,0.025709,-0.237523,0.141301,0.029658,-0.192546,0.086770,-0.027288,-0.232909,0.100390,-0.026926,-0.236436,0.145781,0.122029,-0.269664,0.105849,0.167636,-0.203742,0.106050,0.165246,-0.383474,0.042312,0.050361,-0.383979,0.045623,0.116773,-0.355119,0.046564,0.119044,-0.353802,0.044667,0.053573,1.421460,-0.186421,-0.804331,-0.112532,0.051037,-0.012321,-0.346909,0.042307,-0.017601,-0.382428,0.041627,-0.018334,,,,,,,,,,,,,,,,,,,-0.116274,0.053626,0.185525,-0.355323,0.045674,0.180797,-0.392040,0.043140,0.176434
4,0.033000,0.013289,0.004871,-0.000295,0.999900,-0.287856,0.047485,0.180928,-0.116033,0.053664,0.185520,-0.355490,0.045679,0.180934,-0.392045,0.043112,0.176329,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.168722,0.005270,0.008294,-0.069946,-0.002119,-0.002821,-0.098776,-0.003152,-0.005473,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.168541,0.005454,0.010036,-0.069487,-0.001221,-0.002926,-0.099053,-0.004234,-0.007110,0.004558,0.010026,0.000088,0.999939,-0.280676,0.045019,-0.016072,-0.113133,0.051044,-0.012329,-0.346822,0.042408,-0.017515,-0.382072,0.041605,-0.018372,0.081431,-0.008011,-0.001847,0.996645,-0.236476,0.119207,0.151694,-0.236748,0.145681,0.122143,-0.269926,0.106142,0.167439,-0.202755,0.105799,0.165500,-0.009507,0.993103,0.101671,0.057612,-0.221005,0.109487,-0.008218,-0.237482,0.141454,0.029863,-0.192254,0.086688,-0.027232,-0.233280,0.100320,-0.027283,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.032813,-0.002966,-0.033038,-0.055313,-0.002309,0.007329,0.022501,0.005274,0.025709,-0.237512,0.141319,0.029654,-0.192543,0.086739,-0.027296,-0.232896,0.100426,-0.026948,-0.236429,0.145767,0.122036,-0.269678,0.105906,0.167694,-0.203728,0.106054,0.165249,-0.383465,0.042346,0.050378,-0.383969,0.045645,0.116769,-0.355086,0.046607,0.119052,-0.353796,0.044664,0.053569,1.421501,-0.186396,-0.804323,-0.112537,0.051073,-0.012303,-0.346876,0.042367,-0.017577,-0.382406,0.041628,-0.018325,,,,,,,,,,,,,,,,,,,-0.116248,0.053667,0.185539,-0.355328,0.045626,0.180797,-0.392036,0.043162,0.176448
5,0.042000,0.016443,0.005030,-0.000194,0.999852,-0.287863,0.047477,0.180945,-0.116040,0.053657,0.185522,-0.355497,0.045659,0.180961,-0.392053,0.043115,0.176351,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.168722,0.005270,0.008294,-0.069946,-0.002119,-0.002821,-0.098776,-0.003152,-0.005473,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.168541,0.005454,0.010036,-0.069487,-0.001221,-0.002926,-0.099053,-0.004234,-0.007110,0.006176,0.010018,0.000174,0.999931,-0.280695,0.045018,-0.016071,-0.113153,0.051054,-0.012306,-0.346841,0.042403,-0.017524,-0.382091,0.041598,-0.018384,0.082334,-0.008038,-0.001655,0.996571,-0.236499,0.119236,0.151690,-0.236779,0.145763,0.122187,-0.269945,0.106129,0.167409,-0.202773,0.105816,0.165475,-0.009778,0.993116,0.101485,0.057672,-0.220976,0.109485,-0.008194,-0.237476,0.141459,0.029871,-0.192209,0.086693,-0.027194,-0.233242,0.100304,-0.027258,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.032813,-0.002966,-0.033038,-0.055313,-0.002309,0.007329,0.022501,0.005274,0.025709,-0.237507,0.141326,0.029664,-0.192543,0.086743,-0.027281,-0.232898,0.100421,-0.026926,-0.236444,0.145859,0.122069,-0.269692,0.105877,0.167681,-0.203741,0.106069,0.165227,-0.383472,0.042330,0.050380,-0.383959,0.045639,0.116771,-0.355106,0.046602,0.119043,-0.353817,0.044694,0.053588,1.421488,-0.186427,-0.804290,-0.112592,0.051085,-0.012282,-0.346881,0.042346,-0.017582,-0.382432,0.041636,-0.018340,,,,,,,,,,,,,,,,,,,-0.116263,0.053663,0.185543,-0.355336,0.045588,0.180817,-0.392044,0.043180,0.176476
