Format Version,1.23,Take Name,30mm_0.10,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2026-07-15 05.24.02.321 PM,Capture Start Frame,20317420,Total Frames in Take,1515,Total Exported Frames,1515,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,pvc4,pvc4,pvc4,pvc4,pvc4,pvc4,pvc4,pvc4:Marker1,pvc4:Marker1,pvc4:Marker1,pvc4:Marker2,pvc4:Marker2,pvc4:Marker2,pvc4:Marker3,pvc4:Marker3,pvc4:Marker3,pvc3,pvc3,pvc3,pvc3,pvc3,pvc3,pvc3,pvc3:Marker1,pvc3:Marker1,pvc3:Marker1,pvc3:Marker2,pvc3:Marker2,pvc3:Marker2,pvc3:Marker3,pvc3:Marker3,pvc3:Marker3,pvc2,pvc2,pvc2,pvc2,pvc2,pvc2,pvc2,pvc2:Marker1,pvc2:Marker1,pvc2:Marker1,pvc2:Marker2,pvc2:Marker2,pvc2:Marker2,pvc2:Marker3,pvc2:Marker3,pvc2:Marker3,pvc1,pvc1,pvc1,pvc1,pvc1,pvc1,pvc1,pvc1:Marker1,pvc1:Marker1,pvc1:Marker1,pvc1:Marker2,pvc1:Marker2,pvc1:Marker2,pvc1:Marker3,pvc1:Marker3,pvc1:Marker3,FrontMod,FrontMod,FrontMod,FrontMod,FrontMod,FrontMod,FrontMod,FrontMod:Marker1,FrontMod:Marker1,FrontMod:Marker1,FrontMod:Marker2,FrontMod:Marker2,FrontMod:Marker2,FrontMod:Marker3,FrontMod:Marker3,FrontMod:Marker3,BackMod2,BackMod2,BackMod2,BackMod2,BackMod2,BackMod2,BackMod2,BackMod2:Marker1,BackMod2:Marker1,BackMod2:Marker1,BackMod2:Marker2,BackMod2:Marker2,BackMod2:Marker2,BackMod2:Marker3,BackMod2:Marker3,BackMod2:Marker3,Niramay,Niramay,Niramay,Niramay,Niramay,Niramay,Niramay,Niramay:Marker1,Niramay:Marker1,Niramay:Marker1,Niramay:Marker2,Niramay:Marker2,Niramay:Marker2,Niramay:Marker3,Niramay:Marker3,Niramay:Marker3,BackMod2:Marker1,BackMod2:Marker1,BackMod2:Marker1,BackMod2:Marker2,BackMod2:Marker2,BackMod2:Marker2,BackMod2:Marker3,BackMod2:Marker3,BackMod2:Marker3,FrontMod:Marker1,FrontMod:Marker1,FrontMod:Marker1,FrontMod:Marker2,FrontMod:Marker2,FrontMod:Marker2,FrontMod:Marker3,FrontMod:Marker3,FrontMod:Marker3,Unlabeled 3487,Unlabeled 3487,Unlabeled 3487,Unlabeled 3488,Unlabeled 3488,Unlabeled 3488,pvc1:Marker1,pvc1:Marker1,pvc1:Marker1,pvc1:Marker2,pvc1:Marker2,pvc1:Marker2,pvc1:Marker3,pvc1:Marker3,pvc1:Marker3,pvc2:Marker1,pvc2:Marker1,pvc2:Marker1,pvc2:Marker2,pvc2:Marker2,pvc2:Marker2,pvc2:Marker3,pvc2:Marker3,pvc2:Marker3,pvc4:Marker1,pvc4:Marker1,pvc4:Marker1,pvc4:Marker2,pvc4:Marker2,pvc4:Marker2,pvc4:Marker3,pvc4:Marker3,pvc4:Marker3
,ID,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,ED3DC5D97FC711F11571DA7D1A00929B,ED3DC5D97FC711F11571DA7D1A00929B,ED3DC5D97FC711F11571DA7D1A00929B,ED3DC5D97FC711F11571DA7D1A00929B,ED3DC5D97FC711F11571DA7D1A00929B,ED3DC5D97FC711F11571DA7D1A00929B,ED3DC5D97FC711F11571DA7D1A00929B,ED3DC5D97FC711F11571DA7D1A00929B,ED3DC5D97FC711F11571DA7D1A00929B,ED3DC5D97FC711F11571DA7D1A00929B,ED3DC5D97FC711F11571DA7D1A00929B,ED3DC5D97FC711F11571DA7D1A00929B,ED3DC5D97FC711F11571DA7D1A00929B,ED3DC5D97FC711F11571DA7D1A00929B,ED3DC5D97FC711F11571DA7D1A00929B,ED3DC5D97FC711F11571DA7D1A00929B,25C8FF927FE711F11571DA7D1A00929B,25C8FF927FE711F11571DA7D1A00929B,25C8FF927FE711F11571DA7D1A00929B,25C8FF927FE711F11571DA7D1A00929B,25C8FF927FE711F11571DA7D1A00929B,25C8FF927FE711F11571DA7D1A00929B,25C8FF927FE711F11571DA7D1A00929B,25C8FF927FE711F11571DA7D1A00929B,25C8FF927FE711F11571DA7D1A00929B,25C8FF927FE711F11571DA7D1A00929B,25C8FF927FE711F11571DA7D1A00929B,25C8FF927FE711F11571DA7D1A00929B,25C8FF927FE711F11571DA7D1A00929B,25C8FF927FE711F11571DA7D1A00929B,25C8FF927FE711F11571DA7D1A00929B,25C8FF927FE711F11571DA7D1A00929B,"A4D2543980AC11F11571DA7D1A00929B","A4D2543980AC11F11571DA7D1A00929B","A4D2543980AC11F11571DA7D1A00929B","A4D2543480AC11F11571DA7D1A00929B","A4D2543480AC11F11571DA7D1A00929B","A4D2543480AC11F11571DA7D1A00929B","A4D2543A80AC11F11571DA7D1A00929B","A4D2543A80AC11F11571DA7D1A00929B","A4D2543A80AC11F11571DA7D1A00929B","A4D2543780AC11F11571DA7D1A00929B","A4D2543780AC11F11571DA7D1A00929B","A4D2543780AC11F11571DA7D1A00929B","A4D2543580AC11F11571DA7D1A00929B","A4D2543580AC11F11571DA7D1A00929B","A4D2543580AC11F11571DA7D1A00929B","A4D2543880AC11F11571DA7D1A00929B","A4D2543880AC11F11571DA7D1A00929B","A4D2543880AC11F11571DA7D1A00929B","B0CBA9F46437F2111F1","B0CBA9F46437F2111F1","B0CBA9F46437F2111F1","B0DBA9F46437F2111F1","B0DBA9F46437F2111F1","B0DBA9F46437F2111F1","A4D2543680AC11F11571DA7D1A00929B","A4D2543680AC11F11571DA7D1A00929B","A4D2543680AC11F11571DA7D1A00929B","A4D2543080AC11F11571DA7D1A00929B","A4D2543080AC11F11571DA7D1A00929B","A4D2543080AC11F11571DA7D1A00929B","A4D2542F80AC11F11571DA7D1A00929B","A4D2542F80AC11F11571DA7D1A00929B","A4D2542F80AC11F11571DA7D1A00929B","A4D2543B80AC11F11571DA7D1A00929B","A4D2543B80AC11F11571DA7D1A00929B","A4D2543B80AC11F11571DA7D1A00929B","A4D2543180AC11F11571DA7D1A00929B","A4D2543180AC11F11571DA7D1A00929B","A4D2543180AC11F11571DA7D1A00929B","A4D2542E80AC11F11571DA7D1A00929B","A4D2542E80AC11F11571DA7D1A00929B","A4D2542E80AC11F11571DA7D1A00929B","A4D2543C80AC11F11571DA7D1A00929B","A4D2543C80AC11F11571DA7D1A00929B","A4D2543C80AC11F11571DA7D1A00929B","A4D2543380AC11F11571DA7D1A00929B","A4D2543380AC11F11571DA7D1A00929B","A4D2543380AC11F11571DA7D1A00929B","A4D2543280AC11F11571DA7D1A00929B","A4D2543280AC11F11571DA7D1A00929B","A4D2543280AC11F11571DA7D1A00929B"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.013661,-0.011317,-0.000603,0.999843,-0.262205,0.047295,0.131479,-0.090610,0.053728,0.141288,-0.329807,0.045485,0.129394,-0.366198,0.042671,0.123754,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.168722,0.005270,0.008294,-0.069946,-0.002119,-0.002821,-0.098776,-0.003152,-0.005473,0.000965,-0.007645,0.000312,0.999970,-0.252583,0.044187,-0.023164,-0.084219,0.049725,-0.010542,-0.322017,0.042929,-0.027155,-0.351513,0.039907,-0.031796,0.001555,-0.006857,0.000127,0.999975,-0.248355,0.043150,-0.105095,-0.081033,0.049212,-0.095734,-0.314415,0.040525,-0.108754,-0.349617,0.039714,-0.110796,0.778183,0.021147,-0.009909,0.627604,-0.213723,0.108856,-0.038778,-0.213994,0.137016,-0.010830,-0.247090,0.092594,-0.051415,-0.180085,0.096957,-0.054089,-0.175734,-0.038591,0.007545,0.983652,-0.229044,0.115580,0.114486,-0.214880,0.141740,0.071375,-0.256451,0.095388,0.137919,-0.215800,0.109612,0.134163,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.032813,-0.002966,-0.033038,-0.055313,-0.002309,0.007329,0.022501,0.005274,0.025709,-0.214846,0.142162,0.070562,-0.256145,0.095482,0.137914,-0.216708,0.108520,0.135779,-0.214629,0.137258,-0.010523,-0.245785,0.093152,-0.050999,-0.180141,0.096553,-0.054483,-0.327229,0.045036,0.055957,-0.356078,0.044662,0.053085,-0.079667,0.049241,-0.095567,-0.314492,0.040576,-0.109010,-0.350058,0.039651,-0.110602,-0.084133,0.049744,-0.010521,-0.322127,0.042796,-0.027281,-0.351484,0.039998,-0.031713,-0.090944,0.053685,0.141282,-0.329464,0.045720,0.129340,-0.366224,0.042492,0.123809
1,0.008000,-0.026495,-0.011776,-0.001253,0.999579,-0.262233,0.047264,0.131479,-0.090637,0.053678,0.141283,-0.329836,0.045507,0.129378,-0.366226,0.042606,0.123777,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.168722,0.005270,0.008294,-0.069946,-0.002119,-0.002821,-0.098776,-0.003152,-0.005473,0.001733,-0.007612,0.000355,0.999969,-0.252590,0.044137,-0.023175,-0.084226,0.049672,-0.010555,-0.322024,0.042879,-0.027163,-0.351521,0.039860,-0.031807,0.002916,-0.006842,0.000128,0.999972,-0.248335,0.043145,-0.105081,-0.081013,0.049185,-0.095709,-0.314396,0.040528,-0.108746,-0.349597,0.039722,-0.110789,0.778120,0.021394,-0.009900,0.627674,-0.213725,0.108852,-0.038793,-0.213999,0.137017,-0.010849,-0.247090,0.092575,-0.051417,-0.180087,0.096963,-0.054111,-0.175735,-0.038622,0.007478,0.983651,-0.229043,0.115552,0.114478,-0.214872,0.141710,0.071369,-0.256455,0.095363,0.137908,-0.215802,0.109583,0.134156,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.032813,-0.002966,-0.033038,-0.055313,-0.002309,0.007329,0.022501,0.005274,0.025709,-0.214837,0.142141,0.070541,-0.256145,0.095459,0.137905,-0.216724,0.108474,0.135791,-0.214636,0.137263,-0.010539,-0.245809,0.093118,-0.051014,-0.180145,0.096556,-0.054510,-0.327239,0.045022,0.055944,-0.356093,0.044635,0.053057,-0.079675,0.049211,-0.095553,-0.314475,0.040591,-0.108998,-0.350073,0.039648,-0.110600,-0.084118,0.049693,-0.010531,-0.322156,0.042733,-0.027304,-0.351489,0.039958,-0.031715,-0.090952,0.053640,0.141274,-0.329473,0.045724,0.129346,-0.366272,0.042446,0.123812
2,0.017000,-0.045717,-0.012500,-0.002212,0.998874,-0.262221,0.047269,0.131478,-0.090624,0.053660,0.141287,-0.329824,0.045589,0.129344,-0.366213,0.042559,0.123803,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.168722,0.005270,0.008294,-0.069946,-0.002119,-0.002821,-0.098776,-0.003152,-0.005473,0.002883,-0.007604,0.000498,0.999967,-0.252580,0.044168,-0.023161,-0.084216,0.049724,-0.010531,-0.322013,0.042898,-0.027151,-0.351509,0.039881,-0.031801,0.005339,-0.006731,0.000274,0.999963,-0.248378,0.043154,-0.105083,-0.081056,0.049202,-0.095719,-0.314438,0.040533,-0.108745,-0.349640,0.039725,-0.110784,0.778155,0.021487,-0.009890,0.627627,-0.213728,0.108877,-0.038783,-0.214003,0.137039,-0.010836,-0.247091,0.092596,-0.051406,-0.180089,0.096995,-0.054107,-0.175780,-0.038807,0.007765,0.983634,-0.229050,0.115548,0.114479,-0.214884,0.141710,0.071371,-0.256455,0.095344,0.137905,-0.215810,0.109589,0.134161,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.032813,-0.002966,-0.033038,-0.055313,-0.002309,0.007329,0.022501,0.005274,0.025709,-0.214849,0.142141,0.070542,-0.256147,0.095440,0.137901,-0.216718,0.108493,0.135779,-0.214630,0.137286,-0.010525,-0.245823,0.093123,-0.051018,-0.180154,0.096590,-0.054501,-0.327237,0.045045,0.055957,-0.356096,0.044641,0.053049,-0.079655,0.049239,-0.095550,-0.314526,0.040568,-0.109002,-0.350087,0.039676,-0.110591,-0.084119,0.049738,-0.010513,-0.322151,0.042774,-0.027284,-0.351495,0.039967,-0.031712,-0.090949,0.053626,0.141272,-0.329470,0.045764,0.129359,-0.366254,0.042431,0.123803
3,0.025000,-0.065128,-0.013218,-0.003163,0.997784,-0.262213,0.047275,0.131475,-0.090616,0.053648,0.141287,-0.329817,0.045669,0.129306,-0.366206,0.042509,0.123832,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.168722,0.005270,0.008294,-0.069946,-0.002119,-0.002821,-0.098776,-0.003152,-0.005473,0.004451,-0.007571,0.000677,0.999961,-0.252594,0.044178,-0.023157,-0.084232,0.049760,-0.010520,-0.322027,0.042894,-0.027146,-0.351522,0.039881,-0.031803,0.008648,-0.006612,0.000419,0.999941,-0.248363,0.043159,-0.105075,-0.081041,0.049202,-0.095711,-0.314423,0.040541,-0.108739,-0.349625,0.039735,-0.110775,0.778158,0.021273,-0.009913,0.627630,-0.213742,0.108839,-0.038781,-0.214014,0.137001,-0.010835,-0.247108,0.092570,-0.051412,-0.180104,0.096945,-0.054097,-0.175623,-0.038611,0.007377,0.983672,-0.229047,0.115558,0.114485,-0.214871,0.141724,0.071382,-0.256463,0.095369,0.137911,-0.215807,0.109582,0.134162,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.032813,-0.002966,-0.033038,-0.055313,-0.002309,0.007329,0.022501,0.005274,0.025709,-0.214840,0.142151,0.070559,-0.256159,0.095466,0.137903,-0.216706,0.108479,0.135800,-0.214647,0.137241,-0.010530,-0.245793,0.093133,-0.050991,-0.180160,0.096541,-0.054491,-0.327224,0.045064,0.055969,-0.356098,0.044639,0.053062,-0.079712,0.049233,-0.095549,-0.314507,0.040587,-0.108998,-0.350067,0.039677,-0.110580,-0.084146,0.049773,-0.010503,-0.322147,0.042764,-0.027281,-0.351512,0.039971,-0.031712,-0.090922,0.053626,0.141269,-0.329467,0.045768,0.129345,-0.366255,0.042441,0.123813
4,0.033000,-0.078579,-0.013765,-0.003723,0.996806,-0.262217,0.047287,0.131472,-0.090622,0.053683,0.141301,-0.329821,0.045717,0.129271,-0.366208,0.042461,0.123843,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.168722,0.005270,0.008294,-0.069946,-0.002119,-0.002821,-0.098776,-0.003152,-0.005473,0.006339,-0.007501,0.000767,0.999952,-0.252597,0.044175,-0.023169,-0.084235,0.049744,-0.010535,-0.322031,0.042891,-0.027153,-0.351526,0.039889,-0.031818,0.012638,-0.006522,0.000716,0.999899,-0.248354,0.043162,-0.105075,-0.081034,0.049239,-0.095692,-0.314413,0.040531,-0.108748,-0.349615,0.039718,-0.110784,0.778255,0.021603,-0.009915,0.627498,-0.213756,0.108840,-0.038775,-0.214031,0.136993,-0.010819,-0.247120,0.092559,-0.051397,-0.180119,0.096968,-0.054109,-0.175532,-0.038711,0.007466,0.983684,-0.229058,0.115542,0.114482,-0.214880,0.141718,0.071387,-0.256473,0.095342,0.137900,-0.215820,0.109564,0.134160,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.032813,-0.002966,-0.033038,-0.055313,-0.002309,0.007329,0.022501,0.005274,0.025709,-0.214846,0.142156,0.070545,-0.256163,0.095439,0.137895,-0.216721,0.108469,0.135780,-0.214655,0.137236,-0.010511,-0.245824,0.093099,-0.050998,-0.180183,0.096566,-0.054501,-0.327251,0.045037,0.055952,-0.356110,0.044659,0.053071,-0.079677,0.049269,-0.095536,-0.314494,0.040585,-0.108995,-0.350099,0.039651,-0.110600,-0.084163,0.049757,-0.010519,-0.322157,0.042751,-0.027296,-0.351502,0.039982,-0.031725,-0.090952,0.053673,0.141277,-0.329488,0.045720,0.129344,-0.366242,0.042466,0.123797
5,0.042000,-0.086033,-0.014041,-0.004083,0.996185,-0.262223,0.047298,0.131475,-0.090628,0.053689,0.141307,-0.329827,0.045755,0.129259,-0.366214,0.042450,0.123860,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.168722,0.005270,0.008294,-0.069946,-0.002119,-0.002821,-0.098776,-0.003152,-0.005473,0.008656,-0.007351,0.000861,0.999935,-0.252592,0.044184,-0.023166,-0.084227,0.049732,-0.010558,-0.322027,0.042903,-0.027135,-0.351523,0.039916,-0.031805,0.017197,-0.006307,0.000810,0.999832,-0.248344,0.043153,-0.105075,-0.081022,0.049186,-0.095710,-0.314404,0.040537,-0.108744,-0.349607,0.039734,-0.110772,0.778163,0.021176,-0.010041,0.627625,-0.213763,0.108848,-0.038772,-0.214023,0.137011,-0.010826,-0.247135,0.092590,-0.051401,-0.180130,0.096944,-0.054091,-0.175738,-0.038568,0.007655,0.983651,-0.229035,0.115583,0.114470,-0.214881,0.141745,0.071358,-0.256436,0.095385,0.137905,-0.215789,0.109618,0.134146,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.032813,-0.002966,-0.033038,-0.055313,-0.002309,0.007329,0.022501,0.005274,0.025709,-0.214852,0.142151,0.070574,-0.256137,0.095480,0.137897,-0.216702,0.108505,0.135794,-0.214642,0.137252,-0.010521,-0.245813,0.093138,-0.050995,-0.180196,0.096546,-0.054479,-0.327243,0.045064,0.055966,-0.356102,0.044676,0.053069,-0.079716,0.049216,-0.095559,-0.314484,0.040586,-0.108990,-0.350083,0.039673,-0.110588,-0.084155,0.049747,-0.010541,-0.322164,0.042743,-0.027295,-0.351493,0.040019,-0.031704,-0.090984,0.053682,0.141280,-0.329481,0.045738,0.129340,-0.366245,0.042471,0.123809
