Format Version,1.23,Take Name,30mm_0.48,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2026-07-15 05.43.22.459 PM,Capture Start Frame,20456636,Total Frames in Take,1767,Total Exported Frames,1767,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,pvc4,pvc4,pvc4,pvc4,pvc4,pvc4,pvc4,pvc4:Marker1,pvc4:Marker1,pvc4:Marker1,pvc4:Marker2,pvc4:Marker2,pvc4:Marker2,pvc4:Marker3,pvc4:Marker3,pvc4:Marker3,pvc3,pvc3,pvc3,pvc3,pvc3,pvc3,pvc3,pvc3:Marker1,pvc3:Marker1,pvc3:Marker1,pvc3:Marker2,pvc3:Marker2,pvc3:Marker2,pvc3:Marker3,pvc3:Marker3,pvc3:Marker3,pvc2,pvc2,pvc2,pvc2,pvc2,pvc2,pvc2,pvc2:Marker1,pvc2:Marker1,pvc2:Marker1,pvc2:Marker2,pvc2:Marker2,pvc2:Marker2,pvc2:Marker3,pvc2:Marker3,pvc2:Marker3,pvc1,pvc1,pvc1,pvc1,pvc1,pvc1,pvc1,pvc1:Marker1,pvc1:Marker1,pvc1:Marker1,pvc1:Marker2,pvc1:Marker2,pvc1:Marker2,pvc1:Marker3,pvc1:Marker3,pvc1:Marker3,FrontMod,FrontMod,FrontMod,FrontMod,FrontMod,FrontMod,FrontMod,FrontMod:Marker1,FrontMod:Marker1,FrontMod:Marker1,FrontMod:Marker2,FrontMod:Marker2,FrontMod:Marker2,FrontMod:Marker3,FrontMod:Marker3,FrontMod:Marker3,BackMod2,BackMod2,BackMod2,BackMod2,BackMod2,BackMod2,BackMod2,BackMod2:Marker1,BackMod2:Marker1,BackMod2:Marker1,BackMod2:Marker2,BackMod2:Marker2,BackMod2:Marker2,BackMod2:Marker3,BackMod2:Marker3,BackMod2:Marker3,Niramay,Niramay,Niramay,Niramay,Niramay,Niramay,Niramay,Niramay:Marker1,Niramay:Marker1,Niramay:Marker1,Niramay:Marker2,Niramay:Marker2,Niramay:Marker2,Niramay:Marker3,Niramay:Marker3,Niramay:Marker3,BackMod2:Marker1,BackMod2:Marker1,BackMod2:Marker1,BackMod2:Marker2,BackMod2:Marker2,BackMod2:Marker2,BackMod2:Marker3,BackMod2:Marker3,BackMod2:Marker3,FrontMod:Marker1,FrontMod:Marker1,FrontMod:Marker1,FrontMod:Marker2,FrontMod:Marker2,FrontMod:Marker2,FrontMod:Marker3,FrontMod:Marker3,FrontMod:Marker3,Unlabeled 3726,Unlabeled 3726,Unlabeled 3726,Unlabeled 3727,Unlabeled 3727,Unlabeled 3727,pvc1:Marker1,pvc1:Marker1,pvc1:Marker1,pvc1:Marker2,pvc1:Marker2,pvc1:Marker2,pvc1:Marker3,pvc1:Marker3,pvc1:Marker3,pvc2:Marker1,pvc2:Marker1,pvc2:Marker1,pvc2:Marker2,pvc2:Marker2,pvc2:Marker2,pvc2:Marker3,pvc2:Marker3,pvc2:Marker3,pvc3:Marker1,pvc3:Marker1,pvc3:Marker1,pvc3:Marker2,pvc3:Marker2,pvc3:Marker2,pvc3:Marker3,pvc3:Marker3,pvc3:Marker3,pvc4:Marker1,pvc4:Marker1,pvc4:Marker1,pvc4:Marker2,pvc4:Marker2,pvc4:Marker2,pvc4:Marker3,pvc4:Marker3,pvc4:Marker3
,ID,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,1C1AB6E07FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,22F538A57FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,29C7D8597FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,2FDA86B77FA111F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,21CA72B67FA211F11571DA7D1A00929B,ED3DC5D97FC711F11571DA7D1A00929B,ED3DC5D97FC711F11571DA7D1A00929B,ED3DC5D97FC711F11571DA7D1A00929B,ED3DC5D97FC711F11571DA7D1A00929B,ED3DC5D97FC711F11571DA7D1A00929B,ED3DC5D97FC711F11571DA7D1A00929B,ED3DC5D97FC711F11571DA7D1A00929B,ED3DC5D97FC711F11571DA7D1A00929B,ED3DC5D97FC711F11571DA7D1A00929B,ED3DC5D97FC711F11571DA7D1A00929B,ED3DC5D97FC711F11571DA7D1A00929B,ED3DC5D97FC711F11571DA7D1A00929B,ED3DC5D97FC711F11571DA7D1A00929B,ED3DC5D97FC711F11571DA7D1A00929B,ED3DC5D97FC711F11571DA7D1A00929B,ED3DC5D97FC711F11571DA7D1A00929B,25C8FF927FE711F11571DA7D1A00929B,25C8FF927FE711F11571DA7D1A00929B,25C8FF927FE711F11571DA7D1A00929B,25C8FF927FE711F11571DA7D1A00929B,25C8FF927FE711F11571DA7D1A00929B,25C8FF927FE711F11571DA7D1A00929B,25C8FF927FE711F11571DA7D1A00929B,25C8FF927FE711F11571DA7D1A00929B,25C8FF927FE711F11571DA7D1A00929B,25C8FF927FE711F11571DA7D1A00929B,25C8FF927FE711F11571DA7D1A00929B,25C8FF927FE711F11571DA7D1A00929B,25C8FF927FE711F11571DA7D1A00929B,25C8FF927FE711F11571DA7D1A00929B,25C8FF927FE711F11571DA7D1A00929B,25C8FF927FE711F11571DA7D1A00929B,"58514E1980AF11F11571DA7D1A00929B","58514E1980AF11F11571DA7D1A00929B","58514E1980AF11F11571DA7D1A00929B","58514E1C80AF11F11571DA7D1A00929B","58514E1C80AF11F11571DA7D1A00929B","58514E1C80AF11F11571DA7D1A00929B","58514E1D80AF11F11571DA7D1A00929B","58514E1D80AF11F11571DA7D1A00929B","58514E1D80AF11F11571DA7D1A00929B","58514E2180AF11F11571DA7D1A00929B","58514E2180AF11F11571DA7D1A00929B","58514E2180AF11F11571DA7D1A00929B","58514E2380AF11F11571DA7D1A00929B","58514E2380AF11F11571DA7D1A00929B","58514E2380AF11F11571DA7D1A00929B","58514E2280AF11F11571DA7D1A00929B","58514E2280AF11F11571DA7D1A00929B","58514E2280AF11F11571DA7D1A00929B","C0EBA9F46437F2111F1","C0EBA9F46437F2111F1","C0EBA9F46437F2111F1","C0FBA9F46437F2111F1","C0FBA9F46437F2111F1","C0FBA9F46437F2111F1","58514E1B80AF11F11571DA7D1A00929B","58514E1B80AF11F11571DA7D1A00929B","58514E1B80AF11F11571DA7D1A00929B","58514E1A80AF11F11571DA7D1A00929B","58514E1A80AF11F11571DA7D1A00929B","58514E1A80AF11F11571DA7D1A00929B","58514E1380AF11F11571DA7D1A00929B","58514E1380AF11F11571DA7D1A00929B","58514E1380AF11F11571DA7D1A00929B","58514E1E80AF11F11571DA7D1A00929B","58514E1E80AF11F11571DA7D1A00929B","58514E1E80AF11F11571DA7D1A00929B","58514E1480AF11F11571DA7D1A00929B","58514E1480AF11F11571DA7D1A00929B","58514E1480AF11F11571DA7D1A00929B","58514E1580AF11F11571DA7D1A00929B","58514E1580AF11F11571DA7D1A00929B","58514E1580AF11F11571DA7D1A00929B","58514E2080AF11F11571DA7D1A00929B","58514E2080AF11F11571DA7D1A00929B","58514E2080AF11F11571DA7D1A00929B","58514E1880AF11F11571DA7D1A00929B","58514E1880AF11F11571DA7D1A00929B","58514E1880AF11F11571DA7D1A00929B","58514E1280AF11F11571DA7D1A00929B","58514E1280AF11F11571DA7D1A00929B","58514E1280AF11F11571DA7D1A00929B","58514E1F80AF11F11571DA7D1A00929B","58514E1F80AF11F11571DA7D1A00929B","58514E1F80AF11F11571DA7D1A00929B","58514E1780AF11F11571DA7D1A00929B","58514E1780AF11F11571DA7D1A00929B","58514E1780AF11F11571DA7D1A00929B","58514E1680AF11F11571DA7D1A00929B","58514E1680AF11F11571DA7D1A00929B","58514E1680AF11F11571DA7D1A00929B"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.022541,-0.012731,-0.000720,0.999665,-0.262574,0.047050,0.127278,-0.091005,0.053593,0.137457,-0.330170,0.045229,0.125036,-0.366547,0.042329,0.119343,-0.017695,-0.013880,-0.000673,0.999747,-0.252359,0.043574,-0.027437,-0.083922,0.048990,-0.014651,-0.322203,0.041417,-0.032122,-0.350951,0.040315,-0.035537,0.009567,0.000042,-0.000053,0.999954,-0.257658,0.046475,0.053566,-0.089116,0.051718,0.063691,-0.327146,0.045317,0.050623,-0.356712,0.042388,0.046385,0.001225,-0.007168,-0.000578,0.999973,-0.248719,0.042784,-0.109657,-0.081395,0.048615,-0.100197,-0.314781,0.040250,-0.113356,-0.349982,0.039487,-0.115419,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-0.000867,0.021324,-0.033447,-0.033133,-0.010415,0.018199,0.034000,-0.010909,0.015248,0.152929,-0.065525,0.012278,0.985986,-0.213705,0.087052,0.156676,-0.199785,0.134520,0.139457,-0.240601,0.056008,0.161243,-0.200728,0.070628,0.169328,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.032813,-0.002966,-0.033038,-0.055313,-0.002309,0.007329,0.022501,0.005274,0.025709,-0.199707,0.134551,0.139472,-0.240419,0.055903,0.161360,-0.200976,0.070681,0.169209,,,,,,,,,,-0.195665,0.131355,-0.047597,-0.227103,0.072968,-0.040342,-0.080355,0.048636,-0.100095,-0.314841,0.040302,-0.113520,-0.350459,0.039422,-0.115303,-0.087223,0.052046,0.064028,-0.327946,0.044374,0.049797,-0.356618,0.043154,0.047037,-0.084148,0.048925,-0.014687,-0.321714,0.042450,-0.031741,-0.350989,0.039724,-0.035740,-0.091473,0.053516,0.137464,-0.329813,0.045604,0.124861,-0.366529,0.042033,0.119502
1,0.008000,-0.040376,-0.013384,-0.001577,0.999094,-0.262556,0.047081,0.127282,-0.090986,0.053620,0.137456,-0.330153,0.045325,0.125013,-0.366528,0.042300,0.119377,-0.035330,-0.014381,-0.001948,0.999270,-0.252335,0.043639,-0.027419,-0.083895,0.048997,-0.014648,-0.322181,0.041528,-0.032102,-0.350929,0.040393,-0.035506,0.018806,0.000486,0.000481,0.999823,-0.257647,0.046484,0.053551,-0.089102,0.051722,0.063624,-0.327137,0.045306,0.050647,-0.356704,0.042424,0.046381,0.002227,-0.007200,-0.000533,0.999972,-0.248708,0.042815,-0.109642,-0.081384,0.048645,-0.100159,-0.314769,0.040282,-0.113350,-0.349970,0.039520,-0.115417,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-0.000867,0.021324,-0.033447,-0.033133,-0.010415,0.018199,0.034000,-0.010909,0.015248,0.152718,-0.065994,0.012515,0.985985,-0.213696,0.087073,0.156686,-0.199773,0.134537,0.139461,-0.240587,0.056023,0.161240,-0.200727,0.070659,0.169358,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.032813,-0.002966,-0.033038,-0.055313,-0.002309,0.007329,0.022501,0.005274,0.025709,-0.199699,0.134562,0.139477,-0.240431,0.055919,0.161348,-0.200957,0.070721,0.169242,,,,,,,,,,-0.195677,0.131432,-0.047594,-0.227102,0.072967,-0.040255,-0.080354,0.048670,-0.100058,-0.314829,0.040319,-0.113517,-0.350455,0.039468,-0.115299,-0.087176,0.052052,0.063974,-0.327937,0.044378,0.049797,-0.356609,0.043176,0.047053,-0.084143,0.048932,-0.014686,-0.321701,0.042471,-0.031739,-0.350966,0.039795,-0.035720,-0.091452,0.053557,0.137463,-0.329812,0.045606,0.124851,-0.366509,0.042078,0.119527
2,0.017000,-0.067730,-0.014451,-0.002872,0.997595,-0.262576,0.047039,0.127278,-0.091007,0.053579,0.137470,-0.330173,0.045375,0.124954,-0.366546,0.042162,0.119410,-0.066757,-0.015363,-0.003921,0.997643,-0.252324,0.043624,-0.027421,-0.083884,0.048979,-0.014646,-0.322170,0.041552,-0.032114,-0.350917,0.040341,-0.035503,0.033927,0.000998,0.001412,0.999423,-0.257685,0.046454,0.053562,-0.089139,0.051702,0.063625,-0.327175,0.045233,0.050692,-0.356741,0.042426,0.046369,0.004008,-0.007094,-0.000503,0.999967,-0.248701,0.042784,-0.109648,-0.081376,0.048594,-0.100180,-0.314762,0.040258,-0.113352,-0.349964,0.039500,-0.115414,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-0.000867,0.021324,-0.033447,-0.033133,-0.010415,0.018199,0.034000,-0.010909,0.015248,0.152723,-0.065630,0.012593,0.986007,-0.213681,0.087056,0.156685,-0.199783,0.134524,0.139449,-0.240561,0.055999,0.161258,-0.200700,0.070646,0.169349,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.032813,-0.002966,-0.033038,-0.055313,-0.002309,0.007329,0.022501,0.005274,0.025709,-0.199705,0.134542,0.139470,-0.240408,0.055893,0.161366,-0.200955,0.070728,0.169213,,,,,,,,,,-0.195683,0.131381,-0.047613,-0.227056,0.073007,-0.040394,-0.080366,0.048621,-0.100082,-0.314823,0.040287,-0.113514,-0.350441,0.039457,-0.115300,-0.087197,0.052005,0.063977,-0.328004,0.044381,0.049823,-0.356636,0.043115,0.047056,-0.084144,0.048912,-0.014688,-0.321691,0.042489,-0.031713,-0.350948,0.039720,-0.035752,-0.091470,0.053529,0.137461,-0.329798,0.045599,0.124882,-0.366546,0.041990,0.119485
3,0.025000,-0.095412,-0.015493,-0.004304,0.995308,-0.262526,0.047076,0.127293,-0.090957,0.053577,0.137497,-0.330124,0.045521,0.124911,-0.366497,0.042131,0.119471,-0.105854,-0.016543,-0.006380,0.994224,-0.252320,0.043612,-0.027424,-0.083880,0.048961,-0.014651,-0.322167,0.041589,-0.032130,-0.350913,0.040285,-0.035492,0.053981,0.001637,0.002665,0.998537,-0.257654,0.046478,0.053558,-0.089109,0.051746,0.063622,-0.327145,0.045198,0.050725,-0.356709,0.042491,0.046329,0.006412,-0.007008,-0.000349,0.999955,-0.248692,0.042790,-0.109646,-0.081368,0.048612,-0.100177,-0.314754,0.040259,-0.113350,-0.349955,0.039499,-0.115410,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-0.000867,0.021324,-0.033447,-0.033133,-0.010415,0.018199,0.034000,-0.010909,0.015248,0.152887,-0.065890,0.012562,0.985965,-0.213687,0.087024,0.156669,-0.199774,0.134496,0.139457,-0.240573,0.055968,0.161218,-0.200714,0.070607,0.169334,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.032813,-0.002966,-0.033038,-0.055313,-0.002309,0.007329,0.022501,0.005274,0.025709,-0.199699,0.134521,0.139474,-0.240410,0.055864,0.161328,-0.200959,0.070672,0.169210,,,,,,,,,,-0.195666,0.131358,-0.047609,-0.227074,0.073000,-0.040301,-0.080348,0.048637,-0.100080,-0.314805,0.040293,-0.113510,-0.350458,0.039449,-0.115298,-0.087165,0.052051,0.063994,-0.327940,0.044368,0.049820,-0.356615,0.043163,0.047048,-0.084126,0.048900,-0.014692,-0.321690,0.042457,-0.031727,-0.350953,0.039742,-0.035728,-0.091471,0.053542,0.137478,-0.329776,0.045627,0.124880,-0.366476,0.042054,0.119513
4,0.033000,-0.118300,-0.016367,-0.005346,0.992829,-0.262568,0.047081,0.127287,-0.091000,0.053599,0.137503,-0.330166,0.045593,0.124852,-0.366538,0.042051,0.119505,-0.147614,-0.017820,-0.009000,0.988844,-0.252346,0.043605,-0.027437,-0.083907,0.048953,-0.014652,-0.322193,0.041632,-0.032167,-0.350938,0.040230,-0.035493,0.076612,0.002364,0.004042,0.997050,-0.257656,0.046493,0.053567,-0.089111,0.051770,0.063629,-0.327147,0.045149,0.050773,-0.356711,0.042561,0.046300,0.009350,-0.006902,-0.000246,0.999933,-0.248708,0.042780,-0.109658,-0.081383,0.048588,-0.100191,-0.314770,0.040254,-0.113364,-0.349971,0.039498,-0.115421,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-0.000867,0.021324,-0.033447,-0.033133,-0.010415,0.018199,0.034000,-0.010909,0.015248,0.152724,-0.066324,0.012650,0.985960,-0.213709,0.087043,0.156670,-0.199782,0.134510,0.139454,-0.240598,0.055988,0.161204,-0.200747,0.070631,0.169351,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.032813,-0.002966,-0.033038,-0.055313,-0.002309,0.007329,0.022501,0.005274,0.025709,-0.199695,0.134538,0.139474,-0.240431,0.055855,0.161330,-0.200985,0.070709,0.169223,,,,,,,,,,-0.195684,0.131393,-0.047595,-0.227082,0.073002,-0.040342,-0.080375,0.048617,-0.100091,-0.314838,0.040273,-0.113533,-0.350429,0.039463,-0.115301,-0.087166,0.052050,0.064010,-0.327964,0.044386,0.049816,-0.356611,0.043176,0.047061,-0.084137,0.048898,-0.014694,-0.321699,0.042471,-0.031705,-0.350986,0.039760,-0.035739,-0.091466,0.053581,0.137479,-0.329802,0.045622,0.124872,-0.366545,0.042037,0.119505
5,0.042000,-0.134691,-0.016943,-0.006194,0.990723,-0.262558,0.047057,0.127283,-0.090990,0.053551,0.137497,-0.330156,0.045630,0.124813,-0.366529,0.041990,0.119539,-0.189387,-0.019066,-0.011599,0.981649,-0.252339,0.043621,-0.027435,-0.083901,0.048976,-0.014642,-0.322186,0.041693,-0.032190,-0.350931,0.040195,-0.035473,0.100467,0.003224,0.005555,0.994920,-0.257658,0.046486,0.053547,-0.089112,0.051796,0.063578,-0.327149,0.045062,0.050804,-0.356713,0.042600,0.046259,0.012659,-0.006793,-0.000078,0.999897,-0.248696,0.042782,-0.109658,-0.081371,0.048591,-0.100188,-0.314758,0.040255,-0.113366,-0.349959,0.039499,-0.115421,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-0.000867,0.021324,-0.033447,-0.033133,-0.010415,0.018199,0.034000,-0.010909,0.015248,0.153145,-0.066191,0.012067,0.985911,-0.213719,0.087060,0.156640,-0.199750,0.134528,0.139462,-0.240639,0.056030,0.161158,-0.200768,0.070623,0.169301,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.032813,-0.002966,-0.033038,-0.055313,-0.002309,0.007329,0.022501,0.005274,0.025709,-0.199666,0.134575,0.139472,-0.240423,0.055853,0.161323,-0.200974,0.070670,0.169201,,,,,,,,,,-0.195666,0.131408,-0.047600,-0.227109,0.072940,-0.040298,-0.080356,0.048618,-0.100091,-0.314813,0.040283,-0.113523,-0.350453,0.039455,-0.115312,-0.087141,0.052062,0.063979,-0.327967,0.044356,0.049799,-0.356613,0.043167,0.047060,-0.084139,0.048922,-0.014686,-0.321700,0.042459,-0.031725,-0.350980,0.039747,-0.035732,-0.091473,0.053536,0.137463,-0.329800,0.045633,0.124877,-0.366524,0.041997,0.119503
